1040419610027; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 150 ML; LR3
1040419610019; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML ; LR3
1040419580039; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT 50 BL AL PLAS INC X 7 (EMB HOSP); LR3
1040419580047; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT 2 BL AL PLAS INC X 6; LR3
1040419580012; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 7; LR3
1040419580020; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT 100 BL AL PLAS INC X 7 (EMB HOSP); LR3
1040419560054; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT 50 BL AL PLAS INC X 6 (EMB HOSP); LR3
1040419560062; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT 100 BL AL PLAS INC X 6 (EMB HOSP); LR3
1040419560038; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT 2 BL AL PLAS INC X 6; LR3
1040419560046; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT 4 BL AL PLAS INC X 6; LR3
1040419530031; AZITROSOL; AZITROSOL; NOT FOUND; 600 MG PO SUS EXTEMP CT FR PLAS OPC + FLAC DIL X 15 ML; LR3
1040400080029; APETIBE; APETIBE; NOT FOUND; SOLUCAO 240 ML; LR3
1040419800020; AMBROFLUX; AMBROFLUX; NOT FOUND; 3 MG/ML XPE CT FR PLAS OPC X 120 ML; LR3
1040419800012; AMBROFLUX; AMBROFLUX; NOT FOUND; 6 MG/ML XPE CT FR PLAS OPC X 120 ML; LR3
1040400020016; ALCAFELOL; ALCAFELOL; NOT FOUND; LIQUIDO 150 ML; LR3
1040419520060; AMOXIBEL; AMOXIBEL; NOT FOUND; 250 MG SUSPENSAO 150 ML; LR3
1040419520095; AMOXIBEL; AMOXIBEL; NOT FOUND; 250 MG SUSPENSAO 60 ML; LR3
1040419520079; AMOXIBEL; AMOXIBEL; NOT FOUND; 500 MG SUSPENSAO 150 ML; LR3
