1040400120010; BACTERINIL; BACTERINIL; NOT FOUND; 250 MG SUSPENSAO 150 ML; LR3
1040400120084; BACTERINIL; BACTERINIL; NOT FOUND; 250 MG SUSPENSAO 60 ML; LR3
1040400120076; BACTERINIL; BACTERINIL; NOT FOUND; 500 MG C/ 24 CPS; LR3
1040400120053; BACTERINIL; BACTERINIL; NOT FOUND; 500 MG C/08 CAPSULAS; LR3
1040400120045; BACTERINIL; BACTERINIL; NOT FOUND; 500 MG C/12 CAPSULAS; LR3
1040401570031; BACINEO; BACINEO; NOT FOUND; POMADA 15 GRAMAS; LR3
1040400150017; BETALIVER; BETALIVER; NOT FOUND; SOLUCAO ABACAXI C/12 FLACO; LR3
1040400150032; BETALIVER; BETALIVER; NOT FOUND; SOL CX C 50 FLAC DE 10 ML; LR3
1040401240058; BELUP; BELUP; NOT FOUND; INJETAVEL 100 X 2 ML; LR3
1040401240031; BELUP; BELUP; NOT FOUND; XPE CT FR VD AMB X 100 ML; LR3
1040401240015; BELUP; BELUP; NOT FOUND; DRG CT FR VD AMB X 20; LR3
1040419750023; BEQUIDEX; BEQUIDEX; NOT FOUND; 0.80 MG / ML XPE INF FR PLAS OPC X 120 ML; LR3
1040419750015; BEQUIDEX; BEQUIDEX; NOT FOUND; 1.60 MG / ML XPE ADU FR PLAS OPC X 120 ML; LR3
1040400170018; BRONCOPINOL; BRONCOPINOL; NOT FOUND; A-B INJETAVEL; LR3
1040401530031; BRONCOFISIN; BRONCOFISIN; NOT FOUND; XAROPE ADULTO 150 ML; LR3
1040401530048; BRONCOFISIN; BRONCOFISIN; NOT FOUND; XAROPE INFANTIL 150 ML; LR3
