1040400570194; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE ABACAXI C/12 SA; LR3
1040400570135; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE ABACAXI C/50 SA; LR3
1040400570186; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE LARANJA C/12 SA; LR3
1040400570127; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE LARANJA C/50 SA; LR3
1040400570178; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE LIMAO C/12 SACH; LR3
1040400570119; GASTROL; GASTROL; NOT FOUND; EFERVESCENTE LIMAO C/50 SACH; LR3
1040400570029; GASTROL; GASTROL; NOT FOUND; SUSPENSAO 250 ML; LR3
1040401750013; GASTROL; GASTROL; NOT FOUND; TC SUSPENSAO 240 ML; LR3
1040400570232; GASTROL; GASTROL; NOT FOUND; 0.037 G+0.0463 G+ 0.0356 G/ML SUS OR CT FR VD AMB X 250 ML SABOR PAPAIA; LR3
1040400570240; GASTROL; GASTROL; NOT FOUND; 37 MG/G + 47 MG/G + 35.6 MG/G PO EFEV CT 50 ENV AL X 5 G PAPAIA; LR3
1040400570100; GASTROL; GASTROL; NOT FOUND; C/20 PASTILHAS; LR3
1040401750021; GASTROL; GASTROL; NOT FOUND; TC C/30 PASTILHAS; LR3
1040401440081; GENTAX; GENTAX; NOT FOUND; 280 MG INJETAVEL 2 ML; LR3
1040401440065; GENTAX; GENTAX; NOT FOUND; 80 MG INJETAVEL 50X2 ML; LR3
