526304201151415; NOVACTAM; NOVACTAM; NOT FOUND; 1.0 G + 0.5 G PO SOL INJ CX 20 FA VD INC X 3.2 ML (EMB HOSP) ; NVA
526305201153416; NAUMETRON; NAUMETRON; NOT FOUND; 5 MG/ML SOL INJ IM IV CX 50 AMP VD AMB X 2 ML (EMB HOSP); NVA
526301303156411; NOVAMICIN; NOVAMICIN; NOT FOUND; 1 G PO LIOF SOL INJ CT 01 FR AMP VD INC X 20 ML (EMB HOSP) ; NVA
526301301153415; NOVAMICIN; NOVAMICIN; NOT FOUND; 500 MG PO LIOF SOL INJ CX 20 FR AMP VD INC X 10 ML (EMB HOSP); NVA
526301302151416; NOVAMICIN; NOVAMICIN; NOT FOUND; 500 MG PO LIOF SOL INJ CX 50 FR AMP VD INC X 10 ML (EMB HOSP); NVA
526312020012803; NOVAMICIN; NOVAMICIN; NOT FOUND; 500 MG PO LIOF SOL INJ IV CX 50 FA VD INC + 50 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
526312080013803; NOVAMICIN; NOVAMICIN; NOT FOUND; 500 MG PO LIOF SOL INJ IV CX 25 FA VD INC + 25 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
526312110013903; NOVAMICIN; NOVAMICIN; NOT FOUND; 500 MG PO LIOF SOL INJ IV CX 20 FA VD INC + 20 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
526305101159412; NOVANOR; NOVANOR; NOT FOUND; 2 MG/ML SOL INJ IV CX 50 AMP VD AMB X 4 ML (EMB HOSP) ; NVA
526303901158414; NOVATAZ; NOVATAZ; NOT FOUND; 4 G + 0.5 G PO LIOF SOL INJ CT FA VD INC X 20 ML (EMB HOSP); NVA
526303902154412; NOVATAZ; NOVATAZ; NOT FOUND; 4 G + 0.5 G PO LIOF SOL INJ CX 10 FA VD INC X 20 ML (EMB HOSP); NVA
526303801153410; NOVATON; NOVATON; NOT FOUND; 0.25MG/ML SOL INJ IM IV SC CX 50 AMP VD AMB X 1ML (EMB HOSP) ; NVA
526305801150418; NOVAMIBI; NOVAMIBI; NOT FOUND; 1 MG PO LIOF SOL INJ CT 02 FA VD INC X 7.5 ML (EMB HOSP); NVA
526305802157416; NOVAMIBI; NOVAMIBI; NOT FOUND; 1 MG PO LIOF SOL INJ CT 05 FA VD INC X 7.5 ML (EMB HOSP); NVA
