526303003151410; CRISTACILINA; CRISTACILINA; NOT FOUND; 1.000.000 UI PO SOL INJ CX 50 FA VD INC (EMB HOSP); NVA
526303001157411; CRISTACILINA; CRISTACILINA; NOT FOUND; 10.000.000 UI PO SOL INJ CX 25 FA VD INC (EMB HOSP); NVA
526303002153411; CRISTACILINA; CRISTACILINA; NOT FOUND; 5.000.000 UI PO SOL INJ CX 50 FA VD INC (EMB HOSP); NVA
526302701155111; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CX 50 FA VD INC X 10 ML (EMB HOSP); NVA
526301501152110; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO LIOF SOL INJ CX 50 FA VD INC; NVA
526312010012306; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO LIOF SOL INJ IV CX 50 FA VD INC + 50 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
526312080013706; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO LIOF SOL INJ IV CX 25 FA VD INC + 25 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
526312110014006; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO LIOF SOL INJ IV CX 20 FA VD INC + 20 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
526301702158418; CETAZIMA; CETAZIMA; NOT FOUND; 1 G PO SOL INJ IM/IV CX 50 FA VD INC X 10ML (EMB HOSP); NVA
526301701151411; CETAZIMA; CETAZIMA; NOT FOUND; 500 MG PO SOL INJ IM/IV CX 50 FA VD INC X 10ML; NVA
526312010012406; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1 G PO SOL INJ IV CT FA VD INC + BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
