526300802159418, DEXAMETASONA-CORTICOIDEX, DEXAMETASONA CORTICOIDEX, NOT FOUND, 4 MG / ML SOL INJ CX 50 AMP VD INC X 2.5 ML (EMB HOSP), NVA
526300902153411, DICLOFENACO SÓDICO - REUFLEN, DICLOFENACO SODICO REUFLEN, NOT FOUND, 25 MG/ML SOL INJ IM CX 50 AMP VD INC X 3 ML (EMB HOSP), NVA
526300901157413, DICLOFENACO SÓDICO - REUFLEN, DICLOFENACO SODICO REUFLEN, NOT FOUND, 75MG SOL INJ CX 50 AMP X 3ML, NVA
526302501156416, DILUENTE - ÁGUA PARA INJEÇÃO, DILUENTE AGUA PARA INJECAO, NOT FOUND, SOL INJ DIL CX 50 AMP VD INC X 10ML, NVA
526302502152414, DILUENTE - ÁGUA PARA INJEÇÃO, DILUENTE AGUA PARA INJECAO, NOT FOUND, SOL INJ DIL CX 50 AMP VD INC X 3ML, NVA
526302503159412, DILUENTE - ÁGUA PARA INJEÇÃO, DILUENTE AGUA PARA INJECAO, NOT FOUND, SOL INJ DIL CX 50 AMP VD INC X 5ML, NVA
526301801156413, DILUENTE NOVAFARMA, DILUENTE NOVAFARMA, NOT FOUND, SOL INJ DIL CX 50 AMP VD INC X 4 ML, NVA
526302402158410, DOBUTANIL, DOBUTANIL, NOT FOUND, 250 MG SOL INJ CT 50 AMP VD INC X 20 ML, NVA
526302401151412, DOBUTANIL, DOBUTANIL, NOT FOUND, 250MG/20ML SOL INJ CT 01 AMP VD INC, NVA
526303301150412, DOPIMEX, DOPIMEX, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML (EMB HOSP), NVA
526300802159418, DEXAMETASONA-CORTICOIDEX, DEXAMETASONA CORTICOIDEX, NOT FOUND, 4 MG / ML SOL INJ CX 50 AMP VD INC X 2.5 ML (EMB HOSP), NVA
526300902153411, DICLOFENACO SÓDICO - REUFLEN, DICLOFENACO SODICO REUFLEN, NOT FOUND, 25 MG/ML SOL INJ IM CX 50 AMP VD INC X 3 ML (EMB HOSP), NVA
526300901157413, DICLOFENACO SÓDICO - REUFLEN, DICLOFENACO SODICO REUFLEN, NOT FOUND, 75MG SOL INJ CX 50 AMP X 3ML, NVA
526302501156416, DILUENTE - ÁGUA PARA INJEÇÃO, DILUENTE AGUA PARA INJECAO, NOT FOUND, SOL INJ DIL CX 50 AMP VD INC X 10ML, NVA
526302502152414, DILUENTE - ÁGUA PARA INJEÇÃO, DILUENTE AGUA PARA INJECAO, NOT FOUND, SOL INJ DIL CX 50 AMP VD INC X 3ML, NVA
526302503159412, DILUENTE - ÁGUA PARA INJEÇÃO, DILUENTE AGUA PARA INJECAO, NOT FOUND, SOL INJ DIL CX 50 AMP VD INC X 5ML, NVA
526301801156413, DILUENTE NOVAFARMA, DILUENTE NOVAFARMA, NOT FOUND, SOL INJ DIL CX 50 AMP VD INC X 4 ML, NVA
526302402158410, DOBUTANIL, DOBUTANIL, NOT FOUND, 250 MG SOL INJ CT 50 AMP VD INC X 20 ML, NVA
526302401151412, DOBUTANIL, DOBUTANIL, NOT FOUND, 250MG/20ML SOL INJ CT 01 AMP VD INC, NVA
526303301150412, DOPIMEX, DOPIMEX, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML (EMB HOSP), NVA
526300802159418, DEXAMETASONA-CORTICOIDEX, DEXAMETASONA CORTICOIDEX, NOT FOUND, 4 MG / ML SOL INJ CX 50 AMP VD INC X 2.5 ML (EMB HOSP), NVA
