526301902157113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5G PO LIOF SOL INJ IV CX 25 FA VD INC X 20 ML (EMB HOSP), NVA
526301901150115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4.5 + 0.5 G PO LIOF P/SOL INJ IV CT 1 FA VD INC X 20 ML (EMB HOSP), NVA
526301902157113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5G PO LIOF SOL INJ IV CX 25 FA VD INC X 20 ML (EMB HOSP), NVA
526301901150115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4.5 + 0.5 G PO LIOF P/SOL INJ IV CT 1 FA VD INC X 20 ML (EMB HOSP), NVA
526301902157113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5G PO LIOF SOL INJ IV CX 25 FA VD INC X 20 ML (EMB HOSP), NVA
526301901150115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4.5 + 0.5 G PO LIOF P/SOL INJ IV CT 1 FA VD INC X 20 ML (EMB HOSP), NVA
526301902157113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5G PO LIOF SOL INJ IV CX 25 FA VD INC X 20 ML (EMB HOSP), NVA
526301901150115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4.5 + 0.5 G PO LIOF P/SOL INJ IV CT 1 FA VD INC X 20 ML (EMB HOSP), NVA
526301902157113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5G PO LIOF SOL INJ IV CX 25 FA VD INC X 20 ML (EMB HOSP), NVA
526301901150115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4.5 + 0.5 G PO LIOF P/SOL INJ IV CT 1 FA VD INC X 20 ML (EMB HOSP), NVA
526301902157113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5G PO LIOF SOL INJ IV CX 25 FA VD INC X 20 ML (EMB HOSP), NVA
526301901150115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4.5 + 0.5 G PO LIOF P/SOL INJ IV CT 1 FA VD INC X 20 ML (EMB HOSP), NVA
526301902157113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5G PO LIOF SOL INJ IV CX 25 FA VD INC X 20 ML (EMB HOSP), NVA
526301901150115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4.5 + 0.5 G PO LIOF P/SOL INJ IV CT 1 FA VD INC X 20 ML (EMB HOSP), NVA
526301902157113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5G PO LIOF SOL INJ IV CX 25 FA VD INC X 20 ML (EMB HOSP), NVA
526301901150115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4.5 + 0.5 G PO LIOF P/SOL INJ IV CT 1 FA VD INC X 20 ML (EMB HOSP), NVA
526301902157113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5G PO LIOF SOL INJ IV CX 25 FA VD INC X 20 ML (EMB HOSP), NVA
526301901150115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4.5 + 0.5 G PO LIOF P/SOL INJ IV CT 1 FA VD INC X 20 ML (EMB HOSP), NVA
526301901150115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5 G PO LIOF SOL INJ IV CT 1 FA VD INC X 20 ML (EMB HOSP), NVA
526301902157113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5G PO LIOF SOL INJ IV CX 25 FA VD INC X 20 ML (EMB HOSP), NVA
526301901150115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5 G PO LIOF SOL INJ IV CT 1 FA VD INC X 20 ML (EMB HOSP), NVA
526301902157113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4 G + 0.5G PO LIOF SOL INJ IV CX 25 FA VD INC X 20 ML (EMB HOSP), NVA
