1008901740072; MIDECAMIN; MIDECAMIN; NOT FOUND; 10 COMP 600 MG; M_S
1008903040019; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; M_S
1008900350020; MIO CITALGAN; MIO CITALGAN; NOT FOUND; COM REV EST CART 2 BL AL PLAS INC X 10; M_S
1008901690029; MUCOFLUX; MUCOFLUX; NOT FOUND; 20 MG/ML XPE CT CART FR PLAS OPC X 100 ML; M_S
1008901690045; MUCOFLUX; MUCOFLUX; NOT FOUND; 50 MG/ML XPE CT CART FR PLAS OPC X 100 ML; M_S
1008903100011; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT STR AL X 30  ; M_S
1008903100021; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT STR AL X 30 ; M_S
1008903030013; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED 10 ML ; M_S
1008902920031; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS INC X 10; M_S
1008902920015; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS INC X 10; M_S
1008902770021; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM EST FR PLAS OPC X 30; M_S
1008902770072; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 4 MG COM EST FR PLAS OPC X 30; M_S
1008903470072; MESIDOX; MESIDOX; NOT FOUND; 2 MG COM FR PLAS OPC X 30; M_S
1008903470171; MESIDOX; MESIDOX; NOT FOUND; 4 MG COM FR PLAS OPC X 30; M_S
1008903470064; MESIDOX; MESIDOX; NOT FOUND; 2 MG COM FR PLAS OPC X 20; M_S
1008903470161; MESIDOX; MESIDOX; NOT FOUND; 4 MG COM FR PLAS OPC X 20; M_S
1008902430018; MULTIVITAMINAS GINSENG/MINERAIS - SEVEN SEAS; MULTIVITAMINAS GINSENG MINERAIS SEVEN SEAS; NOT FOUND; CAPS FR PLAS X 30; M_S
