1008903340063; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; M_S
1008902800028; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT FR PLAS OPC X 25; M_S
1008902800060; ACICLOVIR; ACICLOVIR; ACICLOVIR; 400 MG COM CT FR PLAS OPC X 30; M_S
1008902800087; ACICLOVIR; ACICLOVIR; ACICLOVIR; 400 MG COM CT FR PLAS OPC X 70; M_S
1008900020221; AMPLOFEN; AMPLOFEN; NOT FOUND; 250 MG EST CART GRAN ENV AL E POLIET X 4 G + FR PL; M_S
1008900020211; AMPLOFEN; AMPLOFEN; NOT FOUND; 500 MG CAP CX 2 BL X 10; M_S
1008902570022; ABELCET; ABELCET; NOT FOUND; 5 MG/ML SUS INJ EST CART 1 FA VD INC X 20 ML + AGU; M_S
1008902570022; ABELCET; ABELCET; NOT FOUND; 5 MG/ML SUS INJ EST 10 CT FA VD INC X 20 ML + AGULHA DE 5; M_S
1008902660072; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM EST FR PLAS OPC X 30; M_S
1008902660145; ATENOLOL; ATENOLOL; ATENOLOL; 100MG COM EST 3 BL AL PLAS INC X 10; M_S
1008902660021; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM EST FR PLAS OPC X 30; M_S
1008902660196; ATENOLOL; ATENOLOL; ATENOLOL; 50MG COM EST 3 BL AL PLAS INC X 10; M_S
1008902880110; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100MG + 25MG COM REV EST CART 3 BL AL PLAS AMB X 1; M_S
1008902880031; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50MG + 12.5MG COM REV EST CART 3 BL AL PLAS AMB X; M_S
1008903570018; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT CART BL PLAS INC X 5 ; M_S
1008903570026; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT CART BL PLAS INC X 3; M_S
1008903570034; AZITROMICINA DIIDRATADA; AZITROMICINA DIIDRATADA; NOT FOUND; 500 MG COM REV CT CART BL PLAS INC X 2; M_S
1008902710045; ALGINAC; ALGINAC; NOT FOUND; 5000 MCG + 100 MG + 100 MG + 75 MG SOL INJ CX C/ CAMA  3 AMP VD AMB X 1 ML + 3 AMP VD AMB X 2 ML; M_S
1008902710088; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 50 MG + 50 MG + 50 MG COM REV CT BL AL PVDC INC X 30 ; M_S
1008902710061; ALGINAC; ALGINAC; NOT FOUND; 1MG + 50MG + 50MG + 50MG COM REV CT FR PLAS OPC X 14; M_S
1008902710118; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 50 MG + 50 MG + 50 MG COM REV CT BL AL PVDC INC X 15; M_S
1008902710101; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 50 MG + 50 MG + 50 MG COM REV CT BL AL PVDC INC X 4; M_S
1008902710096; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 50 MG + 50 MG + 50 MG COM REV CT BL AL PVDC INC X 8; M_S
1008902710150; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 100 MG + 100 MG + 100 MG COM REV LIB RETARD CT BL AL AL X 4 ; M_S
1008902710169; ALGINAC; ALGINAC; NOT FOUND; 1 MG + 100 MG + 100 MG + 100 MG COM REV LIB RETARD CT BL AL AL X 10; M_S
1008901840182; ARTREN; ARTREN; NOT FOUND; 25 MG/ML SOL INJ CX CART 5 AMP VD INC X 3 ML; M_S
1008901840220; ARTREN; ARTREN; NOT FOUND; 50 MG SUP EST CART STR X 5; M_S
1008901840018; ARTREN; ARTREN; NOT FOUND; 100 MG CAP GEL MICROG EST CART BL AL PLAS INC X 10; M_S
1008901980049; ASMALERGIN; ASMALERGIN; NOT FOUND; 0.2 MG/ML XPE CT FR PLAS AMB X 100 ML; M_S
1008901980030; ASMALERGIN; ASMALERGIN; NOT FOUND; 1 MG COM CT 5 STR X 4; M_S
1008901680053; ASALIT; ASALIT; NOT FOUND; 3 G ENEMA EST CART ENV + DIL X 100 ML; M_S
1008901680029; ASALIT; ASALIT; NOT FOUND; 250 MG SUP RET EST STR X 10; M_S
1008901680096; ASALIT; ASALIT; NOT FOUND; 400 MG COM REV EST CART 2 BL AL PLAS INC X 10; M_S
