1008902820029; LUTENIL; LUTENIL; NOT FOUND; 5 MG COM CT CART BL AL PLAS INC X 14; M_S
1008902820010; LUTENIL; LUTENIL; NOT FOUND; 5 MG COM CT CART BL AL PLAS INC X 10; M_S
1008903540011; LUVERIS; LUVERIS; NOT FOUND; 75 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL ; M_S
1008902940040; LISINOPRIL + HIDROCLOROTIAZIDA; LISINOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM EST CT 3 BL AL PLAS INC X 10; M_S
1008903550262; LEVOTIROXINA SÓDICA; LEVOTIROXINA SODICA; LEVOTIROXINA SODICA; 75 MCG COM BL AL/ AL X 30; M_S
1008903550130; LEVOTIROXINA SÓDICA; LEVOTIROXINA SODICA; LEVOTIROXINA SODICA; 100 MCG COM BL AL/ AL X 30; M_S
1008903550319; LEVOTIROXINA SÓDICA; LEVOTIROXINA SODICA; LEVOTIROXINA SODICA; 125 MCG COM BL AL/ AL X 30; M_S
1008903550191; LEVOTIROXINA SÓDICA; LEVOTIROXINA SODICA; LEVOTIROXINA SODICA; 150 MCG COM BL AL/ AL X 30; M_S
1008903550361; LEVOTIROXINA SÓDICA; LEVOTIROXINA SODICA; LEVOTIROXINA SODICA; 175 MCG COM BL AL/ AL X 30; M_S
1008903550556; LEVOTIROXINA SÓDICA; LEVOTIROXINA SODICA; LEVOTIROXINA SODICA; 200 MCG COM BL AL/ AL X 30; M_S
1008903550084; LEVOTIROXINA SÓDICA; LEVOTIROXINA SODICA; LEVOTIROXINA SODICA; 50 MCG COM BL AL/ AL X 30; M_S
1008903550033; LEVOTIROXINA SÓDICA; LEVOTIROXINA SODICA; LEVOTIROXINA SODICA; 112 MCG COM BL AL/ AL X 30; M_S
1008903550467; LEVOTIROXINA SÓDICA; LEVOTIROXINA SODICA; LEVOTIROXINA SODICA; 88 MCG COM BL AL/ AL X 30; M_S
1008903550025; LEVOTIROXINA SÓDICA; LEVOTIROXINA SODICA; LEVOTIROXINA SODICA; 25 MCG COM BL AL/ AL X 30; M_S
1008902960068; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT BL AL PLAS INC X 30; M_S
1008902960033; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM. CT. 2 BL. AL. PLAS. INC. X 15; M_S
1008902960017; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT BL AL PLAS INC X 30 ; M_S
1008903070031; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 30; M_S
1008903110017; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED ; M_S
1008902980026; LORATADINA; LORATADINA; LORATADINA; 10 MG COM REV EST CT 2 BL AL PLAS AMB X 6 ; M_S
1008903200016; LORAZEPAM; LORAZEPAM; LORAZEPAM; 1 MG COM CT BL AL PLAS INC X 20; M_S
1008903200032; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT BL AL PLAS INC X 20; M_S
1008903230111; LOSARTION; LOSARTION; NOT FOUND; 100 MG COM REV CT BL AL AL X 30; M_S
1008902990013; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV EST CART BL AL PLAS INC X 30; M_S
1008903230012; LOSARTION; LOSARTION; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 30 ; M_S
1008903230039; LOSARTION; LOSARTION; NOT FOUND; 50 MG COM REV EST CART BL AL PLAS INC X 10; M_S
1008902170032; LONAFLAM; LONAFLAM; NOT FOUND; 15 MG COM EST CART BL AL PLAS INC X 10; M_S
1008902170024; LONAFLAM; LONAFLAM; NOT FOUND; 7.5 MG COM EST CART BL AL PLAS INC X 10; M_S
