1008900420036; PAN EMECORT; PAN EMECORT; NOT FOUND; CREM DERM EST CART BG AL X 10 G; M_S
1008900420028; PAN EMECORT; PAN EMECORT; NOT FOUND; CREM DERM EST CART BG AL X 30 G; M_S
1008903600014; PERGOVERIS; PERGOVERIS; NOT FOUND; 150 UI/75 UI PO LIOF INJ CT FA VD INC + FA DIL X 1 ML; M_S
1008903600030; PERGOVERIS; PERGOVERIS; NOT FOUND; 150 UI/75 UI PO LIOF INJ CT 10 FA VD INC + 10 FA DIL X 1 ML; M_S
1008903600022; PERGOVERIS; PERGOVERIS; NOT FOUND; 150 UI/75 UI PO LIOF INJ CT 3 FA VD INC + 3 FA DIL X 1 ML; M_S
1008902280032; PLENACOR; PLENACOR; NOT FOUND; 100 MG COM EST CART BL AL PVC X 28; M_S
1008902280016; PLENACOR; PLENACOR; NOT FOUND; 25 MG COM EST CART BL AL PVC X 28; M_S
1008902280024; PLENACOR; PLENACOR; NOT FOUND; 50 MG COM EST CART BL AL PVC X 28; M_S
1008901920096; PLENAX; PLENAX; NOT FOUND; 400 MG CAP GEL DURA EST CART BL AL PLAS INC X 05; M_S
1008902490037; PSIQUIAL; PSIQUIAL; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 28; M_S
1008902490029; PSIQUIAL; PSIQUIAL; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 14; M_S
1008903270030; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV EST CT BL AL/AL X 28; M_S
1008903270057; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV EST CT BL AL/AL X 14; M_S
1008903270065; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV EST CT BL AL/AL X 28; M_S
1008903270022; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV EST CT BL AL/AL X 14; M_S
1008903270049; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV EST CT BL AL/AL X 7 ; M_S
1008903270014; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV EST CT BL AL/AL X 7 ; M_S
1008903000017; PARACETAMOL; PARACETAMOL; PARACETAMOL; GOTAS - 200MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; M_S
1008903080010; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750MG COM REVES CT BL AL PLAS AMB X 20; M_S
1008902640012; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GELAT DURA CT FR PLAS OPC X 20; M_S
1008903620066; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 40 MG COM CT BL AL/AL X 30; M_S
1008903620041; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 10 MG COM CT BL AL/AL X 30; M_S
1008903620031; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 20 MG COM CT BL AL/AL X 30; M_S
1008903810027; PRENEURIN; PRENEURIN; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PVC/ACLAR  X 30; M_S
1008903810043; PRENEURIN; PRENEURIN; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PVC/ACLAR X 30; M_S
1008903020018; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50G ; M_S
1008903060011; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G CREM DERM CT 1 BG AL X 30 G; M_S
1008903050014; PROPIONATO DE CLOBETASOL; PROPIONATO CLOBETASOL; PROPIONATO CLOBETASOL; 0.5 MG/G POM DERM CT BG AL X 30 G; M_S
