1008902230051; FLEMOXON SOLUTAB; FLEMOXON SOLUTAB; NOT FOUND; 750 MG COM SOL EST CART 3 BL AL PLAS INC X 5; M_S
1008903360031; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR TUTTI-FRUTTI) ; M_S
1008903360021; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR LARANJA); M_S
1008903360013; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR GUARANA); M_S
1008903360056; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR ABACAXI) ; M_S
1008903360048; FLORALYTE; FLORALYTE; NOT FOUND; 4.68 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 20 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR ABACAXI); M_S
1008903360102; FLORALYTE; FLORALYTE; NOT FOUND; 4.68 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 20 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR NATURAL); M_S
1008903360064; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR CEREJA); M_S
1008903360080; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR MACA); M_S
1008903360099; FLORALYTE; FLORALYTE; NOT FOUND; 2.05 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 22.75 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR COCO); M_S
1008903360137; FLORALYTE; FLORALYTE; NOT FOUND; 4.68 MG/ML + 2.16 MG/ML + 0.98 MG/ML + 20 MG/ML SOL OR FR PLAS TRANS X 500 ML (SABOR COCO); M_S
1008903410029; FLOXOCIP; FLOXOCIP; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; M_S
1008903410010; FLOXOCIP; FLOXOCIP; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; M_S
1008901730069; FLOGAN SOLÚVEL; FLOGAN SOLUVEL; NOT FOUND; 25 MG/ML SOL INJ CX 3 AMP VD INC X 3 ML; M_S
1008901730247; FLOGAN SOLÚVEL; FLOGAN SOLUVEL; NOT FOUND; 15 MG/ML SUS OR CT CART FR PLAS OPC GOT X 20 ML; M_S
1008902080051; FLOGAN SOLÚVEL; FLOGAN SOLUVEL; NOT FOUND; 100 MG COM SOL CT CART BL AL PLAS TRANS X 10; M_S
1008902080033; FLOGAN SOLÚVEL; FLOGAN SOLUVEL; NOT FOUND; 12.5MG/ML COM SOL CT CART BL AL PLAS TRANS X 20; M_S
1008902080076; FLOGAN SOLÚVEL; FLOGAN SOLUVEL; NOT FOUND; 50 MG COM SOL EST CART 2 BL AL PLAS TRANS X 10; M_S
1008901730239; FLOGAN SOLÚVEL; FLOGAN SOLUVEL; NOT FOUND; 50 MG COM REV CT CART 2 BL AL PLAS INC X 10; M_S
1008902210026; FEM 7; FEM 7; NOT FOUND; 1.5 MG ADS TRANS LIB PROG CT CART SACHE X 04; M_S
1008903330033; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1MG COM REV CT BL AL PLAS INC X 30; M_S
1008903370019; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS INC X 30; M_S
1008903330051; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 60; M_S
1008902150023; FLAXIN; FLAXIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 30; M_S
1008902150015; FLAXIN; FLAXIN; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 15; M_S
1008902870018; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2MG/ML XPE CT FR PLAS AMB X 100ML; M_S
1008900900254; FLORATIL; FLORATIL; NOT FOUND; 200 MG/G PO ORAL CART 4 SACHE X 1G; M_S
1008900900246; FLORATIL; FLORATIL; NOT FOUND; 200 MG/G PO ORAL CART 6 SACHE X 1G; M_S
1008900900394; FLORATIL; FLORATIL; NOT FOUND; 200 MG/G PO OR CART 25  SACH X 1 G (EMB FRAC) ; M_S
1008900900467; FLORATIL; FLORATIL; NOT FOUND; 200 MG/G + 250 MG/1.25 G PO ORAL CART 6 SACH X 1 G + 6 SACH X 1.25 G; M_S
1008900900459; FLORATIL; FLORATIL; NOT FOUND; 200 MG/G + 250 MG/1.25 G PO ORAL CART 3 SACH X 1 G + 3 SACH X 1.25 G; M_S
