1008902220056; CAMPRAL; CAMPRAL; NOT FOUND; 333 MG COM REV EST CART 7 BL AL PLAS INC X 12; M_S
1008903690013; CETROTIDE; CETROTIDE; NOT FOUND; 0.25 MG PO LIOF INJ CT FA VD INC + 1 SER DIL + 2 AGULHAS + 2 TOALHAS; M_S
1008900710269; CEBION; CEBION; NOT FOUND; 100 MG/ML SOL OR EST CART FR PLAS OPC GOT X 30 ML; M_S
1008900710018; CEBION; CEBION; NOT FOUND; 200 MG/ML SOL OR EST CART FR VD AMB X 30 ML GOTAS; M_S
1008900710131; CEBION; CEBION; NOT FOUND; 1 G COM EFERV EST CART 2 TB PLAS X 10; M_S
1008900710471; CEBION; CEBION; NOT FOUND; 1 G COM EFERV EST CART 2 TB PLAS X 10 SABOR LARANJ; M_S
1008900710447; CEBION; CEBION; NOT FOUND; 1 G COM EFERV EST CART 3 TB PLAS X 10 SABOR ACEROL; M_S
1008900710455; CEBION; CEBION; NOT FOUND; 1 G COM EFERV EST CART 3 TB PLAS X 10 SABOR LARANJ; M_S
1008900710051; CEBION; CEBION; NOT FOUND; 1G COM EFERV EST CART TB PLAS X 10; M_S
1008900710382; CEBION; CEBION; NOT FOUND; 1G COM EFERV EST TB PLAS X 10 - SABOR ACEROLA; M_S
1008900710145; CEBION; CEBION; NOT FOUND; 2 G COM EFERV EST CART 02 TB PLAS X 10; M_S
1008900710061; CEBION; CEBION; NOT FOUND; 2 G COM EFERV EST CART TB PLAS X 10; M_S
1008900710331; CEBION; CEBION; NOT FOUND; 500 MG CAP GEL MICROG EST CART TB PLAS X 20; M_S
1008900710481; CEBION; CEBION; NOT FOUND; 1G COM EFERV SEM ACUCAR EST CART TB PLAS X 10; M_S
1008900710242; CEBION; CEBION; NOT FOUND; 500 MG COM MAST CX CART 50 SEM COLMEIA STR X 2 SABOR TUTTI-FRUTTI; M_S
1008900710323; CEBION; CEBION; NOT FOUND; 500 MG COM MAST EST CART 5 STR X 2 SABOR TUTTI-FR; M_S
1008900710315; CEBION; CEBION; NOT FOUND; 500 MG COM MAST EST CART 5 STR X 2 SABOR LARANJA; M_S
1008900710234; CEBION; CEBION; NOT FOUND; 500MG COM MAST CX CART SEM COLMEIA 50 STR X 2 SABOR LARANJA; M_S
1008900710511; CEBION; CEBION; NOT FOUND; 500 MG COM LIB MOD CT BL AL/AL X 30; M_S
1008902120019; CLINDAL AZ; CLINDAL AZ; NOT FOUND; 40 MG/ML PO PREP EXT CT FR PLAS OPC X 600 MG; M_S
1008902120027; CLINDAL AZ; CLINDAL AZ; NOT FOUND; 40 MG/ML PO PREP EXT CT FR PLAS OPC X 900 MG; M_S
1008902120061; CLINDAL AZ; CLINDAL AZ; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 2; M_S
1008902120051; CLINDAL AZ; CLINDAL AZ; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3 ; M_S
1008902120043; CLINDAL AZ; CLINDAL AZ; NOT FOUND; CX BL 6 CAPS 250MG; M_S
1008902120078; CLINDAL AZ; CLINDAL AZ; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 5; M_S
1008901940055; CONCOR; CONCOR; NOT FOUND; 1.25 MG COM REV EST CART  BL AL PLAS INC X 14; M_S
1008901940292; CONCOR; CONCOR; NOT FOUND; 10 MG COM REV EST CART BL AL PLAS INC X 14; M_S
1008901940111; CONCOR; CONCOR; NOT FOUND; 2.5 MG COM REV EST CART BL AL PLAS INC X 14; M_S
1008901940233; CONCOR; CONCOR; NOT FOUND; 5 MG COM REV EST CART BL AL PLAS INC X 14; M_S
1008901940063; CONCOR; CONCOR; NOT FOUND; 1.25 MG COM REV EST CART 2 BL AL PLAS INC X 14; M_S
1008901940306; CONCOR; CONCOR; NOT FOUND; 10 MG COM REV EST CART 2 BL AL PLAS INC X 14; M_S
1008901940128; CONCOR; CONCOR; NOT FOUND; 2.5 MG COM REV EST  CART 2 BL AL PLAS INC X 14; M_S
1008901940241; CONCOR; CONCOR; NOT FOUND; 5 MG COM REV EST CART 2 BL AL PLAS INC X 14; M_S
1008903450020; CELAPRAM; CELAPRAM; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; M_S
1008902650034; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM EST FR PLAS OPC X 50; M_S
1008902650026; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM EST FR PLAS OPC X 30; M_S
1008902650077; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM EST FR PLAS OPC X 30; M_S
1008902650085; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM EST FR PLAS OPC X 50; M_S
1008902650123; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM EST FR PLAS OPC X 30; M_S
1008902830024; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 20MG/ML XPE CT FR PLAS AMB X 100ML; M_S
1008902830016; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50MG/ML XPE CT FR PLAS AMB X 100ML; M_S
1008900090010; CEBION CALCIO; CEBION CALCIO; NOT FOUND; 500 MG + 600 MG COM EFEV EST CART TB PLAS X 10; M_S
1008902070011; CEBION PLÚS MAGNÉSIO; CEBION PLUS MAGNESIO; NOT FOUND; TUBO 10 COMP EFERV.; M_S
1008900150301; CITONEURIN; CITONEURIN; NOT FOUND; (333.33 MCG + 33.33 MG + 33.33 MG)/ML SOL INJ IM CX AMP VD INC X 3 ML; M_S
1008900150352; CITONEURIN; CITONEURIN; NOT FOUND; (1666.66 MCG + 33.33 MG + 33.33 MG)/ML SOL INJ IM CX AMP VD INC X 3 ML; M_S
1008900150425; CITONEURIN; CITONEURIN; NOT FOUND; (100 + 100) MG/ML SOL INJ IM CX CAMA 3 AMP VD AMB X 1ML + 1000 MCG/ML 3 AMP X 1ML; M_S
1008900150441; CITONEURIN; CITONEURIN; NOT FOUND;  (100 + 100) MG/ML SOL INJ IM CX CAMA 3 AMP VD AMB X 1ML + 5000 MCG/ML 3 AMP X 1ML; M_S
