1008902470028; DICLIN; DICLIN; NOT FOUND; 2 MG + 0.035 MG COM REV CT CART EST CAL AL PVC X 21; M_S
1008902470036; DICLIN; DICLIN; NOT FOUND; 2 MG + 0.035 MG COM REV CT CART EST CAL AL PVC X 63; M_S
1008900170035; DEXA CITONEURIN; DEXA CITONEURIN; NOT FOUND; SOL INJ EST 3 AMP VD INC X 2 ML + 3 AMP VD INC X 1 ML; M_S
1008900170051; DEXA CITONEURIN; DEXA CITONEURIN; NOT FOUND; COM REV EST 2 BL AL PLAS AMB X 10; M_S
1008902420012; DINAVITAL; DINAVITAL; NOT FOUND; 1G + 1G COM EFER CT TB PLAS INC X 10; M_S
1008903780012; DEXA-CITONEURIN NFF; DEXA CITONEURIN NFF; NOT FOUND; (100 MG + 100 MG) + (5 MG + 4.37 MG) SOL INJ IM CT 1 AMP VD AMB X 1 ML + 1 AMP VD AMB X 2 ML ; M_S
1008903780020; DEXA-CITONEURIN NFF; DEXA CITONEURIN NFF; NOT FOUND; (100 MG + 100 MG) + (5 MG + 4.37 MG) SOL INJ IM CT 3 AMP VD AMB X 1 ML + 3 AMP VD AMB X 2 ML; M_S
1008902400100; DIOXAFLEX; DIOXAFLEX; NOT FOUND; 180 MG ADS TRANDERMICO EST ENV AL X 5; M_S
1008902400119; DIOXAFLEX; DIOXAFLEX; NOT FOUND; 10MG/G GEL CT CART BG AL X 50G; M_S
1008902400054; DIOXAFLEX; DIOXAFLEX; NOT FOUND; 100MG COM REV RETARD CT 2 BL AL PLAS INC X 10; M_S
1008902400011; DIOXAFLEX; DIOXAFLEX; NOT FOUND; 50MG COM REV CT 2 BL AL PLAS INC X 10; M_S
1008902400038; DIOXAFLEX; DIOXAFLEX; NOT FOUND; 75MG COM REV CT BL AL PLAS INC X 15; M_S
1008903180015; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100 MG CAP GEL DURA MICROG EST CART BL AL PLAS INC X 10; M_S
1008903010012; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROPIONATO BETAMETASONA ACIDO SALICILICO; NOT FOUND; 0.5 MG/G + 30 MG/G POM DERM CT BG AL X 30 G ; M_S
