1008902730070; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS OPC X 30; M_S
1008902730046; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS OPC X 20; M_S
1008902730089; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS OPC X 30; M_S
1008902730038; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS OPC X 60; M_S
1008902730011; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS OPC X 20; M_S
1008902010094; BICONCOR; BICONCOR; NOT FOUND; 10 MG / 6.25 MG COM REV CT FR PLAS OPC X 30; M_S
1008902010078; BICONCOR; BICONCOR; NOT FOUND; 2.5 MG / 6.25 MG COM REV CT FR PLAS OPC X 30; M_S
1008902010108; BICONCOR; BICONCOR; NOT FOUND; 2.5 MG / 6.25 MG COM REV CT BL AL PLAS INC X 30; M_S
1008902010086; BICONCOR; BICONCOR; NOT FOUND; 5.0 MG / 6.25 MG COM REV CT FR PLAS OPC X 30; M_S
1008902010116; BICONCOR; BICONCOR; NOT FOUND; 5.0 MG / 6.25 MG COM REV CT BL AL PLAS INC X 30; M_S
1008903220017; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20 ; M_S
1008903220041; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20 ; M_S
1008903090016; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; M_S
