1008902300017; TRANQUINAL; TRANQUINAL; NOT FOUND; 0.25 MG COM EST CART BL AL PVC X 20; M_S
1008902300025; TRANQUINAL; TRANQUINAL; NOT FOUND; 0.5 MG COM EST CART BL AL PVC X 20; M_S
1008902300033; TRANQUINAL; TRANQUINAL; NOT FOUND; 1 MG COM EST CART BL AL PVC X 20; M_S
1008902300041; TRANQUINAL; TRANQUINAL; NOT FOUND; 2 MG COM EST CART BL AL PVC X 20; M_S
1008902500016; TRIFAMOX IBL; TRIFAMOX IBL; NOT FOUND; 1000 MG + 500 MG PO INJ CT CART FA VD INC + DIL AM; M_S
1008902500024; TRIFAMOX IBL; TRIFAMOX IBL; NOT FOUND; 500 MG + 250 MG PO INJ CT CART FA VD INC + DIL AMP; M_S
1008902500083; TRIFAMOX IBL; TRIFAMOX IBL; NOT FOUND; 25 MG/ML+ 25 MG/ML PO PREP EXT CT CART FR PLAS X 3; M_S
1008902500091; TRIFAMOX IBL; TRIFAMOX IBL; NOT FOUND; 50 MG/ML + 50 MG/ML PO PREP EXT CT CART FR PLAS OP; M_S
1008902500148; TRIFAMOX IBL; TRIFAMOX IBL; NOT FOUND; BD - 200 MG/ML + 50 MG/ML PO PARA PREP EXT CT FR PLAS OPC X 30ML + DOSIF; M_S
1008902500156; TRIFAMOX IBL; TRIFAMOX IBL; NOT FOUND; BD - 200MG/ML + 50MG/ML (APOS RECONSTITUICAO) PO PARA PREP EXT CT FR PLAS OPC X 60ML + DOSIF; M_S
1008902500075; TRIFAMOX IBL; TRIFAMOX IBL; NOT FOUND; 250 MG + 250 MG COM REV CT CART 2 BL AL PVC X 8; M_S
1008902500067; TRIFAMOX IBL; TRIFAMOX IBL; NOT FOUND; 250 MG + 250 MG COM REV CT CART BL AL PVC X 8; M_S
1008902500040; TRIFAMOX IBL; TRIFAMOX IBL; NOT FOUND; 500 MG + 500 MG COM REV CT CART BL AL PVC X 8; M_S
1008902500105; TRIFAMOX IBL; TRIFAMOX IBL; NOT FOUND; BD - 875MG + 125MG COM REV CT CART 2 BL AL PLAS INC X 7; M_S
