9579, SOL FIS.CLOR.SODIO , SOL FIS CLOR SODIO, NOT FOUND, SOLN INJ. 0.90 % 500 ML x 1, BME
67754, SOL FIS.CLOR.SODIO , SOL FIS CLOR SODIO, NOT FOUND, SOLN INJ S/F 0.90 % 1000 ML x 1, BME
67752, SOL FIS.CLOR.SODIO , SOL FIS CLOR SODIO, NOT FOUND, SOLN INJ S/F 0.90 % 250 ML x 30, BME
67753, SOL FIS.CLOR.SODIO , SOL FIS CLOR SODIO, NOT FOUND, SOLN INJ S/F 0.90 % 500 ML x 20, BME
67760, SOL GLIC.FISIOLOG. , SOL GLIC FISIOLOG, NOT FOUND, SOLN INJ S/F 500 ML x 20, BME
67775, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOLN INJ. 5 % 500 ML x 20, BME
67769, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOLN INJ S/F 5 % 1000 ML x 10, BME
67767, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOLN INJ S/F 5 % 250 ML x 30, BME
67768, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOLN INJ S/F 5 % 500 ML x 20, BME
27672, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOLN INJ. 500 ML x 1, BME
67783, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOLN INJ S/F 500 ML x 20, BME
