74261; CERNE-12 ; CERNE 12; NOT FOUND; F.AMP 5 ML x 10; BAX
53637; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; A.IV 9 % 100 ML x 1; BAX
75234; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; BOLSA S/F 0.90 % 100 ML x 1; BAX
75630; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; BOLSA S/F 0.90 % 100 ML x 72; BAX
75631; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; BOLSA S/F 0.90 % 1000 ML x 16; BAX
75629; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; BOLSA S/F 0.90 % 500 ML x 30; BAX
81761; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOL INJ S/F 0.90 % 250 ML x 50; BAX
54983; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 1000 ML x 1; BAX
62806; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 250 ML x 42; BAX
54980; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 50 ML x 1; BAX
54982; CLORETO DE SODIO ; CLORETO SODIO; NOT FOUND; SOLN INJ. 0.90 % 500 ML x 1; BAX
