500514201160110; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G; A4H
500512070043806; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0MG/G POM DERM CT BG AL X 20G; A4H
500507601116418; VITA E; VITA E; NOT FOUND; 400MG CAP GEL MOLE CT FR PLAS OPC X 30; A4H
500507404116318; VERTIX; VERTIX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; A4H
500507401117410; VERTIX; VERTIX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 50; A4H
500507403136404; VERTIX; VERTIX; NOT FOUND; 5.0MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML ; A4H
500507501111414; VERTIZINE; VERTIZINE; NOT FOUND; 10 MG + 3 MG COM CT BL AL PLAS INC X 20; A4H
500513050049104; VIVENCIA; VIVENCIA; NOT FOUND; 1.5 MG CAP CT BL AL PLAS TRANS X 15 ; A4H
500513050049204; VIVENCIA; VIVENCIA; NOT FOUND; 1.5 MG CAP CT BL AL PLAS TRANS X 30; A4H
500513120053504; VIVENCIA; VIVENCIA; NOT FOUND; 2 MG/ML SOL OR CT FR VD AMB X 120 ML + SER DOS ; A4H
500513120053404; VIVENCIA; VIVENCIA; NOT FOUND; 2 MG/ML SOL OR CT FR VD AMB X 50 ML + SER DOS ; A4H
500513050049304; VIVENCIA; VIVENCIA; NOT FOUND; 3.0 MG CAP CT BL AL PLAS TRANS X 30; A4H
500513050049404; VIVENCIA; VIVENCIA; NOT FOUND; 3.0 MG CAP CT BL AL PLAS TRANS X 60; A4H
500513050049504; VIVENCIA; VIVENCIA; NOT FOUND; 4.5 MG CAP CT BL AL PLAS TRANS X 30; A4H
500513050049604; VIVENCIA; VIVENCIA; NOT FOUND; 6.0 MG CAP CT BL AL PLAS TRANS X 30; A4H
500514030056003; VIDMAX; VIDMAX; NOT FOUND; 25 MG COM REV CT BL AL/AL X 10 ; A4H
500514030056103; VIDMAX; VIDMAX; NOT FOUND; 25 MG COM REV CT BL AL/AL X 60; A4H
500514030056203; VIDMAX; VIDMAX; NOT FOUND; 50 MG COM REV CT BL AL/AL X 10; A4H
500514030056303; VIDMAX; VIDMAX; NOT FOUND; 50 MG COM REV CT BL AL/AL X 60; A4H
500514030056403; VIDMAX; VIDMAX; NOT FOUND; 100 MG COM REV CT BL AL/AL X 10 ; A4H
500514030056503; VIDMAX; VIDMAX; NOT FOUND; 100 MG COM REV CT BL AL/AL X 60; A4H
