500512202119411; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 10; A4H
500512203115418; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 30; A4H
500512204111416; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 200 UI COM REV CT FR PLAS OPC X 60; A4H
500512205118414; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 400 UI COM REV CT FR PLAS OPC X 10; A4H
500512206114412; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 400 UI COM REV CT FR PLAS OPC X 30; A4H
500512201112411; FEMME CÁLCIO D 400; FEMME CALCIO D 400; NOT FOUND; 500 MG + 400 UI COM REV CT FR PLAS OPC X 60; A4H
500503601111413; FEMME; FEMME; NOT FOUND; COM REV CT FR PLAS OPC X 30; A4H
500503701116417; FEMME COM FLÚOR; FEMME FLUOR; NOT FOUND; COM REV CT FR PLAS OPC X 30; A4H
500508906131419; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR 150ML TRADICIONAL; A4H
500508913138415; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR VD X 150ML (SABOR LARANJA); A4H
500508914177317; FLOGORAL; FLOGORAL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS INC X 150 ML (SABOR LARANJA); A4H
500508915173315; FLOGORAL; FLOGORAL; NOT FOUND; 1.5 MG/ML COLUT CT FR PLAS INC X 150 ML (SABOR MENTA); A4H
500508909130413; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR PET X 250ML + CP MED (SABOR CEREJA); A4H
500508910139410; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR PET X 250ML + CP MED (SABOR LARANJA); A4H
500508911135419; FLOGORAL; FLOGORAL; NOT FOUND; COLUTORIO FR PET X 250ML + CP MED (SABOR LIMAO); A4H
