527902906139413, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 100 ML, P7B
527902907135411, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 60ML + SERINGA DOSADORA 5 ML, P7B
527902901110417, KLARITRIL, KLARITRIL, NOT FOUND, 250MG COM CT BL AL INC X8, P7B
527902903113413, KLARITRIL, KLARITRIL, NOT FOUND, 500MG COM CT BL AL INC X14, P7B
527902906139413, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 100 ML, P7B
527902907135411, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 60ML + SERINGA DOSADORA 5 ML, P7B
527902901110417, KLARITRIL, KLARITRIL, NOT FOUND, 250MG COM CT BL AL INC X8, P7B
527902903113413, KLARITRIL, KLARITRIL, NOT FOUND, 500MG COM CT BL AL INC X14, P7B
527902906139413, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 100 ML, P7B
527902907135411, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 60ML + SERINGA DOSADORA 5 ML, P7B
527902901110417, KLARITRIL, KLARITRIL, NOT FOUND, 250MG COM CT BL AL INC X8, P7B
527902903113413, KLARITRIL, KLARITRIL, NOT FOUND, 500MG COM CT BL AL INC X14, P7B
527902906139413, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 100 ML, P7B
527902907135411, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 60ML + SERINGA DOSADORA 5 ML, P7B
527902901110417, KLARITRIL, KLARITRIL, NOT FOUND, 250MG COM CT BL AL INC X8, P7B
527902903113413, KLARITRIL, KLARITRIL, NOT FOUND, 500MG COM CT BL AL INC X14, P7B
527902906139413, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 100 ML, P7B
527902907135411, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 60ML + SERINGA DOSADORA 5 ML, P7B
527902901110417, KLARITRIL, KLARITRIL, NOT FOUND, 250MG COM CT BL AL INC X8, P7B
527902903113413, KLARITRIL, KLARITRIL, NOT FOUND, 500MG COM CT BL AL INC X14, P7B
527902906139413, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 100 ML, P7B
527902907135411, KLARITRIL, KLARITRIL, NOT FOUND, 250 MG/5ML PO SUS EXT CT FR PLAS TRANSP X 60ML + SERINGA DOSADORA 5 ML, P7B
