1267500710022; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; NQA
1267500710014; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED  ; NQA
1267500710049; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; NQA
1267500710030; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; NQA
1267501560032; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT BL AL AL X 12; NQA
1267501560075; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT BL AL AL X 24; NQA
1267500690013; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; NQA
1267500170028; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS TRANS X 10; NQA
1267500170011; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS TRANS X 25; NQA
1267501020011; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10 ML + CP MED; NQA
1267501280013; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 10; NQA
1267500800013; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 20 ; NQA
1267500800072; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 20 ; NQA
1267500800137; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS INC X 20 ; NQA
1267500800201; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2 MG COM CT BL AL PLAS INC X 30; NQA
1267500800080; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; NQA
1267500800145; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS INC X 30; NQA
1267500190029; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 125MG/5ML PO SUS OR CT FR PLAS OPC X 75 ML; NQA
1267500190010; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 250 MG/5ML + 62.5 MG/5ML PO SUS OR CT FR PLAS OPC X 75 ML; NQA
1267500460042; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT  STR  X 6; NQA
1267500460018; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT 10 STR AL X 10 (EMB HOSP); NQA
1267500460034; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT 100 STR AL X 6 (EMB HOSP); NQA
1267500460050; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT  STR  X 18; NQA
1267500460026; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT 50 STR AL X 6 (EMB HOSP); NQA
1267500180104; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 15; NQA
1267500550025; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML  ; NQA
1267500180015; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; NQA
1267500180041; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10; NQA
1267500180031; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NQA
1267500180023; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 6; NQA
1267500180090; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500MG CAP GEL DURA CX 100 BL AL PLAS INC X 10 (EMB HOSP); NQA
1267500180066; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500MG CAP GEL DURA CX 100 BL AL PLAS INC X 6 (EMB HOSP); NQA
1267500180074; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500MG CAP GEL DURA CX 20 BL AL PLAS INC X 10 (EMB HOSP); NQA
1267500180082; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500MG CAP GEL DURA CX 50 BL AL PLAS INC X 10 (EMB HOSP); NQA
1267500180058; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500MG CAP GEL DURA CX 50 BL AL PLAS INC X 6; NQA
1267500990084; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; NQA
1267500990051; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; NQA
1267500990025; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30; NQA
1267501340024; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL AL X 30; NQA
1267501340040; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL AL X 60; NQA
1267501340067; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL AL X 30; NQA
1267501340083; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL AL X 60; NQA
1267501340105; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL AL X 30; NQA
1267500560039; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 50 MG/ML PO SUS OR CT FR PLAS TRANS X 70 ML; NQA
1267500560012; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 125 MG/5ML SUSP FR X 50 ML; NQA
1267500560020; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML  ; NQA
