1267501590020; VASIFIL; VASIFIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X2; NQA
1267501590055; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X1; NQA
1267501590063; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X2; NQA
1267501590071; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X4; NQA
1267501590128; VASIFIL; VASIFIL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X4 ; NQA
1267501590039; VASIFIL; VASIFIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X4; NQA
1267500930014; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G CREM DERM CT BG AL X 20 G; NQA
1267500920019; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G POM DERM CT BG AL X 20 G; NQA
1267501450083; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; NQA
1267501450024; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL AL X 30; NQA
1267501450067; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; NQA
1267501450040; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; NQA
1267501450105; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; NQA
