1267501460046; IMOFLOX; IMOFLOX; NOT FOUND; 400 MG COM REV CT BL AL AL X 5; NQA
1267501460054; IMOFLOX; IMOFLOX; NOT FOUND; 400 MG COM REV CT BL AL AL X 7; NQA
1267501210015; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUS OR CT FR PLAS OPC X 20 ML + CGT; NQA
1267501230024; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; NQA
1267501250017; ISOTRAT; ISOTRAT; NOT FOUND; 10 MG CAP GEL MOLE CT BL AL AL X 30; NQA
1267501250033; ISOTRAT; ISOTRAT; NOT FOUND; 20 MG CAP GEL MOLE CT BL AL AL X 30; NQA
1267501420036; ISOTRETINOINA; ISOTRETINOINA; ISOTRETINOINA; 20 MG CAP GEL MOLE CT BL AL AL X 30; NQA
1267500360021; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAPS GEL DURA CT 1 BL AL PLAS INC X 10; NQA
1267500360031; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAPS GEL DURA CT 1 BL AL PLAS INC X 15; NQA
1267500360013; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAPS GEL DURA CT 1 BL AL PLAS INC X 4; NQA
1267500360048; ITRACONAZOL; ITRACONAZOL; ITRACONAZOL; 100 MG CAPS GEL DURA CT 7 BL AL PLAS INC X 4; NQA
