1267500950015; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NQA
1267500950023; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; NQA
1267500910072; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20; NQA
1267500010012; MEPHAQUIN; MEPHAQUIN; NOT FOUND; 250MG COMP REV CT FR PLAS OPC X 100; NQA
1267500160049; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10MG COM CT 4 BL AL/AL X 7; NQA
1267500160073; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20MG COM CT 4 BL AL/AL X 7; NQA
1267500160014; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 30; NQA
1267500160030; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT   BL AL/AL X 30; NQA
1267500160057; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT  BL AL/AL X 30; NQA
1267500580048; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 15 MG COM REV CT BL AL PLAS INC X 10; NQA
1267500580056; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 15 MG COM REV CT BL AL PLAS INC X 20; NQA
1267500580064; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 15 MG COM REV CT BL AL PLAS INC X 30; NQA
1267500580013; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 7.5 MG COM REV CT BL AL PLAS INC X 10; NQA
1267500580021; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 7.5 MG COM REV CT BL AL PLAS INC X 20; NQA
1267500580031; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 7.5 MG COM REV CT BL AL PLAS INC X 30; NQA
1267500820103; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS BCO LEIT X 10; NQA
1267500820235; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS BCO LEIT X 10; NQA
1267500790018; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC ; NQA
