1267500770173; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS LEIT X 10; NQA
1267500770051; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 6 MG COM CT BL AL PLAS LEIT X 20; NQA
1267501190030; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOS; NQA
1267501190022; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOS; NQA
1267501180027; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 10; NQA
1267501180061; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 30; NQA
1267500330041; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT 10 STR AL X 10 (EMB HOSP); NQA
1267500330068; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT 100 STR AL X 10 (EMB HOSP); NQA
1267500330025; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT 2 STR AL X 10; NQA
1267500330033; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT 4 STR AL X 10; NQA
1267500330051; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT 50 STR AL X 10 (EMB HOSP); NQA
1267500330017; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT 1 STR AL X 10; NQA
1267501060031; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; NQA
1267500340012; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT 1 BL AL PLAS INC X 10; NQA
1267500340039; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT 10 BL AL PLAS INC X 10 (EMB HOSP); NQA
1267500340055; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT 100 BL AL PLAS INC X 10 (EMB HOSP); NQA
1267500340020; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT 2 BL AL PLAS INC X 10; NQA
1267500340047; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT 50 BL AL PLAS INC X 10 (EMB HOSP); NQA
1267500350018; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 10; NQA
1267500350034; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 100 (EMB HOSP); NQA
1267500350050; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 1000 (EMB HOSP); NQA
1267500350026; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 20; NQA
1267500350042; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 500 (EMB HOSP); NQA
1267501660010; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.125 MG COM CT BL AL AL X 30 ; NQA
1267501660096; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.25 MG COM CT BL AL AL X 30 ; NQA
1267501660134; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 1 MG COM CT BL AL AL X 30; NQA
1267500880017; DIMETICONA; DIMETICONA; DIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; NQA
1267500900018; DIMETICONA; DIMETICONA; DIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; NQA
1267501000010; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; NQA
1267501000037; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; NQA
1267501090052; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); NQA
1267501360033; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 30; NQA
1267501360017; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 60; NQA
1267501510027; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21; NQA
1267501860011; DROSPIRENONA+ ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.02 MG COM REV CT BL AL PLAS OPC X 24; NQA
1267500030013; DOLOBENE; DOLOBENE; NOT FOUND; CT BG AL X 50G; NQA
