1267500370019; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 250MG COM REV CT BL AL PLAS INC X 3; NQA
1267500370027; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 250MG COM REV CT BL AL PLAS INC X 5; NQA
1267500370035; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 250 MG COM REV CT BL AL PLAS INC X 7; NQA
1267500370043; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500MG COM REV CT BL AL PLAS INC X 5; NQA
1267500370051; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS TRANS X 7; NQA
1267500380030; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG 1 BL X 10; NQA
1267500380014; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT 1 BL AL PLAS INC X 10; NQA
1267500380022; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT 3 BL AL PLAS INC X 10; NQA
1267500380057; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT 1 BL AL PLAS INC X 10; NQA
1267500380049; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT 3 BL AL PLAS INC X 10; NQA
1267500380065; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT 3 BL AL PLAS INC X 10; NQA
1267500780020; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; NQA
1267500390036; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT 1 BL AL PLAS INC X 10; NQA
1267500390011; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT 1 BL AL PLAS INC X 6; NQA
1267500390028; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT 2 BL AL PLAS INC X 10; NQA
1267500390044; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT 2 BL AL PLAS INC X 6 ; NQA
1267500400041; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 12.5MG COM REV CT 1 BL AL PLAS OPC X 10; NQA
1267500400031; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 12.5MG COM REV CT 1 BL AL PLAS OPC X 21; NQA
1267500400015; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 12.5MG COM REV CT 100 BL AL PLAS OPC X 21; NQA
1267500400023; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 12.5MG COM REV CT 50 BL AL PLAS OPC X 21 (EMB HOSP); NQA
1267500400066; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50MG COM REV CT 1 BL AL PLAS OPC X 10; NQA
1267500400090; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 14; NQA
1267500400074; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50MG COM REV CT 100 BL AL PLAS OPC X 14 (EMB HOSP); NQA
1267500400082; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 28; NQA
1267500400058; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 30; NQA
1267500400104; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50MG COM REV CT 50 BL AL PLAS OPC X 14 (EMB HOSP); NQA
1267500400112; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS OPC X 60; NQA
1267500410010; LOVASTATINA; LOVASTATINA; LOVASTATINA; 10MG COM CT 1 BL AL PLAS INC X 10; NQA
1267500410029; LOVASTATINA; LOVASTATINA; LOVASTATINA; 10 MG COM CT 3 BL AL PLAS INC X 10; NQA
1267500410037; LOVASTATINA; LOVASTATINA; LOVASTATINA; 20 MG COM CT 1 BL AL PLAS INC X 10; NQA
1267500410045; LOVASTATINA; LOVASTATINA; LOVASTATINA; 20 MG COM CT 3 BL AL PLAS INC X 10; NQA
1267500410053; LOVASTATINA; LOVASTATINA; LOVASTATINA; 40 MG COM CT 1 BL AL PLAS INC X 10; NQA
1267500410061; LOVASTATINA; LOVASTATINA; LOVASTATINA; 40MG COM CT 3 BL AL PLAS INC X 10; NQA
