1267500210097; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10MG COM CT 10 BL AL PLA BCO OPC X 10 (EMB HOSP); NQA
1267500210070; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10MG COM CT 2 BL AL PLA BCO OPC X 10; NQA
1267500210089; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT 3 BL AL PLA BCO OPC X 10; NQA
1267500210100; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10MG COM CT 50 BL AL PLA BCO OPC X 10 (EMB HOSP); NQA
1267500210062; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10MG COM CT BL AL PLA BCO OPC X 10; NQA
1267500210046; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5MG COM CT 10 BL AL PLA BCO OPC X 10 (EMB HOSP); NQA
1267500210021; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5MG COM CT 2 BL AL PLA BCO OPC X 10; NQA
1267500210038; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLA BCO OPC X 30; NQA
1267500210054; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5MG COM CT 50 BL AL PLA BCO OPC X 10 (EMB HOSP); NQA
1267500210011; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5MG COM CT BL AL PLA BCO OPC X 10; NQA
1267501220010; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ ML SOL INAL CT FR VD AMB CGT X 20 ML ; NQA
1267501070027; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1 MG/ML SOL OR CT FR VD AMB X 120ML + CP MED; NQA
1267501070043; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD AMB X 20ML + CGT; NQA
