1267501750028; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 8 MG COM CT BL AL PLAS OPC X 30; NQA
1267501750052; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 16 MG COM CT BL AL PLAS OPC X 30; NQA
1267501720021; CANDECOR; CANDECOR; NOT FOUND; 8 MG COM CT BL AL PLAS OPC X 30; NQA
1267501720056; CANDECOR; CANDECOR; NOT FOUND; 16 MG COM CT BL AL PLAS OPC X 30; NQA
1267501790021; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; NQA
1267501790054; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; NQA
1267501800025; CANDECOR HCT; CANDECOR HCT; NOT FOUND; 8 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; NQA
1267501800051; CANDECOR HCT; CANDECOR HCT; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; NQA
1267500850010; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; NQA
1267500850045; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; NQA
1267501600026; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL/AL X 15; NQA
1267501600042; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL/AL X 30; NQA
1267501600093; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL/AL X 15; NQA
1267501600115; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL/AL X 30; NQA
1267501600166; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL/AL X 15; NQA
1267501600182; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL/AL X 30; NQA
1267501600190; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL/AL X 60; NQA
