1267501680021; ONIMORF; ONIMORF; NOT FOUND; 50 MG/ML ESM CT FR VD AMB X 2.5 ML + (10 ESP + 30 COMPRESS + 30 LIXAS); NQA
1267500040116; OLFEN; OLFEN; NOT FOUND; 75MG SOL INJ CT EST PLAS 5 AMP X 2 ML; NQA
1267500040094; OLFEN RECTOCAPS; OLFEN RECTOCAPS; NOT FOUND; 100MG SUS RET CT STP X AL X 5; NQA
1267500040086; OLFEN RECTOCAPS; OLFEN RECTOCAPS; NOT FOUND; 50MG SUS RET CT STP X AL X 5; NQA
1267500040132; OLFEN; OLFEN; NOT FOUND; GEL P USO TOP BG AL 50G; NQA
1267500040051; OLFEN; OLFEN; NOT FOUND; DEPOCAPS 100 SR CAP GEL DURA MICROG CT BL AL PLAS INC X 10; NQA
1267500040061; OLFEN; OLFEN; NOT FOUND; DEPOCAPS 100 SR CAP GEL DURA MICROG CT 2 BL AL PLAS INC X 10; NQA
1267500040027; OLFEN LACTAB; OLFEN LACTAB; NOT FOUND; 25MG COMP REV CT 2 BL AL PLAS INC X 10; NQA
1267500040035; OLFEN LACTAB; OLFEN LACTAB; NOT FOUND; 50MG COMP REV CT 2 BL AL PLAS INC X 10; NQA
1267500480027; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCG CT FR PLAS OPC X 14; NQA
1267500480019; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCG CT FR PLAS OPC X 7; NQA
1267500480035; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCG CT FR PLAS OPC X 28; NQA
1267501130011; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 14; NQA
1267501130143; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 7; NQA
1267501130089; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 14; NQA
1267501130097; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 28; NQA
1267501130151; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 28; NQA
