500510003135419, BENFLOGIN, BENFLOGIN, NOT FOUND, 30 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 20 ML, A4H
500510001132412, BENFLOGIN, BENFLOGIN, NOT FOUND, 30 MG/ML SOL OR CT FR VD AMB CGT X 20 ML, A4H
500510002112415, BENFLOGIN, BENFLOGIN, NOT FOUND, 50 MG DRG CT 02 BL AL PLAS INC X 10, A4H
500500802132413, BIOFENAC, BIOFENAC, NOT FOUND, 44.94MG/ML SUS OR CT FR PLAS OPC GT X 20ML, A4H
500500804119414, BIOFENAC, BIOFENAC, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 10, A4H
500500803112416, BIOFENAC, BIOFENAC, NOT FOUND, 50MG COM REV CT BL AL PLAS INC X 20, A4H
500500901114413, BIOFENAC CLR, BIOFENAC CLR, NOT FOUND, 75MG COM REV CT BL AL PLAS INC X 14, A4H
500501002113412, BIOFENAC DI, BIOFENAC DI, NOT FOUND, 46.5 MG COM DISP CT 2 STR ALU-ALU X 10, A4H
500501102118416, BIOFENAC LP, BIOFENAC LP, NOT FOUND, 100 MG CAP GEL DURA C/ MICROG CT BL AL PLAS INC X 10, A4H
500501101111418, BIOFENAC LP, BIOFENAC LP, NOT FOUND, 100MG CAP GEL CT 2 BL AL PLAS INC X 10, A4H
500511903113411, BIOMAG, BIOMAG, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 10, A4H
500511901110413, BIOMAG, BIOMAG, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, A4H
500511902117411, BIOMAG, BIOMAG, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS INC X 10, A4H
500511904111410, BIOMAG, BIOMAG, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, A4H
500501201132417, BRONDILAT, BRONDILAT, NOT FOUND, 10 MG/ML XPE CT FR PLAS PET AMB X 120ML + CP MED X, A4H
500501202139415, BRONDILAT, BRONDILAT, NOT FOUND, 5 MG/ML XPE CT FR PLAS PET AMB X 120ML + CP MED X, A4H
500510003135419, BENFLOGIN, BENFLOGIN, NOT FOUND, 30 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 20 ML, A4H
500510001132412, BENFLOGIN, BENFLOGIN, NOT FOUND, 30 MG/ML SOL OR CT FR VD AMB CGT X 20 ML, A4H
500510002112415, BENFLOGIN, BENFLOGIN, NOT FOUND, 50 MG DRG CT 02 BL AL PLAS INC X 10, A4H
500500802132413, BIOFENAC, BIOFENAC, NOT FOUND, 44.94MG/ML SUS OR CT FR PLAS OPC GT X 20ML, A4H
500500804119414, BIOFENAC, BIOFENAC, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 10, A4H
500500803112416, BIOFENAC, BIOFENAC, NOT FOUND, 50MG COM REV CT BL AL PLAS INC X 20, A4H
500500901114413, BIOFENAC CLR, BIOFENAC CLR, NOT FOUND, 75MG COM REV CT BL AL PLAS INC X 14, A4H
500501002113412, BIOFENAC DI, BIOFENAC DI, NOT FOUND, 46.5 MG COM DISP CT 2 STR ALU-ALU X 10, A4H
500501102118416, BIOFENAC LP, BIOFENAC LP, NOT FOUND, 100 MG CAP GEL DURA C/ MICROG CT BL AL PLAS INC X 10, A4H
500501101111418, BIOFENAC LP, BIOFENAC LP, NOT FOUND, 100MG CAP GEL CT 2 BL AL PLAS INC X 10, A4H
500511903113411, BIOMAG, BIOMAG, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 10, A4H
500511901110413, BIOMAG, BIOMAG, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, A4H
500511902117411, BIOMAG, BIOMAG, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS INC X 10, A4H
500511904111410, BIOMAG, BIOMAG, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, A4H
500501201132417, BRONDILAT, BRONDILAT, NOT FOUND, 10 MG/ML XPE CT FR PLAS PET AMB X 120ML + CP MED X, A4H
500501202139415, BRONDILAT, BRONDILAT, NOT FOUND, 5 MG/ML XPE CT FR PLAS PET AMB X 120ML + CP MED X, A4H
500510003135419, BENFLOGIN, BENFLOGIN, NOT FOUND, 30 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 20 ML, A4H
500510001132412, BENFLOGIN, BENFLOGIN, NOT FOUND, 30 MG/ML SOL OR CT FR VD AMB CGT X 20 ML, A4H
500510002112415, BENFLOGIN, BENFLOGIN, NOT FOUND, 50 MG DRG CT 02 BL AL PLAS INC X 10, A4H
500500802132413, BIOFENAC, BIOFENAC, NOT FOUND, 44.94MG/ML SUS OR CT FR PLAS OPC GT X 20ML, A4H
500500804119414, BIOFENAC, BIOFENAC, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 10, A4H
500500803112416, BIOFENAC, BIOFENAC, NOT FOUND, 50MG COM REV CT BL AL PLAS INC X 20, A4H
500500901114413, BIOFENAC CLR, BIOFENAC CLR, NOT FOUND, 75MG COM REV CT BL AL PLAS INC X 14, A4H
500501002113412, BIOFENAC DI, BIOFENAC DI, NOT FOUND, 46.5 MG COM DISP CT 2 STR ALU-ALU X 10, A4H
500501003111413, BIOFENAC DI, BIOFENAC DI, NOT FOUND, 46.5 MG COM DISP CT STR AL/AL X 10, A4H
500501102118416, BIOFENAC LP, BIOFENAC LP, NOT FOUND, 100 MG CAP GEL DURA C/ MICROG CT BL AL PLAS INC X 10, A4H
500501101111418, BIOFENAC LP, BIOFENAC LP, NOT FOUND, 100MG CAP GEL CT 2 BL AL PLAS INC X 10, A4H
500511903113411, BIOMAG, BIOMAG, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 10, A4H
500511901110413, BIOMAG, BIOMAG, NOT FOUND, 10 MG CAP GEL DURA CT BL AL PLAS INC X 30, A4H
500511902117411, BIOMAG, BIOMAG, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS INC X 10, A4H
500511904111410, BIOMAG, BIOMAG, NOT FOUND, 15 MG CAP GEL DURA CT BL AL PLAS INC X 30, A4H
500501201132417, BRONDILAT, BRONDILAT, NOT FOUND, 10 MG/ML XPE CT FR PLAS PET AMB X 120ML + CP MED X, A4H
500501202139415, BRONDILAT, BRONDILAT, NOT FOUND, 5 MG/ML XPE CT FR PLAS PET AMB X 120ML + CP MED X, A4H
500510003135419, BENFLOGIN, BENFLOGIN, NOT FOUND, 30 MG/ML SOL OR CT 01 FR PLAS OPC GOT X 20 ML, A4H
