46571; FENIDEX ; FENIDEX; NOT FOUND; COLIRIO 5 ML x 1; ALL
4308; FENILEFRINA ; FENILEFRINA; FENILEFRINA; COLIRIO 10 % 5 ML x 1; ALL
48400; FILMCEL ; FILMCEL; NOT FOUND; COLIRIO 0.50 % 10 ML x 1; ALL
48110; FLUMEX ; FLUMEX; NOT FOUND; SUSP OFTAL 0.10 % 10 ML x 1; ALL
48991; FLUMEX ; FLUMEX; NOT FOUND; SUSP OFTAL 0.25 % 5 ML x 1; ALL
28222; FLUORESCEINA ; FLUORESCEINA; FLUORESCEINA; COLIRIO 3 ML x 1; ALL
48113; FLUO-VASO ; FLUO VASO; NOT FOUND; GOTAS OFTAL 5 ML x 1; ALL
77557; FRESH CLEAR ; FRESH CLEAR; NOT FOUND; SOLN OFTAL 15 ML x 1; ALL
66442; FRESH TEARS ; FRESH TEARS; NOT FOUND; SOLN OFTAL 10 ML x 1; ALL
58003; FRESH TEARS ; FRESH TEARS; NOT FOUND; SOLN OFTAL 15 ML x 1; ALL
78128; FRESH TEARS ; FRESH TEARS; NOT FOUND; SOLN OFTAL 5 ML x 1; ALL
61246; FRESH TEARS LIQUIG ; FRESH TEARS LIQUIG; NOT FOUND; SOLN OFTAL 1 % 15 ML x 1; ALL
106649; FREX CLEAN ; FREX CLEAN; NOT FOUND; ESPUMA 80 ML x 1; ALL
