51531, ACULAR , ACULAR, NOT FOUND, GOTAS 0.05 % 5 ML x 1, ALL
87319, ACULAR CMC , ACULAR CMC, NOT FOUND, FLAC. 0.45 % 0.40 ML x 10, ALL
87321, ACULAR CMC , ACULAR CMC, NOT FOUND, FLAC. 0.45 % 0.40 ML x 20, ALL
87322, ACULAR CMC , ACULAR CMC, NOT FOUND, FLAC. 0.45 % 0.40 ML x 30, ALL
72453, ACULAR LS , ACULAR LS, NOT FOUND, GOTAS 0.40 % 10 ML x 1, ALL
77120, ACULAR LS , ACULAR LS, NOT FOUND, GOTAS 0.40 % 5 ML x 1, ALL
57438, ACULAR SEM CONSERV , ACULAR CONSERV, NOT FOUND, FLACONETES 0.50 % 0.40 ML x 12, ALL
57223, ALPHAGAN , ALPHAGAN, NOT FOUND, SOLN OFTAL 0.20 % 10 ML x 1, ALL
52178, ALPHAGAN , ALPHAGAN, NOT FOUND, SOLN OFTAL 0.20 % 5 ML x 1, ALL
60224, ALPHAGAN P , ALPHAGAN P, NOT FOUND, SOLN OFTAL 0.15 % 5 ML x 1, ALL
75919, ALPHAGAN Z , ALPHAGAN Z, NOT FOUND, SOLN OFTAL 0.10 % 5 ML x 1, ALL
718, ANESTESICO , ANESTESICO, NOT FOUND, COLIRIO 10 ML x 1, ALL
919, ARGIROL OCULUM , ARGIROL OCULUM, NOT FOUND, COLIRIO 10 % 5 ML x 1, ALL
48388, ATROPINA , ATROPINA, ATROPINA, COLIRIO 0.50 % 5 ML x 1, ALL
48389, ATROPINA , ATROPINA, ATROPINA, COLIRIO 1 % 5 ML x 1, ALL
