60589; CALCIFIX B12 ; CALCIFIX B12; NOT FOUND; LIQD 300 ML x 1; CF2
146378; CALCIFIX COMPO B12 ; CALCIFIX COMPO B12; NOT FOUND; LIQ MORANGO 300 ML x 1; CF2
60607; CALCIFIX IRRADIADO ; CALCIFIX IRRADIADO; NOT FOUND; LIQD 300 ML x 1; CF2
58177; CAPTOPRON ; CAPTOPRON; NOT FOUND; CPR 12.5 MG x 32; CF2
58179; CAPTOPRON ; CAPTOPRON; NOT FOUND; CPR 25 MG x 32; CF2
75731; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. PED. 20 MG 100 ML x 1 (/ML); CF2
58184; CATAFLEXYM ; CATAFLEXYM; NOT FOUND; CPR 50 MG x 10; CF2
58185; CATAFLEXYM ; CATAFLEXYM; NOT FOUND; CPR 50 MG x 20; CF2
58825; CATAFLEXYM ; CATAFLEXYM; NOT FOUND; SUSP ORAL 15 MG 10 ML x 1 (/ML); CF2
58186; CATAFLEXYM ; CATAFLEXYM; NOT FOUND; SUSP ORAL 15 MG 20 ML x 1 (/ML); CF2
58684; CATAFLEXYM GEL ; CATAFLEXYM GEL; NOT FOUND; GEL TOP. 11.6 MG 40 G x 1 (/G); CF2
75778; CATAFLEXYM GEL ; CATAFLEXYM GEL; NOT FOUND; GEL TOP. 11.6 MG 60 G x 1 (/G); CF2
58192; CEFADRIN DC ; CEFADRIN DC; NOT FOUND; CAPS 500 MG x 12; CF2
75734; CEFADRIN DC ; CEFADRIN DC; NOT FOUND; CPR REVEST 500 MG x 120 (/65); CF2
58198; CETOCORTEN ; CETOCORTEN; NOT FOUND; CREME 30 G x 1; CF2
58199; CETOCORTEN ; CETOCORTEN; NOT FOUND; POM. 30 G x 1; CF2
58195; CETONIN ; CETONIN; NOT FOUND; CPR 200 MG x 10; CF2
58196; CETONIN ; CETONIN; NOT FOUND; CPR 200 MG x 30; CF2
58197; CETONIN ; CETONIN; NOT FOUND; CREME 30 G x 1; CF2
75735; CICLOFEMME ; CICLOFEMME; NOT FOUND; DRAG x 1050; CF2
63759; CICLOFEMME ; CICLOFEMME; NOT FOUND; DRAG x 21; CF2
58200; CINATREX ; CINATREX; NOT FOUND; CPR 500 MG x 100; CF2
58201; CINATREX ; CINATREX; NOT FOUND; POM. OFTAL 3.50 G x 1; CF2
58203; CIPROXEN ; CIPROXEN; NOT FOUND; CPR 250 MG x 14; CF2
58205; CIPROXEN ; CIPROXEN; NOT FOUND; CPR 500 MG x 14; CF2
75736; CLAVUTREX ; CLAVUTREX; NOT FOUND; CPR REVEST 500 MG x 12 (/125); CF2
75737; CLAVUTREX ; CLAVUTREX; NOT FOUND; CPR REVEST 500 MG x 18 (/125); CF2
73637; CLAVUTREX ; CLAVUTREX; NOT FOUND; PO P/SUSP 250 MG 75 ML x 1 (/62); CF2
92094; CLINERIZE ; CLINERIZE; NOT FOUND; LIQ BAUNILHA 300 ML x 1; CF2
92016; CLINERIZE ; CLINERIZE; NOT FOUND; LIQ BAUNILHA 60 ML x 1; CF2
92098; CLINERIZE ; CLINERIZE; NOT FOUND; LIQ CUI TOTA 300 ML x 1; CF2
71556; CLINERIZE ; CLINERIZE; NOT FOUND; LIQ F S/A HO 300 ML x 1; CF2
90984; CLINERIZE ; CLINERIZE; NOT FOUND; LIQ MEN FRES 60 ML x 1; CF2
71559; CLINERIZE ; CLINERIZE; NOT FOUND; LIQ MEN HORT 300 ML x 1; CF2
71558; CLINERIZE ; CLINERIZE; NOT FOUND; LIQ MEN SUA 300 ML x 1; CF2
71560; CLINERIZE ; CLINERIZE; NOT FOUND; LIQ MENTA 300 ML x 1; CF2
71557; CLINERIZE ; CLINERIZE; NOT FOUND; LIQ TRAD 300 ML x 1; CF2
59460; CLOFENID ; CLOFENID; NOT FOUND; CPR REVEST 50 MG x 20; CF2
58207; CLOMAZOL ; CLOMAZOL; NOT FOUND; CREME 50 G x 1; CF2
58209; CLORIZIN ; CLORIZIN; NOT FOUND; CPR 25 MG x 20; CF2
75743; CLORIZIN ; CLORIZIN; NOT FOUND; CPR 25 MG x 30; CF2
58210; CLORIZIN ; CLORIZIN; NOT FOUND; CPR 50 MG x 20; CF2
59061; COBAVIT ; COBAVIT; NOT FOUND; CPR x 16; CF2
64864; COBAVIT ; COBAVIT; NOT FOUND; SOLN 100 ML x 1; CF2
58212; CO-PRESSOLESS ; CO PRESSOLESS; NOT FOUND; CPR 12.5 MG x 30 (/20); CF2
58213; CO-PRESSOLESS ; CO PRESSOLESS; NOT FOUND; CPR 25 MG x 30 (/10); CF2
58217; CYFENOL ; CYFENOL; NOT FOUND; CPR 750 MG x 20; CF2
58218; CYFENOL ; CYFENOL; NOT FOUND; CPR 750 MG x 200; CF2
58219; CYFENOL ; CYFENOL; NOT FOUND; SOLN ORAL 15 ML x 1; CF2
