1006810670024; VACINA INFLUENZA (SUBUNITÁRIA, INATIVADA); VACINA INFLUENZA SUBUNITARIA INATIVADA; NOT FOUND; SUS INJ CT 10 SER PREENC VD INC X 0.5 ML; NVR
1006810690025; VACINA INFLUENZA (INATIVADA, SUBUNITÁRIA, ADJUVADA); VACINA INFLUENZA INATIVADA SUBUNITARIA ADJUVADA; NOT FOUND; SUS INJ CT 10 SER VD INC PREENCH X 0.5 ML; NVR
1006800300011; VIOFORMIO HIDROCORTISONA; VIOFORMIO HIDROCORTISONA; NOT FOUND; 30 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G; NVR
1006800140014; VISKALDIX; VISKALDIX; NOT FOUND; 10 MG + 5 MG COM CT 2 BL AL PLAS INC X 10; NVR
1006811120028; VIGAMOX; VIGAMOX; NOT FOUND; 5 MG/ML CT FR PLAS TRANS GOT X 5 ML; NVR
1006811020015; VIGADEXA; VIGADEXA; NOT FOUND; 5 MG/ML + 1 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; NVR
1006800600082; VOLTAREN; VOLTAREN; NOT FOUND; 25 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; NVR
1006800600074; VOLTAREN; VOLTAREN; NOT FOUND; 25 MG/ML SOL INJ CT 50 AMP VD INC X 3 ML (EMB HOSP); NVR
1006800600139; VOLTAREN; VOLTAREN; NOT FOUND; 1 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; NVR
1006800600163; VOLTAREN; VOLTAREN; NOT FOUND; 1 MG/ML SOL OFT CT 20 FLAC X 0.3 ML; NVR
1006800600090; VOLTAREN; VOLTAREN; NOT FOUND; 50 MG SUP RET CT STR X 5; NVR
1006800600112; VOLTAREN; VOLTAREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20 ; NVR
1006800600120; VOLTAREN; VOLTAREN; NOT FOUND; 100 MG COM DESINT LENTA CT BL AL PLAS INC X 10; NVR
1006800600104; VOLTAREN; VOLTAREN; NOT FOUND; 75 MG COM DESINT LENTA CT 2 BL AL PLAS INC X 10; NVR
1006800600228; VOLTAREN; VOLTAREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 240; NVR
1006800600211; VOLTAREN; VOLTAREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 10; NVR
1999999999996; VOLTAREM EMUGEL; VOLTAREM EMUGEL; NOT FOUND; CONTROLE; NVR
1006810120024; VOLTAREM EMUGEL; VOLTAREM EMUGEL; NOT FOUND; 10 MG/G EMULGEL CT BG AL X 60 G; NVR
1006810120016; VOLTAREM EMUGEL; VOLTAREM EMUGEL; NOT FOUND; 10 MG/G EMULGEL CT BG AL X 30G; NVR
1006810740022; VACINA MENINGOCÓCICA ACWY (CONJUGADA); VACINA MENINGOCOCICA ACWY CONJUGADA; VACINA MENINGOCOCICA ACWY CONJUGADA; 10 MCG PO LIOF SOL INJ X 1 DOSE CT FA VD TRANS + 5-5-5 MCG SOL INJ FA VD TRANS X 0.6 ML; NVR
1006810740030; VACINA MENINGOCÓCICA ACWY (CONJUGADA); VACINA MENINGOCOCICA ACWY CONJUGADA; VACINA MENINGOCOCICA ACWY CONJUGADA; 10 MCG PO LIOF SOL INJ X 5 DOSE CT 5 FA VD TRANS + 5-5-5 MCG SOL INJ 5 FA VD TRANS X 0.6 ML; NVR
1006810740014; VACINA MENINGOCÓCICA ACWY (CONJUGADA); VACINA MENINGOCOCICA ACWY CONJUGADA; VACINA MENINGOCOCICA ACWY CONJUGADA; 10 MCG PO LIOF FA VD INC + 5-5-5 MCG SOL INJ SER PREENCH VD INC X 0.6 ML; NVR
1006808910013; VECTAVIR; VECTAVIR; NOT FOUND; 1 PCC CREM TOP CT TB AL X 5 G; NVR
1006800620024; VISKEN; VISKEN; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 10; NVR
1006800620016; VISKEN; VISKEN; NOT FOUND; 5 MG COM CT 2 BL AL PLAS INC X 10; NVR
1006811180012; VACINA ADSORVIDA MENINGOCÓCICA B (RECOMBINANTE); VACINA ADSORVIDA MENINGOCOCICA B RECOMBINANTE; NOT FOUND; SUS INJ CT SER PREENC VD INC X 0.5ML + AGU; NVR
1006811180047; VACINA ADSORVIDA MENINGOCÓCICA B (RECOMBINANTE); VACINA ADSORVIDA MENINGOCOCICA B RECOMBINANTE; NOT FOUND; SUS INJ CT SER PREENC VD INC X 0.5ML; NVR
1006811180055; VACINA ADSORVIDA MENINGOCÓCICA B (RECOMBINANTE); VACINA ADSORVIDA MENINGOCOCICA B RECOMBINANTE; NOT FOUND; SUS INJ CT 10 SER PREENC VD INC X 0.5ML; NVR
