1006800860017; PARCEL; PARCEL; NOT FOUND; 1 MG + 450 MG + 40 MG DRG CT BL AL PLAS INC X 20; NVR
1006800860025; PARCEL; PARCEL; NOT FOUND; 1 MG + 450 MG + 40 MG DRG CT BL AL PLAS INC X 20; NVR
1006800250057; PAMELOR; PAMELOR; NOT FOUND; 2 MG/ML SOL OR CT FR VD AMB X 100 ML; NVR
1006800250014; PAMELOR; PAMELOR; NOT FOUND; 10 MG CAP GEL DURA CT  BL AL PLAS INC X 20; NVR
1006800250065; PAMELOR; PAMELOR; NOT FOUND; 10 MG CAP GEL DURA CT  BL AL PLAS INC X 30; NVR
1006800250022; PAMELOR; PAMELOR; NOT FOUND; 25 MG CAP GEL DURA CT  BL AL PLAS INC  X 20; NVR
1006800250073; PAMELOR; PAMELOR; NOT FOUND; 25 MG CAP GEL DURA CT  BL AL PLAS INC X 30; NVR
1006800250030; PAMELOR; PAMELOR; NOT FOUND; 50 MG CAP GEL DURA CT  BL AL PLAS INC X 20; NVR
1006800250081; PAMELOR; PAMELOR; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 30; NVR
1006800250049; PAMELOR; PAMELOR; NOT FOUND; 75 MG CAP GEL DURA CT  BL AL PLAS INC  X  20; NVR
1006800250091; PAMELOR; PAMELOR; NOT FOUND; 75 MG CAP GEL DURA  CT BL AL PLAS INC X 30; NVR
1006811100051; PATANOL S; PATANOL S; NOT FOUND; 2.0 MG/ML SOL OFT CT FR PLAS OPC X 2.5 ML ; NVR
1006811100019; PATANOL; PATANOL; NOT FOUND; 1.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; NVR
1006800700011; PROCTO-GLYVENOL; PROCTO GLYVENOL; NOT FOUND; 50 MG/G + 20 MG/G CREM CT BG AL X 15 G; NVR
1006800700060; PROCTO-GLYVENOL; PROCTO GLYVENOL; NOT FOUND; 50 MG/G + 20 MG/G CREM CT BG AL X 30 G + 10 APLIC; NVR
1006800700087; PROCTO-GLYVENOL; PROCTO GLYVENOL; NOT FOUND; 50 MG/G + 20 MG/G CREM CT BG AL X 60 G + APLIC; NVR
1006800700028; PROCTO-GLYVENOL; PROCTO GLYVENOL; NOT FOUND; 400 MG + 40 MG SUP RET CT STR X 5; NVR
1006800700079; PROCTO-GLYVENOL; PROCTO GLYVENOL; NOT FOUND; 400 MG + 40 MG SUP RET CT STR X 10; NVR
1006809710026; PREXIGE; PREXIGE; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 10; NVR
1006809710042; PREXIGE; PREXIGE; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 30; NVR
1006809710069; PREXIGE; PREXIGE; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 10; NVR
1006809710050; PREXIGE; PREXIGE; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 4; NVR
1006809710135; PREXIGE; PREXIGE; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; NVR
1006809710190; PREXIGE; PREXIGE; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 7; NVR
1006809710174; PREXIGE; PREXIGE; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 7; NVR
1006800170101; PARLODEL; PARLODEL; NOT FOUND; 2.5 MG COM CT BL AL/AL X 14; NVR
1006800170118; PARLODEL; PARLODEL; NOT FOUND; 2.5 MG COM CT  BL AL/AL X 28; NVR
1999999999999; PARLODEL SRO; PARLODEL SRO; NOT FOUND; CONTROLE; NVR
1006800170142; PARLODEL SRO; PARLODEL SRO; NOT FOUND; 2.5 MG CAP GEL DURA LIB PROL CT BL AL/AL X 14; NVR
1006800170134; PARLODEL SRO; PARLODEL SRO; NOT FOUND; 2.5 MG CAP GEL DURA LIB PROL CT BL AL/AL X 28; NVR
1006800170126; PARLODEL SRO; PARLODEL SRO; NOT FOUND; 5 MG CAP GEL DURA LIB PROL CT BL AL/AL X 14; NVR
1006800170096; PARLODEL SRO; PARLODEL SRO; NOT FOUND; 5 MG CAP GEL DURA LIB PROL CT BL AL/AL X 28; NVR
1006800050015; PRIVINA; PRIVINA; NOT FOUND; 1 MG/ML SOL NAS CT FR PLAS OPC GOT X 15 ML; NVR
1006809140025; POLIORAL; POLIORAL; NOT FOUND; SUS OR CT FR PLAS TRANS GOT X 1 ML (10 DOSES); NVR
