1006809150012; GEPEPROSTIN; GEPEPROSTIN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 30; NVR
1006810760031; GILENYA; GILENYA; NOT FOUND; 0.5 MG CAP GEL DURA CT BL AL PLAS INC X 28; NVR
1006810760023; GILENYA; GILENYA; NOT FOUND; 0.5 MG CAP GEL DURA CT BL AL PLAS INC X 14; NVR
1006810760058; GILENYA; GILENYA; NOT FOUND; 0.5 MG CAP GEL DURA CT BL AL PLAS INC X 84; NVR
1006810590063; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 500 MG COM REV CT BL AL/AL X 56; NVR
1006810590268; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 1000 MG COM REV CT BL AL/AL X 56; NVR
1006810590160; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 850 MG COM REV CT BL AL/AL X 56; NVR
1006810590012; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 500 MG COM REV CT BL AL/AL X 7; NVR
1006810590217; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 1000 MG COM REV CT BL AL/AL X 7; NVR
1006810590111; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 850 MG COM REV CT BL AL/AL X 7; NVR
1006810590233; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 1000 MG COM REV CT BL AL/AL X 14; NVR
1006810590039; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 500 MG COM REV CT BL AL/AL X 14; NVR
1006810590136; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 850 MG COM REV CT BL AL/AL X 14; NVR
1006810190030; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 30; NVR
1006810190081; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30; NVR
1006810190138; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30; NVR
1006810190103; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 60; NVR
1006810190154; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 60; NVR
1006808720011; GENTEAL; GENTEAL; NOT FOUND; 3 MG/ML COL OFT FR PLAS OPC GOT X 10 ML; NVR
1006808720028; GENTEAL; GENTEAL; NOT FOUND; 3 MG/ML COL OFT FR PLAS OPC GOT X 15 ML; NVR
1006810840019; GLAUTIMOL; GLAUTIMOL; NOT FOUND; 5.0 MG/ML SOL OFT CT  FR PLAS OPC GOT X 5 ML; NVR
1006801740031; GLIVEC; GLIVEC; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PLAS INC X 120; NVR
1006801740074; GLIVEC; GLIVEC; NOT FOUND; 100 MG COM REV CT BL AL PVC/PE/PVDC X 60; NVR
1006801740082; GLIVEC; GLIVEC; NOT FOUND; 400 MG COM REV CT BL AL PVC/PE/PVDC X 30; NVR
1006801740090; GLIVEC; GLIVEC; NOT FOUND; 400 MG COM REV CT BL AL/AL X 30; NVR
1006810520111; GALVUS MET COMBI PACK; GALVUS MET COMBI PACK; NOT FOUND; 100 MG COM CT BL AL/AL X 28 + 500 MG COM REV CT BL AL PLAS INC X 56; NVR
1006810520154; GALVUS MET COMBI PACK; GALVUS MET COMBI PACK; NOT FOUND; 100 MG COM CT BL AL/AL X 28 + 850 MG COM REV CT BL AL/PLAS INC X 56; NVR
1006810520030; GALVUS MET COMBI PACK; GALVUS MET COMBI PACK; NOT FOUND; 50 MG COM CT BL AL/AL X 28 + 500 MG COM REV CT BL AL PLAS INC X 28; NVR
1006810520073; GALVUS MET COMBI PACK; GALVUS MET COMBI PACK; NOT FOUND; 50 MG COM CT BL AL/AL X 28 + 850 MG COM REV CT BL AL PLAS INC X 28; NVR
1006810520049; GALVUS MET COMBI PACK; GALVUS MET COMBI PACK; NOT FOUND; 50 MG COM CT BL AL/AL X 56 + 500 MG COM REV CT BL AL PLAS INC X 56; NVR
1006810520081; GALVUS MET COMBI PACK; GALVUS MET COMBI PACK; NOT FOUND; 50 MG COM CT BL AL/AL X 56 + 850 MG COM REV CT BL AL PLAS INC X 56; NVR
