1006800290032; CIBALENA A; CIBALENA A; NOT FOUND; 200 MG + 150 MG + 50 MG COM BD PAP INV PLAS X 4 BL AL PLAS INC X 4; NVR
1006800290024; CIBALENA A; CIBALENA A; NOT FOUND; 200 MG + 150 MG + 50 MG COM CT 2 BL AL PLAS INC X 10; NVR
1006800290016; CIBALENA A; CIBALENA A; NOT FOUND; 200 MG + 150 MG + 50 MG COM CT 48 BL AL PLAS INC X 4; NVR
1006810770029; CIBALENA A; CIBALENA A; NOT FOUND; 250 MG + 250 MG + 65 MG COM REV CT SACH AL/PE X 10; NVR
1006810770045; CIBALENA A; CIBALENA A; NOT FOUND; 250 MG + 250 MG + 65 MG COM REV CT SACH AL/PE X 192 (EMB MULT); NVR
1006801780017; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT 2 BL AL PLAS INC X 10; NVR
1006801780025; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT 3 BL AL PLAS INC X 10; NVR
1006801780033; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT 2 BL AL PLAS INC X 10; NVR
1006801780041; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT 3 BL AL PLAS INC X 10; NVR
1006809120032; CAPTOPRIL HCT; CAPTOPRIL HCT; NOT FOUND; 50 MG + 25 MG COM CT 3 BL AL PLAS INC X 10; NVR
1006810230016; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOSAD; NVR
1006809920012; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM BL AL PLAS INC X 20 ; NVR
1006809920047; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 20; NVR
1006800490074; CALSAN; CALSAN; NOT FOUND; 500 MG COM MAST CT FR PLAS OPC X 30; NVR
1999999999997; CALCIUM D3; CALCIUM D3; NOT FOUND; CONTROLE; NVR
1006801470085; CALCIUM D3; CALCIUM D3; NOT FOUND; 400 MG + 200 UI COM MAST CT FR PLAS OPC X 30; NVR
1006801470042; CALCIUM D3; CALCIUM D3; NOT FOUND; 600 MG + 200 UI COM REV CT FR PLAS OPC X 30; NVR
1006801470050; CALCIUM D3; CALCIUM D3; NOT FOUND; 600 MG + 200 UI COM REV CT FR PLAS OPC X 60; NVR
1006810510019; CALCIUM SANDOZ + VITAMINA C LARANJA; CALCIUM SANDOZ VITAMINA C LARANJA; NOT FOUND; 327 MG + 1000 MG + 1000 MG COM EFEV CT TB PLAS X 10 ; NVR
1006800330034; CALCIUM SANDOZ F; CALCIUM SANDOZ F; NOT FOUND; 500 MG PO OR CT X 20 SACHET; NVR
1006800330050; CALCIUM SANDOZ FF; CALCIUM SANDOZ FF; NOT FOUND; 1000 MG PO OR CT X 20 SACHET; NVR
1006800330026; CALCIUM SANDOZ F; CALCIUM SANDOZ F; NOT FOUND; 875 MG + 1132 MG COM EFEV CT TB PLAS X 12; NVR
1006800330123; CALCIUM SANDOZ F; CALCIUM SANDOZ F; NOT FOUND; 875 MG + 1132 MG COM EFEV CT TB PLAS X 10; NVR
1006800330042; CALCIUM SANDOZ FF; CALCIUM SANDOZ FF; NOT FOUND; 1750 MG + 2263 MG COM EFEV CT TB PLAS X 12; NVR
1006800330107; CALCIUM SANDOZ FF; CALCIUM SANDOZ FF; NOT FOUND; 1750 MG + 2263 MG COM EFEV CT TB PLAS X 10; NVR
1006809470025; CALCIUM SANDOZ + VITAMINA C; CALCIUM SANDOZ VITAMINA C; NOT FOUND; 500 MG + 1000 MG + 1000 MG COM EFEV CT TB PLAS X 10 (SABOR LARANJA); NVR
1006809470017; CALCIUM SANDOZ + VITAMINA C; CALCIUM SANDOZ VITAMINA C; NOT FOUND; 1000 MG + 500 MG + 1000 MG COM EFERV CT TB PLAST X 10 (SABOR LIMAO); NVR
1006801710019; CEFACLOR; CEFACLOR; CEFACLOR; 500 MG CAP GEL DURA CT 1 BL AL PLAS INC X 10; NVR
1006801630015; CEFADROXILA; CEFADROXILA; CEFADROXILA; 250 MG/5 ML PO P/ SUS OR CT FR 100 ML; NVR
1006801630023; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG/5 ML PO P/ SUS OR CT FR 100 ML; NVR
1006801660011; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT 1 BL AL PLAS INC X 8; NVR
1006801640010; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT 1 BL AL PLAS INC X 10; NVR
1006801640037; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT 20 BL AL PLAS INC X 10 (EMB HOSP); NVR
1006801640029; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 40; NVR
1006808790034; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1.000 MG PO SOL INJ IM CT FA VD INC + AMP DIL X 3.5 ML; NVR
1006808790085; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1000 MG PO SOL INJ IV CT FA VD INC + AMP DIL X 10 ML; NVR
1006808790018; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO SOL INJ IM CT FA VD INC + AMP DIL X 2 ML; NVR
1006808790050; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500MG PO SOL INJ IV CT FA VD INC + AMP DIL X 5 ML; NVR
1006809740014; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO SOL INJ CT FA VD INC + DIL AMP VD INC X 6 ML; NVR
1006809740022; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO SOL INJ CT 50 FA VD INC + 50 DIL AMP VD INC X 6 ML (EMB HOSP); NVR
1006809030017; CISPLAX; CISPLAX; NOT FOUND; 10 MG PO LIOF INJ CT FA VD AMB + AMP DIL X 10 ML; NVR
1006809030025; CISPLAX; CISPLAX; NOT FOUND; 50 MG PO LIOF INJ CT FA VD AMB; NVR
1006801690026; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT 2 BL AL PLAS INC X 7; NVR
1006800430020; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 600 MG + 400 MG COM EFERV CT TB AL X 20; NVR
1006811030010; CILOXAN; CILOXAN; NOT FOUND; 3.0 MG/ML SOL OTO CT FR PLAS OPC GOT X 5 ML; NVR
1006810930018; CILOXAN; CILOXAN; NOT FOUND; 3 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; NVR
1006810930026; CILOXAN; CILOXAN; NOT FOUND; 3 MG/G POM OFT CT BG AL X 3.5 G; NVR
1006801680012; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT 1 BL AL PLAS INC X 10; NVR
1006801680039; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT 1 BL AL PLAS INC X 10; NVR
1006810860011; CILODEX; CILODEX; NOT FOUND; 3.0 MG/ML+1.0 MG/ML SUS OFT CT FR PLAS OPC GOT X 5 ML; NVR
1006810860036; CILODEX; CILODEX; NOT FOUND; 3 MG/G + 1 MG/G POM OFT CT BG AL X 3.5 G; NVR
1006811130015; CIPRO HC; CIPRO HC; NOT FOUND; 2.0 MG/ML + 10.0 MG/ML SUS OTO CT FR VD TRANS CGT X 10 ML; NVR
1006801700013; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT 1 BL AL PLAS INC X 14; NVR
1006801700021; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT 2 BL AL PLAS INC X 14; NVR
1006810250017; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500MG COM REV CT 2 BL AL PLAS INC X 15; NVR
1006810250041; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850MG COM REV CT 3 BL AL PLAS INC X 10; NVR
1006810250076; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT BL ALPLAS INC X 30; NVR
1006810900011; CLAROFT; CLAROFT; NOT FOUND; 0.12 MG/ML SOL OFT CT FR PLAS OPC GOT X 15 ML; NVR
1006811150016; CLARIL; CLARIL; NOT FOUND; 0.25 MG/ML + 3.0 MG/ML SOL OFT CT FR PLAS TRANS GOT X 15 ML; NVR
1006810110010; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 25 MG CAP GEL DURA CT BL AL PLAS INC X 20; NVR
1006810110037; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 10 MG CAP GEL DURA CT BL AL PLAS INC X 20; NVR
1006810110053; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 50 MG CAP GEL DURA CT BL AL PLAS INC X 20; NVR
1006810110071; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 75 MG CAP GEL DURA CT BL AL PLAS INC X 20; NVR
1006809080022; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT 2 STR ALU/ALU X 10; NVR
1006809080103; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT 1 STR ALU/ALU X 10; NVR
1006809080111; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT 2 STR ALU/ALU X 10; NVR
1006809580041; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV BL AL PLAS BRANCO X 30; NVR
1006809580025; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS BRANCO X 20; NVR
1006809870015; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 1 MG COM CT STR AL X 20; NVR
1006809870023; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 2 MG COM CT STR AL X 20; NVR
1006809870031; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 4 MG COM CT STR AL X 20; NVR
1006809870074; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 1 MG COM CT BL AL/AL X 20; NVR
1006809870090; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 2 MG COM CT BL AL/AL X 20; NVR
1006809870112; CLOXAZOLAM; CLOXAZOLAM; CLOXAZOLAM; 4 MG COM CT BL AL/AL X 20; NVR
1006810580017; CUBICIN; CUBICIN; NOT FOUND; 500 MG PO LIOF INJ CT FR AMP VD INC ; NVR
1006810580033; CUBICIN; CUBICIN; NOT FOUND; 500 MG PO LIOF INJ CT 05 FR AMP VD INC; NVR
1006800680019; CEDILANIDE; CEDILANIDE; NOT FOUND; 0.2 MG/ML SOL INJ CT 50 AMP VD INC X 2 ML; NVR
1999999999995; CATAFLAM EMULGEL; CATAFLAM EMULGEL; NOT FOUND; CONTROLE; NVR
1006800380031; CATAFLAM EMULGEL; CATAFLAM EMULGEL; NOT FOUND; 11.6 MG/G GEL CT BG AL X 60 G; NVR
1006800380228; CATAFLAM EMULGEL; CATAFLAM EMULGEL; NOT FOUND; 11.6 MG/G GEL CT BG AL X 30 G; NVR
1006800380309; CATAFLAM EMULGEL; CATAFLAM EMULGEL; NOT FOUND; 11.6 MG/G GEL CT BG AL X 100 G; NVR
1006810920055; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 11.6 MG/G GEL DERM CT TB AL LAMIN X 30 G  ; NVR
1006810920081; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 11.6 MG/G GEL DERM CT TB AL LAMIN X 60 G  ; NVR
1006810920098; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 11.6 MG/G GEL DERM CT TB AL LAMIN X 100 G   ; NVR
1006810920111; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 11.6 MG/G GEL DERM CT TB AL LAMIN X 150 G   ; NVR
1006810920187; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 11.6 MG/G SOL DERM AER TB AL X 85 ML ; NVR
1006810920136; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 23.2 MG/G GEL DERM CT TB AL LAMIN X 50 G     ; NVR
1006810920152; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 23.2 MG/G GEL DERM CT TB AL LAMIN X 100 G     ; NVR
1999999999994; CATAFLAM D; CATAFLAM D; NOT FOUND; CONTROLE; NVR
1006800380112; CATAFLAM D; CATAFLAM D; NOT FOUND; 44.3 MG COM DISP CT BL AL PLAS INC X 20; NVR
1006810920284; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 10; NVR
1006810920276; CATAFLAMPRO; CATAFLAMPRO; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 4; NVR
1006808980021; CODATEN; CODATEN; NOT FOUND; 50 MG  + 50 MG COM REV CT 2 BL AL PLAS INC X 10; NVR
