1006800670047; HIGROTON; HIGROTON; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 42; NVR
1006800670013; HIGROTON; HIGROTON; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 42; NVR
1006800670031; HIGROTON; HIGROTON; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; NVR
1006800670072; HIGROTON; HIGROTON; NOT FOUND; 12.5 MG COM CT BL AL PLAST INC X 14 ; NVR
1006800670080; HIGROTON; HIGROTON; NOT FOUND; 25 MG COM CT  BL AL PLAS INC X 14; NVR
1006800520011; HIGROTON RESERPINA; HIGROTON RESERPINA; NOT FOUND; 0.25 MG + 50 MG COM CT BL AL PLAS INC X 20; NVR
1006800640068; HYDERGINE; HYDERGINE; NOT FOUND; 0.3 MG/ML SOL INJ CT 50 AMP VD INC X 1 ML; NVR
1006800640041; HYDERGINE; HYDERGINE; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 30 ML; NVR
1006800640051; HYDERGINE; HYDERGINE; NOT FOUND; 4.5 MG/1.5ML SOL OR CT FR VD AMB X 15 ML; NVR
1006800640025; HYDERGINE; HYDERGINE; NOT FOUND; 1 MG CAP GEL DUR CT BL AL PLAS INC X 36; NVR
1006800640033; HYDERGINE; HYDERGINE; NOT FOUND; 4.5 MG COM CT BL AL PLAS INC X 14; NVR
1006800640017; HYDERGINE; HYDERGINE; NOT FOUND; 6 MG CAP SRO CT BL AL PLAS INC X 28; NVR
1006800640076; HYDERGINE; HYDERGINE; NOT FOUND; 6 MG CAP SRO CT BL AL PLAS INC X 14; NVR
1006809250025; HYPOTEARS PLUS DU; HYPOTEARS PLUS DU; NOT FOUND; 50 MG/ML SOL OFT CT 20 FLAC X 0.4 ML; NVR
1999999999991; HYPOTEARS PLUS DU; HYPOTEARS PLUS DU; NOT FOUND; CONTROLE; NVR
1006809250017; HYPOTEARS PLUS; HYPOTEARS PLUS; NOT FOUND; 50 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML; NVR
