1006810660010; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 150 MG COM REV + 5 MG COM CT BL AL AL X 7 + 7; NVR
1006810660029; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 150 MG COM REV + 5 MG COM CT BL AL AL X 14 + 14; NVR
1006810660037; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 150 MG COM REV + 5 MG COM CT BL AL AL X 28 + 28; NVR
1006810660053; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 300 MG COM REV + 10 MG COM CT BL AL AL X 14 + 14; NVR
1006810660061; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 300 MG COM REV + 10 MG COM CT BL AL AL X 28 + 28; NVR
1006810660045; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 300 MG COM REV + 10 MG COM CT BL AL AL X 7 + 7; NVR
1006810750087; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 150 MG + 10 MG COM REV CT BL AL/AL X 30; NVR
1006810750028; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 150 MG + 5 MG COM REV CT BL AL/AL X 14; NVR
1006810750044; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 150 MG + 5 MG COM REV CT BL AL/AL X 30; NVR
1006810750168; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 300 MG + 10 MG COM REV CT BL AL/AL X 30; NVR
1006810750109; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 300 MG + 5 MG COM REV CT BL AL/AL X 14; NVR
1006810750125; RASILEZ AMLO; RASILEZ AMLO; NOT FOUND; 300 MG + 5 MG COM REV CT BL AL/AL X 30; NVR
1006809010016; RANXAS; RANXAS; NOT FOUND; 10 MG PO LIOF INJ CT FA VD AMB + AMP DIL X 5 ML; NVR
1006809010024; RANXAS; RANXAS; NOT FOUND; 50 MG PO LIOF INJ CT FA VD AMB; NVR
1899999999999; RITALINA LA; RITALINA LA; NOT FOUND; CONTROLE; NVR
1006800800014; RITALINA; RITALINA; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; NVR
1006800800030; RITALINA LA; RITALINA LA; NOT FOUND; 30 MG CAP GEL DURA C/ MICROG LIB MOD CT FR PLAS X 30; NVR
1006800800049; RITALINA LA; RITALINA LA; NOT FOUND; 40 MG CAP GEL DURA C/ MICROG LIB MOD CT FR PLAS X 30; NVR
1006800800022; RITALINA LA; RITALINA LA; NOT FOUND; 20 MG CAP GEL DURA C/ MICROG LIB MOD CT FR PLAS X 30; NVR
1006800800057; RITALINA; RITALINA; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 60; NVR
1006800800073; RITALINA; RITALINA; NOT FOUND; 10 MG COM CT BL AL AL X 20; NVR
1006800800081; RITALINA; RITALINA; NOT FOUND; 10 MG COM CT BL AL AL X 60; NVR
1006800800091; RITALINA; RITALINA; NOT FOUND; 10 MG COM CT BL AL AL X 30; NVR
1006800800065; RITALINA LA; RITALINA LA; NOT FOUND; 10 MG CAP GEL DURA C/ MICROG LIB MOD CT FR PLAS X 30; NVR
1006810550029; RASILEZ; RASILEZ; NOT FOUND; 150 MG COM REV CT BL AL/AL X 14 ; NVR
1006810550037; RASILEZ; RASILEZ; NOT FOUND; 150 MG COM REV CT BL AL/AL X 28; NVR
1006810550088; RASILEZ; RASILEZ; NOT FOUND; 300 MG COM REV CT BL AL/AL X 14; NVR
1006810550096; RASILEZ; RASILEZ; NOT FOUND; 300 MG COM REV CT BL AL/AL X 28; NVR
1006810550010; RASILEZ; RASILEZ; NOT FOUND; 150 MG COM REV CT BL AL/AL X 7; NVR
1006810550071; RASILEZ; RASILEZ; NOT FOUND; 300 MG COM REV CT BL AL/AL X 7; NVR
1006810620027; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 150 MG + 12.5 MG COM REV CT BL AL/AL X 14; NVR
1006810620035; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 150 MG + 12.5 MG COM REV CT BL AL/AL X 28; NVR
1006810620019; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 150 MG + 12.5 MG COM REV CT BL AL/AL X 7; NVR
1006810620094; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 150 MG + 25 MG COM REV CT BL AL/AL X 28; NVR
1006810620078; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 150 MG + 25 MG COM REV CT BL AL/AL X 7; NVR
1006810620205; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 300 MG + 12.5 MG COM REV CT BL AL/AL X 14; NVR
1006810620213; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 300 MG + 12.5 MG COM REV CT BL AL/AL X 28; NVR
1006810620191; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 300 MG + 12.5 MG COM REV CT BL AL/AL X 7; NVR
1006810620140; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 300 MG + 25 MG COM REV CT BL AL/AL X 14; NVR
1006810620159; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 300 MG + 25 MG COM REV CT BL AL/AL X 28; NVR
1006810620132; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 300 MG + 25 MG COM REV CT BL AL/AL X 7; NVR
1006810620086; RASILEZ HCT; RASILEZ HCT; NOT FOUND; 150 MG + 25 MG COM REV CT BL AL/AL X 14; NVR
1006801050051; REGITINA; REGITINA; NOT FOUND; 40 MG COM CT BL AL/AL X 4; NVR
