1006800350019; NAETENE; NAETENE; NOT FOUND; CAP GEL MOLE CT FR VD AMB X 30; NVR
1006800910014; NUPERCAINAL; NUPERCAINAL; NOT FOUND; 11 MG/G POM DERM CT BG AL X 20 G; NVR
1006800310025; NAVOBAN; NAVOBAN; NOT FOUND; 1 MG/ML SOL INJ CT 1 AMP VD INC X 5 ML; NVR
1006800310017; NAVOBAN; NAVOBAN; NOT FOUND; 5 MG CAP GEL DURA CT BL AL PLAS INC X 5; NVR
1006808840015; NYOLOL GEL; NYOLOL GEL; NOT FOUND; 1.37 MG/ML GEL OFT CT FR PLAS TRANS GOT X 5 ML; NVR
1006811050021; NEVANAC; NEVANAC; NOT FOUND; 1 MG/ML SUS OFT CT FR PLAS TRANS GOT X 5 ML ; NVR
1006811050038; NEVANAC UNO; NEVANAC UNO; NOT FOUND; 3 MG/ML SUS OFT CT FR PLAS OPC GOT X 3 ML; NVR
1006810700152; NICOTINELL; NICOTINELL; NOT FOUND; 21 MG ADES TRANSD CT SACHE X 7; NVR
1006810700081; NICOTINELL; NICOTINELL; NOT FOUND; 14 MG ADES TRANSD CT SACHE X 7; NVR
1006810700012; NICOTINELL; NICOTINELL; NOT FOUND; 7 MG ADES TRANSD CT SACHE X 7; NVR
1006810700225; NICOTINELL; NICOTINELL; NOT FOUND; 7 MG ADES TRANSD SACHE X 14 + 14 MG ADES TRANSD SACHE X 14 + 21 MG ADES TRANSD SACHE X 42 CT; NVR
1006809090011; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 10; NVR
1006809090028; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 20; NVR
1006800920011; NITRODERM TTS; NITRODERM TTS; NOT FOUND; 25 MG SIST ADES TRANSD CT 10 ENV AL POLIET X 1; NVR
1006800920028; NITRODERM TTS; NITRODERM TTS; NOT FOUND; 50 MG SIST ADES TRANSD CT 10 ENV AL POLIET X 1; NVR
1006801770011; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT 1 BL AL PLAS INC X 14; NVR
