1006800090122; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 10 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.0 ML + SIST APLIC; NVR
1006800090130; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 20 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.0 ML + SIST APLIC; NVR
1006800090149; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 30 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.0 ML + SIST APLIC; NVR
1006800090051; SANDOSTATIN LAR; SANDOSTATIN LAR; NOT FOUND; 10 MG SUS INJ CT FA VD INC + 2 AMP DIL X 2 ML + SIST APLIC LAR; NVR
1006800090092; SANDOSTATIN LAR; SANDOSTATIN LAR; NOT FOUND; 10 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.5 ML + SIST APLIC ; NVR
1006800090068; SANDOSTATIN LAR; SANDOSTATIN LAR; NOT FOUND; 20 MG SUS INJ CT FA VD INC + 2 AMP DIL X 2 ML+ SIST APLIC LAR; NVR
1006800090106; SANDOSTATIN LAR; SANDOSTATIN LAR; NOT FOUND; 20 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.5 ML + SIST APLIC ; NVR
1006800090076; SANDOSTATIN LAR; SANDOSTATIN LAR; NOT FOUND; 30 MG SUS INJ CT FA VD INC + 2 AMP DIL X 2 ML+ SIST APLIC LAR; NVR
1006800090114; SANDOSTATIN LAR; SANDOSTATIN LAR; NOT FOUND; 30 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.5 ML + SIST APLIC ; NVR
1006800010013; SIMULECT; SIMULECT; NOT FOUND; 20 MG PO LIOF INJ CT FA VD INC + AMP VD INC DIL X 5 ML ; NVR
1006811170017; SEEBRI; SEEBRI; NOT FOUND; 50MCG CAP C/ PO INAL CT BL AL/AL X 12 + 1 INALADOR ; NVR
1006811170025; SEEBRI; SEEBRI; NOT FOUND; 50MCG CAP C/ PO INAL CT BL AL/AL X 30 + 1 INALADOR ; NVR
1006809620108; STALEVO; STALEVO; NOT FOUND; 200 MG + 50 MG + 200 MG COM REV CT FR PLAS OPC X 10 ; NVR
1006809620116; STALEVO; STALEVO; NOT FOUND; 200 MG + 50 MG + 200 MG COM REV CT FR PLAS OPC X 30 ; NVR
1006809620043; STALEVO; STALEVO; NOT FOUND; 100MG+25 MG+200MG COM REV CT FR PLAS OPC X 10; NVR
1006809620051; STALEVO; STALEVO; NOT FOUND; 100 MG+ 25 MG+ 200MG COM REV CT FR PLAS OPC X 30; NVR
1006809620078; STALEVO; STALEVO; NOT FOUND; 150 + 37.5 + 200 MG COM REV CT FR PLAS OPC X 10; NVR
1006809620086; STALEVO; STALEVO; NOT FOUND; 150 MG + 37.5 MG + 200 MG COM REV CT FR PLAS OPC X 30; NVR
1006809620027; STALEVO; STALEVO; NOT FOUND; 50 MG+12.5 MG+200MG COM REV CT FR PLAS OPC X 30; NVR
1006809620019; STALEVO; STALEVO; NOT FOUND; 50 MG+ 12.5 MG+ 200MG COM REV CT FR PLAS OPC X 10; NVR
1006809620108; STALEVO; STALEVO; NOT FOUND; 200 MG + 50 MG + 200 MG COM REV CT FR PLAS OPC X 10; NVR
1006809620116; STALEVO; STALEVO; NOT FOUND; 200 MG + 50 MG + 200 MG COM REV CT FR PLAS OPC X 30; NVR
1006800200025; SANDIMMUN; SANDIMMUN; NOT FOUND; 50 MG/ML SOL INJ CT 10 AMP VD INC X 1 ML; NVR
1006800200033; SANDIMMUN; SANDIMMUN; NOT FOUND; 50 MG/ML SOL INJ CT 10 AMP VD INC X 5 ML; NVR
1006800200106; SANDIMMUN NEORAL; SANDIMMUN NEORAL; NOT FOUND; 100 MG/ML SOL OR CT FR VD INC X 50 ML; NVR
1006800200092; SANDIMMUN NEORAL; SANDIMMUN NEORAL; NOT FOUND; 100 MG CAP GEL MOLE CT BL AL/AL X 50; NVR
