1006800580014; TONOPAN; TONOPAN; NOT FOUND; 0.5 MG + 40 MG + 125 MG DRG CT BL AL PLAS INC X 16; NVR
1006800850021; TEGRETOL; TEGRETOL; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOS; NVR
1006800850046; TEGRETOL; TEGRETOL; NOT FOUND; 200 MG COM CT  BL AL PLAS INC X 20; NVR
1006800850070; TEGRETOL; TEGRETOL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 60; NVR
1006800850011; TEGRETOL; TEGRETOL; NOT FOUND; 400 MG COM CT  BL AL PLAS INC X 20; NVR
1006800850054; TEGRETOL CR; TEGRETOL CR; NOT FOUND; 200 MG COM LIB PROL CT BL AL PLAS INC X 20; NVR
1006800850089; TEGRETOL CR; TEGRETOL CR; NOT FOUND; 200 MG COM LIB PROL CT BL AL PLAS INC X 60; NVR
1006800850062; TEGRETOL CR; TEGRETOL CR; NOT FOUND; 400 MG COM LIB PROL CT BL AL PLAS INC X 20; NVR
1006800850100; TEGRETOL CR; TEGRETOL CR; NOT FOUND; 400 MG COM LIB PROL CT BL AL PLAS INC X 60; NVR
1006810380034; TRIMEDAL ALERGIA; TRIMEDAL ALERGIA; NOT FOUND; 12.5 MG FILME DESINT OR CT SACHE X 16; NVR
1006810380077; TRIMEDAL ALERGIA; TRIMEDAL ALERGIA; NOT FOUND; 25 MG FILME DESINT OR CT SACHE X 12; NVR
1006808690031; TRIMEDAL; TRIMEDAL; NOT FOUND; 500 MG COM REV CT 2 STR AL/AL X 10; NVR
1006808690048; TRIMEDAL; TRIMEDAL; NOT FOUND; 500 MG + 0.5 MG + 15 MG + 40 MG  COM REV  1 CT STR AL/AL X 24 ; NVR
1006808690013; TRIMEDAL; TRIMEDAL; NOT FOUND; 500 MG COM REV CT 1 STR AL/AL X 4; NVR
1006800830010; TOFRANIL; TOFRANIL; NOT FOUND; 10 MG DRG CT BL AL PLAS INC X 20 ; NVR
1006800830029; TOFRANIL; TOFRANIL; NOT FOUND; 25 MG DRG CT BL AL PLAS INC X 20 ; NVR
1006800880042; TOFRANIL; TOFRANIL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 20 PAMOATO; NVR
1006800880034; TOFRANIL; TOFRANIL; NOT FOUND; 75 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10 PAMOATO; NVR
1006810980015; TOBRADEX; TOBRADEX; NOT FOUND; 3.0 MG/ML + 1.0 MG/ML SUS OFT CT FR PLAS TRANS GOT X 5 ML; NVR
1006810980023; TOBRADEX; TOBRADEX; NOT FOUND; 3.0 MG/G + 1.0 MG/G POM OFT CT BG AL X 3.5 G; NVR
1006810880010; TOBRAMICINA + DEXAMETASONA; TOBRAMICINA DEXAMETASONA; NOT FOUND; 3 MG/ML + 1 MG/ML SUS OFT CT 1 FR PLAS TRANS GOT X 5 ML; NVR
1006810950019; TRISORB; TRISORB; NOT FOUND; 3.0 MG/ML + 1.0 MG/ML + 2.0 MG/ML CT FR GOT PLAS TRANS X 15 ML; NVR
1006810390031; TRIMEDAL TOSSE; TRIMEDAL TOSSE; NOT FOUND; 7.5 MG FILME DESINT OR CT SACHE X 16; NVR
1006810390072; TRIMEDAL TOSSE; TRIMEDAL TOSSE; NOT FOUND; 15 MG FILME DESINT OR CT SACHE X 12; NVR
1006809040012; TRIXOTENE; TRIXOTENE; NOT FOUND; 20 MG SOL INJ CT FA VD INC X 0.5 ML + SOL DIL X 1.5 ML; NVR
1006809040020; TRIXOTENE; TRIXOTENE; NOT FOUND; 80 MG SOL INJ CT FA VD INC X 2.0 ML + SOL DIL X 6.0 ML; NVR
1006800880042; TOFRANIL PAMOATO; TOFRANIL PAMOATO; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 20; NVR
1006800880034; TOFRANIL PAMOATO; TOFRANIL PAMOATO; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 20; NVR
1006800880085; TOFRANIL PAMOATO; TOFRANIL PAMOATO; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 30; NVR
1006800880069; TOFRANIL PAMOATO; TOFRANIL PAMOATO; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 30; NVR
1006810600077; TASIGNA; TASIGNA; NOT FOUND; 200 MG CAPGEL DURA CT BL AL PLAS INC X 112; NVR
1006810600034; TASIGNA; TASIGNA; NOT FOUND; 200 MG CAPGEL DURA CT BL AL/AL X 112; NVR
1006800460205; TRILEPTAL; TRILEPTAL; NOT FOUND; 60 MG/ML SUS OR CT FR VD AMB X 100 ML + SER DOS; NVR
1006800460221; TRILEPTAL; TRILEPTAL; NOT FOUND; 60 MG/ML SUS OR CT FR VD AMB X 100 ML + 2 SER DOS ; NVR
1006800460094; TRILEPTAL; TRILEPTAL; NOT FOUND; 150 MG COM REV CT 2 BL AL PLAS INC X 10; NVR
1006800460086; TRILEPTAL; TRILEPTAL; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 10; NVR
1006800460132; TRILEPTAL; TRILEPTAL; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 20; NVR
1006800460124; TRILEPTAL; TRILEPTAL; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 10; NVR
1006800460159; TRILEPTAL; TRILEPTAL; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 60; NVR
1006800460167; TRILEPTAL; TRILEPTAL; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC X 10; NVR
