1006808750016; LECTRUM; LECTRUM; NOT FOUND; 3.75 MG PO LIO INJ CT 1 FA VD INC + AMP DIL X 1.5 ML + SER + 2 AGU; NVR
1006808750024; LECTRUM; LECTRUM; NOT FOUND; 7.50 MG PO LIO INJ CT 1 FA VD INC + AMP DIL X 1.5 ML + SER + 2 AGU; NVR
1006800590011; LIORESAL; LIORESAL; NOT FOUND; 10 MG COM CT BL AL PLAS INC  X 20; NVR
1006800900027; LOCORTEN VIOFORMIO; LOCORTEN VIOFORMIO; NOT FOUND; 0.2 MG/G + 5.0 MG/G CREM DERM CT BG AL X 15G; NVR
1006800900019; LOCORTEN VIOFORMIO; LOCORTEN VIOFORMIO; NOT FOUND; 0.2 MG/G + 5.0 MG/G POM DERM CT BG AL X 15G; NVR
1006800780013; LOCORTEN VIOFORMIO; LOCORTEN VIOFORMIO; NOT FOUND; 0.2 MG/G + 30 MG/G CREM DERM CT BG AL X 15 G; NVR
1006800780021; LOCORTEN VIOFORMIO; LOCORTEN VIOFORMIO; NOT FOUND; 0.2 MG/G + 30 MG/G POM DERM CT BG AL X 15 G; NVR
1006800280126; LOTENSIN; LOTENSIN; NOT FOUND; 10 MG COM REV CT BL AL/AL X 14; NVR
1006800280118; LOTENSIN; LOTENSIN; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NVR
1006800280045; LOTENSIN; LOTENSIN; NOT FOUND; 10 MG COM REV CT FR PLAS OPC X 60; NVR
1006800280010; LOTENSIN; LOTENSIN; NOT FOUND; 5 MG COM REV CT FR PLAS OPC X 14; NVR
1006800280088; LOTENSIN; LOTENSIN; NOT FOUND; 5 MG COM REV CT BL AL/AL X 30; NVR
1006800280037; LOTENSIN; LOTENSIN; NOT FOUND; 5 MG COM REV CT FR PLAST OPC X 60; NVR
1006800630062; LOTENSIN; LOTENSIN; NOT FOUND; 10 MG + 12.5 MG COM REV CT 2 BL ALU/ALU X 15; NVR
1006800630046; LOTENSIN; LOTENSIN; NOT FOUND; 5 MG + 6.25 MG COM REV CT 2 BL ALU/ALU X 15; NVR
1006800630062; LOTENSIN H; LOTENSIN H; NOT FOUND; 10 MG + 12.5 MG COM REV CT BL AL / AL X 30; NVR
1006800630046; LOTENSIN H; LOTENSIN H; NOT FOUND; 5 MG + 6.25 MG COM REV CT BL AL / AL X 30; NVR
1123600330010; LIVOSTIN COLÍRIO; LIVOSTIN COLIRIO; NOT FOUND; 0.5 MG/ML SUS TOP OFT FR PLAS GOT X 4 ML; NVR
1006800870012; LUDIOMIL; LUDIOMIL; NOT FOUND; 5 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; NVR
1006800870039; LUDIOMIL; LUDIOMIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 20; NVR
1006800870020; LUDIOMIL; LUDIOMIL; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 20; NVR
1006800730105; LAMISIL; LAMISIL; NOT FOUND; 1 PCC SOL TOP CT FR PLAS OPC GOT X 30 ML; NVR
1006800730059; LAMISIL CREME; LAMISIL CREME; NOT FOUND; 10 MG/G CREME CT TB AL X 20 G; NVR
1006800730121; LAMISIL; LAMISIL; NOT FOUND; 1% GEL CT BG AL X 30 G; NVR
1006800730148; LAMISIL CREME; LAMISIL CREME; NOT FOUND; 10 MG/G CREME CT TB AL X 7.5 G; NVR
1006800730199; LAMISIL CREME; LAMISIL CREME; NOT FOUND; 10 MG/G CREME CT TB AL X 15 G; NVR
1006800730318; LAMISIL UMA VEZ; LAMISIL UMA VEZ; NOT FOUND; 10 MG/G SOL DERM LIB PROL CT BG AL X 4 G; NVR
1999999999989; LAMISIL CREME; LAMISIL CREME; NOT FOUND; CONTROLE; NVR
1006810630138; LAMISILATE UMA VEZ; LAMISILATE UMA VEZ; NOT FOUND; 10 MG/G SOL FORM FILME CT BG AL X 4 G ; NVR
1006800730067; LAMISIL; LAMISIL; NOT FOUND; 125 MG COM CT BL AL PLAS INC X 14; NVR
1006800730040; LAMISIL; LAMISIL; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 28; NVR
1006800730032; LAMISIL; LAMISIL; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 14; NVR
1006800730083; LAMISIL; LAMISIL; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 7; NVR
1006800730091; LAMISIL SPRAY; LAMISIL SPRAY; NOT FOUND; 10 MG/G SOL TOP CT FR PLAS OPC SPRAY X 30 ML; NVR
1999999999987; LAMISIL SPRAY; LAMISIL SPRAY; NOT FOUND; CONTROLE; NVR
1006810630121; LAMISILATE; LAMISILATE; NOT FOUND; 10 MG/G SOL TOP CT FR PLAS OPC SPRAY X 30 ML ; NVR
1006800730131; LAMISIL GEL; LAMISIL GEL; NOT FOUND; 10 MG/G GEL CT BG AL X 20 G; NVR
1006800730113; LAMISIL GEL; LAMISIL GEL; NOT FOUND; 10 MG/G GEL CT BG AL X 15 G; NVR
1999999999988; LAMISIL GEL; LAMISIL GEL; NOT FOUND; CONTROLE; NVR
1006810630030; LAMISILATE; LAMISILATE; NOT FOUND; 10 MG/G CREM DERM CT TB AL X 15 G ; NVR
1006810630057; LAMISILATE; LAMISILATE; NOT FOUND; 10 MG/G CREM DERM CT TB AL X 30 G ; NVR
1006810630014; LAMISILATE; LAMISILATE; NOT FOUND; 10 MG/G CREM DERM CT TB AL X 7.5 G ; NVR
1006810630081; LAMISILATE; LAMISILATE; NOT FOUND; 10 MG/G GEL CT BG AL X 20 G ; NVR
1006800270031; LEPONEX; LEPONEX; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; NVR
1006800270066; LEPONEX; LEPONEX; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 450 (EMB HOSP); NVR
1006800270058; LEPONEX; LEPONEX; NOT FOUND; 100 MG COM CT 6 BL AL PLAS INC X 15; NVR
1006800270041; LEPONEX; LEPONEX; NOT FOUND; 25 MG COM CT 10 BL AL PLAS INC X 20; NVR
1006800270023; LEPONEX; LEPONEX; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 20 ; NVR
1006811010011; LACRIMA PLUS; LACRIMA PLUS; NOT FOUND; 1.0 MG/ML + 3.0 MG/ML SOL OFT CT FR PLAS TRANS GOT X 15 ML; NVR
1006809020011; LABIMION; LABIMION; NOT FOUND; 20 MG/ML SOL INJ CT AMP VD AMB X 5 ML; NVR
1006800410054; LESCOL; LESCOL; NOT FOUND; 20 MG CAP GEL DURA CT BL AL/AL X 14; NVR
1006800410062; LESCOL; LESCOL; NOT FOUND; 20 MG CAP GEL DURA CT BL AL/AL X 28; NVR
1006800410097; LESCOL; LESCOL; NOT FOUND; 40 MG CAP GEL DURA CT BL AL/AL X 14; NVR
1006800410100; LESCOL; LESCOL; NOT FOUND; 40 MG CAP GEL DURA CT BL AL/AL X 28; NVR
1006800410151; LESCOL; LESCOL; NOT FOUND; XL 80 MG COM REV LIB PROLONG BL AL/AL X 10; NVR
1006800410161; LESCOL; LESCOL; NOT FOUND; 80 MG COM REV LIB PROLONG 3 BL AL/AL X 10; NVR
1006800410161; LESCOL XL; LESCOL XL; NOT FOUND; 80 MG COM REV LIB PROL CT BL AL/AL X 30; NVR
1006800160015; LENTARON; LENTARON; NOT FOUND; 250 MG PO LIOF INJ CX 2 FA VD INC + 2 AMP DIL X 2 ML; NVR
1006800720071; LOMIR; LOMIR; NOT FOUND; 2.5 MG COM CT BL AL/AL X 28; NVR
1006800720118; LOMIR; LOMIR; NOT FOUND; 5.0 MG CAP CT BL AL/AL X 14; NVR
1006800720118; LOMIR SRO; LOMIR SRO; NOT FOUND; 5.0 MG CAP CT BL AL/AL X 14; NVR
1006810440010; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 250 MG COM REV CT BL AL PLAS INC X 7; NVR
1006810440071; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 10; NVR
1006810440045; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 3; NVR
1006810440061; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 7; NVR
1006808860075; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT 3 BL AL PLAS INC X 10; NVR
1006808860113; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT 3 BL AL PLAS INC X 10; NVR
1006808860032; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT 3 BL AL PLAS INC X 10; NVR
1006801600027; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT 1 BL AL PLAS INC X 10; NVR
1006801600035; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT BL AL PLAS INC X 12; NVR
1006809610013; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR PLAS OPC X 60 ML + CP MED; NVR
1006809850014; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 14; NVR
1006809850022; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS INC X 28; NVR
1006809130038; LOVASTATINA; LOVASTATINA; LOVASTATINA; 20 MG COM CT 3 BL AL / PVC X 10; NVR
1006809420011; LACRIGEL A; LACRIGEL A; NOT FOUND; 10  MG/G GEL OFT CT TB AL X 10 G; NVR
1006800900027; LOCORTEN; LOCORTEN; NOT FOUND; 0.2 MG/G + 5 MG/G CREM DERM CT BG AL X 15 G; NVR
1006800900019; LOCORTEN; LOCORTEN; NOT FOUND; 0.2 MG/G + 5 MG/G POM DERM CT BG AL X 15 G; NVR
1006800820015; LOSALEN; LOSALEN; NOT FOUND; 0.2 MG/G + 30 MG/G POM DERM CT BG AL X 30 G; NVR
