1006810960014; FLORATE; FLORATE; NOT FOUND; 1.0 MG/ML SUS OFT CT 1 FR PLAS GOT X 5 ML; NVR
1006801560041; FORASEQ; FORASEQ; NOT FOUND; 12 MCG PO ENCAP P/INAL CT BL AL/AL X 60 + 200 MCG PO ENCAP P/INAL CT BL AL PLAS X 60 + INALADOR; NVR
1006801560084; FORASEQ; FORASEQ; NOT FOUND; 12 MCG PO ENCAP P/INAL CT BL AL/AL X 60 + 400 MCG PO ENCAP P/INAL CT BL AL PLAS X 60 + INALADOR; NVR
1006801560033; FORASEQ; FORASEQ; NOT FOUND; 12 MCG PO ENCAP P/INAL CT BL AL/AL X 60 + 200 MCG PO ENCAP P/INAL CT BL AL PLAS X 60; NVR
1006801560076; FORASEQ; FORASEQ; NOT FOUND; 12 MCG PO ENCAP P/INAL CT BL AL/AL X 60 + 400 MCG PO ENCAP P/INAL CT BL AL PLAS X 60; NVR
1006801560114; FORASEQ; FORASEQ; NOT FOUND; 12 MCG PO ENCAP P/ INAL CT BL AL/AL X 20 + 200 MCG PO ENCAP P/ INAL CT BL AL PLAS X 20 + INALADOR; NVR
1006801560122; FORASEQ; FORASEQ; NOT FOUND; 12 MCG PO ENCAP P/ INAL CT BL AL/AL X 20 +  400 MCG PO ENCAP P/ INAL CT BL AL PLAS X 20 + INALADOR; NVR
1006800960062; FACLOR; FACLOR; NOT FOUND; 250 MG/5ML SUS OR CT FR VD AMB X 80 ML; NVR
1006800960011; FACLOR; FACLOR; NOT FOUND; AP 375 MG DRG AP CT X 1 BL AL PLAST INC X 10; NVR
1006809380018; FESTONE; FESTONE; NOT FOUND; 10 MG COM CT 3 BL AL PLAS OPC X 10; NVR
1006809380034; FESTONE; FESTONE; NOT FOUND; 20 MG COM CT 3 BL AL PLAS OPC X 10; NVR
1006801020047; FLOTAC; FLOTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS INC X 20; NVR
1006801020039; FLOTAC; FLOTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS INC X 10; NVR
1006801020012; FLOTAC; FLOTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS INC X 14; NVR
1006801020063; FLOTAC; FLOTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS INC X 8; NVR
1006801020081; FLOTAC; FLOTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS INC X 4; NVR
1010701110026; FAMVIR; FAMVIR; NOT FOUND; P 1 PCC CREM TOP CT TB AL X 5 G; NVR
1006809360033; FAMVIR; FAMVIR; NOT FOUND; 125 MG COM REV CT BL AL PLAS X 10; NVR
1006809360025; FAMVIR; FAMVIR; NOT FOUND; 250 MG COM REV CT BL AL PLAS X 21; NVR
1006810480020; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 60; NVR
1006810480012; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 30; NVR
1006810540031; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS INC X 30; NVR
1006809000010; FLUCTUN; FLUCTUN; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 10 ML; NVR
1006810280013; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML; NVR
1006810330029; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 2 MG COM REV LIB LENTA CT BL AL PLAS INC X 20; NVR
1006810330037; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 2 MG COM REV LIB LENTA CT BL AL PLAS INC X 30; NVR
1006800260028; FORADIL; FORADIL; NOT FOUND; 12 MCG AER CT TB AL X 5 ML (50 JATOS); NVR
1006800260060; FORADIL; FORADIL; NOT FOUND; 12 MCG CAP PO INAL CT BL AL/AL X 30; NVR
1006800260036; FORADIL; FORADIL; NOT FOUND; 12 MCG CAP PO INAL CT BL AL/AL X 30 + INALADOR; NVR
1006800260079; FORADIL; FORADIL; NOT FOUND; 12 MCG CAP PO INAL CT BL AL/AL X 60; NVR
1006800260044; FORADIL; FORADIL; NOT FOUND; 12 MCG CAP PO INAL CT BL AL/AL X 60 + INALADOR; NVR
1006801000011; FEMARA; FEMARA; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS INC X 28; NVR
1006809760031; FENISTIL; FENISTIL; NOT FOUND; 0.1 PCC GEL CT TB X 30 G; NVR
