1006810610031; DIOVAN TRIPLO; DIOVAN TRIPLO; NOT FOUND; 160 MG + 12.5 MG COM REV + 5 MG COM CT BL AL/AL X 14 + 14; NVR
1006810610056; DIOVAN TRIPLO; DIOVAN TRIPLO; NOT FOUND; 160 MG + 12.5 MG COM REV + 10 MG COM CT BL AL/AL X 14 + 14; NVR
1006810610064; DIOVAN TRIPLO; DIOVAN TRIPLO; NOT FOUND; 160 MG + 12.5 MG COM REV + 10 MG COM CT BL AL/AL X 28 + 28; NVR
1006810610048; DIOVAN TRIPLO; DIOVAN TRIPLO; NOT FOUND; 160 MG + 12.5 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28; NVR
1006810610099; DIOVAN TRIPLO; DIOVAN TRIPLO; NOT FOUND; 160 MG + 25 MG COM REV + 10 MG COM CT BL AL/AL X 14 + 14; NVR
1006810610102; DIOVAN TRIPLO; DIOVAN TRIPLO; NOT FOUND; 160 MG + 25 MG COM REV + 10 MG COM CT BL AL/AL X 28 + 28; NVR
1006810610072; DIOVAN TRIPLO; DIOVAN TRIPLO; NOT FOUND; 160 MG + 25 MG COM REV + 5 MG COM CT BL AL/AL X 14 + 14; NVR
1006810610080; DIOVAN TRIPLO; DIOVAN TRIPLO; NOT FOUND; 160 MG + 25 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28; NVR
1006809430041; DIOVAN AMLO; DIOVAN AMLO; NOT FOUND; 160 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28 ; NVR
1006809430023; DIOVAN AMLO; DIOVAN AMLO; NOT FOUND; 80 MG COM REV + 5 MG COM CT BL AL/AL X 28 + 28 ; NVR
1006810530184; DIOVAN AMLO FIX; DIOVAN AMLO FIX; NOT FOUND; 80 MG + 5 MG COM REV CT BL AL/AL X 28; NVR
1006810530060; DIOVAN AMLO FIX; DIOVAN AMLO FIX; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL/AL X 28; NVR
1006810530109; DIOVAN AMLO FIX; DIOVAN AMLO FIX; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL/AL X 28; NVR
1006810530141; DIOVAN AMLO FIX; DIOVAN AMLO FIX; NOT FOUND; 160 MG + 10 MG COM REV CT BL AL/AL X 28; NVR
1006810530028; DIOVAN AMLO FIX; DIOVAN AMLO FIX; NOT FOUND; 320 MG + 10 MG COM REV CT BL AL/AL X 28; NVR
1006810530133; DIOVAN AMLO FIX; DIOVAN AMLO FIX; NOT FOUND; 160 MG + 10 MG COM REV CT BL AL/AL X 14 ; NVR
1006810530052; DIOVAN AMLO FIX; DIOVAN AMLO FIX; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL/AL X 14 ; NVR
1006810530095; DIOVAN AMLO FIX; DIOVAN AMLO FIX; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL/AL X 14; NVR
1006810530176; DIOVAN AMLO FIX; DIOVAN AMLO FIX; NOT FOUND; 80 MG + 5 MG COM REV CT BL AL/AL X 14 ; NVR
1006800530041; DESFERAL; DESFERAL; NOT FOUND; 500 MG PO LIOF CT 5 FA VD INC + 5 AMP DIL VD INC X 5 ML; NVR
1006800530017; DESFERAL; DESFERAL; NOT FOUND; 500 MG PO LIOF CT X 10 FA VD INC; NVR
1006809700020; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS INC X 14; NVR
1006809700039; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS INC X 20; NVR
1006809680021; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT BL AL PLAS INC X 20; NVR
1006809680054; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT BL AL PVC/PE/PVDC X 20; NVR
1006801800026; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT 1 BL AL PLAS INC X 20; NVR
1006800970041; DIOVAN HCT; DIOVAN HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL / AL X 14; NVR
1006800970051; DIOVAN HCT; DIOVAN HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL / AL X 28; NVR
1006800970106; DIOVAN HCT; DIOVAN HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL/AL X 28; NVR
1006800970114; DIOVAN HCT; DIOVAN HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL/AL X 14; NVR
1006800970017; DIOVAN HCT; DIOVAN HCT; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL/AL X 14; NVR
1006800970025; DIOVAN HCT; DIOVAN HCT; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL/AL X 28; NVR
1006800970130; DIOVAN HCT; DIOVAN HCT; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL/AL X 28  ; NVR
1006800970157; DIOVAN HCT; DIOVAN HCT; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL/AL X 28  ; NVR
1006800970122; DIOVAN HCT; DIOVAN HCT; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL/AL X 14  ; NVR
1006800390088; DORETRIM; DORETRIM; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 200 ML + SER DOSADORA; NVR
1006800390029; DORETRIM; DORETRIM; NOT FOUND; 400 MG CAP AP CT 3 BL AL PLAS INC X 10; NVR
1006811040016; DUO-TRAVATAN; DUO TRAVATAN; NOT FOUND; 0.04 MG/ML + 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML ; NVR
1006811040024; DUO-TRAVATAN; DUO TRAVATAN; NOT FOUND; 0.04 MG/ML + 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML ; NVR
1006800560013; DESERILA; DESERILA; NOT FOUND; 1 MG DRG CT FR VD AMB X 25; NVR
1006801810021; DIFTETALL; DIFTETALL; NOT FOUND; SUS INJ CX 10 FA VD INC X 0.5 ML; NVR
