1006809450016; ANDELUX; ANDELUX; NOT FOUND; 50 MG COM CT 2 BL AL PLAST INC X 10; NVR
1006810910017; ACETATO DE PREDNISOLONA; ACETATO PREDNISOLONA; ACETATO PREDNISOLONA; 10.0 MG/ML SUS OFT CT FR PLAS OPC CGT X 5 ML; NVR
1006809560075; ALENDRONATO SÓDICO; ALENDRONATO SODICO; NOT FOUND; 10 MG COM CT FR PLAS OPC X 30; NVR
1006809560091; ALENDRONATO SÓDICO; ALENDRONATO SODICO; NOT FOUND; 10 MG COM CT FR PLAS OPC X 15; NVR
1006809110029; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.50 MG COM CT 2 BL AL PLAS INC X 10; NVR
1006809110053; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT 2 BL AL PLAS INC X 10; NVR
1006809110096; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2 MG COM CT FR VD AMB X 30; NVR
1006800240035; AMINOFILINA SANDOZ; AMINOFILINA SANDOZ; NOT FOUND; 24 MG/ML SOL INJ CT 100 AMP VD INC X 10 ML; NVR
1006800240043; AMINOFILINA SANDOZ; AMINOFILINA SANDOZ; NOT FOUND; 240MG/ML SOL OR CT FR VD AMB X 10 ML; NVR
1006800240019; AMINOFILINA SANDOZ; AMINOFILINA SANDOZ; NOT FOUND; 100 MG COM CT 2 BL AL PLAS INC X 10; NVR
1006800240027; AMINOFILINA SANDOZ; AMINOFILINA SANDOZ; NOT FOUND; 200 MG COM CT 2 BL AL PLAS INC X 10; NVR
1006810100090; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 16; NVR
1006810100023; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 20; NVR
1006810100031; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; NVR
1006810100104; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NVR
1006808800048; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 25 MG/ML+ 6.25 MG/ML PO SUS OR CT FR VD AMB X 100 ML COL DOSAD; NVR
1006808800021; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 50 MG/ML+ 12.5 MG/ML PO SUS OR CT FR VD AMB X 100 ML COL DOSAD; NVR
1006808800013; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 50 MG/ML 12.5 MG/ML PO SUS OR CT FR VD AMB X 75 ML COL DOSAD; NVR
1006808800031; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 25 MG/ML + 6.25 MG/ML PO SUS OR CT FR VD AMB X 75 ML + COL DOSAD; NVR
1006801620011; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL X 12; NVR
1006801620036; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT STR AL X 12; NVR
1006801620044; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT STR AL X 20; NVR
1006808960010; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; NVR
1006808960029; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT 2 BL AL PLAS INC X 12; NVR
1006801610057; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; NVR
1006801610073; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30; NVR
1006801610030; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; NVR
1006801760016; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS BCO X 2; NVR
1006801760024; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS BCO X 3; NVR
1006811140010; AZOPT; AZOPT; NOT FOUND; 10 MG/ML SUS OFT CT FR PLAS TRANS GOT X 5 ML; NVR
1006811080018; AZORGA; AZORGA; NOT FOUND; 10 MG/ML + 5.0 MG/ML SUS OFT CT FR OPC GOT X 5 ML; NVR
1006811080026; AZORGA; AZORGA; NOT FOUND; 10 MG/ML + 5 MG/ML SUS OFT CT FR OPC GOT X 6 ML; NVR
1006800750068; ANDURSIL; ANDURSIL; NOT FOUND; GEL OR FR PLAST AMB X 240 ML; NVR
1006800750017; ANDURSIL; ANDURSIL; NOT FOUND; COM MAST CT 4 BL AL PLAST INC X 5; NVR
1006800610045; ANAFRANIL; ANAFRANIL; NOT FOUND; 25 MG SOL INJ CX C/10 AMP 2 ML; NVR
1006800610029; ANAFRANIL; ANAFRANIL; NOT FOUND; 10 MG DRG CT BL AL PLAS INC X 20; NVR
1006800610037; ANAFRANIL; ANAFRANIL; NOT FOUND; 25 MG DRG CT BL AL PLAS INC X 20; NVR
1006800610010; ANAFRANIL SR; ANAFRANIL SR; NOT FOUND; 75 MG COM LIB LENTA CT BL AL PLAS INC X 20; NVR
1006800130027; APRESOLINA; APRESOLINA; NOT FOUND; 25 MG DRG CT BL AL PLAS INC X 20; NVR
1006800130019; APRESOLINA; APRESOLINA; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 20; NVR
1006800130078; APRESOLINA; APRESOLINA; NOT FOUND; 25 MG DRG CT BL AL/AL X 20 ; NVR
1006810870015; ANESTALCON; ANESTALCON; NOT FOUND; 5.0 MG/ML SOL OFT CT FR PLAST OPC GOT X 5 ML; NVR
1006800150011; ANACYCLIN; ANACYCLIN; NOT FOUND; (1 MG + O.05 MG) COM REV CT CART BL AL PLAS INC X 22 + 6 COM REV; NVR
1006810650015; AFINITOR; AFINITOR; NOT FOUND; 5 MG COM CT BL AL/AL X 30; NVR
1006810650023; AFINITOR; AFINITOR; NOT FOUND; 10 MG COM CT BL AL/AL X 30; NVR
1006810650031; AFINITOR; AFINITOR; NOT FOUND; 2.5 MG COM CT BL AL/AL X 30; NVR
1006800320012; AGASTEN; AGASTEN; NOT FOUND; 0.05 MG/ML XPE CT FR VD AMB X 120 ML; NVR
1006800320020; AGASTEN; AGASTEN; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 15; NVR
1006800100012; ADELFAN ESIDREX; ADELFAN ESIDREX; NOT FOUND; 0.1 MG + 10 MG + 10 MG COM CT BL AL PLAS INC X 20; NVR
1006800080089; AREDIA; AREDIA; NOT FOUND; 15 MG PO LIOF INJ CX 4 FA VD INC + 4 AMP DIL VD INC X 5 ML; NVR
1006800080119; AREDIA; AREDIA; NOT FOUND; 30 MG PO LIOF INJ CX 2 FA VD INC + 2 AMP DIL VD INC X 10 ML; NVR
1006800080135; AREDIA; AREDIA; NOT FOUND; 60 MG PO LIOF INJ CX FA VD INC + AMP DIL VD INC X 10 ML; NVR
1006800080161; AREDIA; AREDIA; NOT FOUND; 90 MG PO LIOF INJ CX FA VD INC + AMP DIL VD INC X 10 ML; NVR
1006808880017; AGRIPPAL; AGRIPPAL; NOT FOUND; SUS INJ CX SER VD INC PRE ENCH X 0.5 ML; NVR
