1006800930058; MIFLONIDE; MIFLONIDE; NOT FOUND; 200 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 30 + INAL; NVR
1006800930074; MIFLONIDE; MIFLONIDE; NOT FOUND; 400 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 30 + INAL; NVR
1006800930015; MIFLONIDE; MIFLONIDE; NOT FOUND; 200 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 60; NVR
1006800930031; MIFLONIDE; MIFLONIDE; NOT FOUND; 400 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 60; NVR
1006800930023; MIFLONIDE; MIFLONIDE; NOT FOUND; 200 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 30; NVR
1006800930041; MIFLONIDE; MIFLONIDE; NOT FOUND; 400 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 30; NVR
1006800930066; MIFLONIDE; MIFLONIDE; NOT FOUND; 200 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 60 + INAL; NVR
1006800930082; MIFLONIDE; MIFLONIDE; NOT FOUND; 400 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 60 + INAL; NVR
1006800500088; MIACALCIC; MIACALCIC; NOT FOUND; 100 UI SOL INJ CT 5 SER VD X 1 ML; NVR
1006800500071; MIACALCIC; MIACALCIC; NOT FOUND; 50 UI SOL INJ CT 5 SER VD X 0.5 ML; NVR
1006800500101; MIACALCIC; MIACALCIC; NOT FOUND; 100 UI SOL INJ CT 5 AMP VD INC X 1 ML; NVR
1006800500053; MIACALCIC; MIACALCIC; NOT FOUND; 200 UI/DOSE SOL NAS CT FR VD INC NEB X 2 ML; NVR
1006808660033; METFORMIX; METFORMIX; NOT FOUND; 500 MG COM REV CT BL AL PVC X 48; NVR
1006808660076; METFORMIX; METFORMIX; NOT FOUND; 850 MG COM REV CT BL AL PVC X 48; NVR
1006808660025; METFORMIX; METFORMIX; NOT FOUND; 500 MG COM REV CT BL AL PVC X 24; NVR
1006808660068; METFORMIX; METFORMIX; NOT FOUND; 850 MG COM REV CT BL AL PVC X 24; NVR
1006808660017; METFORMIX; METFORMIX; NOT FOUND; 500 MG COM REV CT BL AL PVC X 12; NVR
1006808660051; METFORMIX; METFORMIX; NOT FOUND; 850 MG COM REV CT BL AL PVC X 12; NVR
1006800510091; MELLERIL; MELLERIL; NOT FOUND; 3 PCC SOL ORAL CT FR VD AMB X 50 ML; NVR
1006800510131; MELLERIL; MELLERIL; NOT FOUND; 10 MG DRG CT BL AL PLAST INC X 20; NVR
1006800510040; MELLERIL; MELLERIL; NOT FOUND; 100 MG DRG CT 2 BL AL PLAST INC X 10; NVR
1006800510067; MELLERIL; MELLERIL; NOT FOUND; 200 MG COM RET CT FR VD AMB X 20; NVR
1006800510148; MELLERIL; MELLERIL; NOT FOUND; 25 MG DRG CT BL AL PLAST INC X 20; NVR
1006800510032; MELLERIL; MELLERIL; NOT FOUND; 50 MG DRG CT 2 BL AL PLAST INC X 10; NVR
1006810970011; MAXIDEX; MAXIDEX; NOT FOUND; 1.0 MG/G POM OFT CT BG AL X 3.5 G; NVR
1006810970028; MAXIDEX; MAXIDEX; NOT FOUND; 1.0 MG/ML SUS OFT CT FR PLAS TRANS GOT X 5 ML; NVR
1006811060017; MAXITROL; MAXITROL; NOT FOUND; 1.0 MG/ML + 5.0 MG/ML + 6.000 UI/ML SUS OFT CT FR PLAS TRANS GOT X 5 ML; NVR
1006811060025; MAXITROL; MAXITROL; NOT FOUND; 1.0 MG/G + 5.0 MG/G + 6.000 UI/G POM OFT CT BG AL X 3.5 G; NVR
1006800980047; MIFLASONA; MIFLASONA; NOT FOUND; 200 MCG CAP INAL OR CT BL AL PLAS TRANS X 60 + INAL; NVR
1006800980063; MIFLASONA; MIFLASONA; NOT FOUND; 400 MCG CAP INAL OR CT BL AL PLAS TRANS X 60 + INAL; NVR
1006809540031; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL/AL X 30; NVR
1006801830065; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT 3 BL AL/AL X 10; NVR
1006801830091; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT 3 BL AL/AL X 10; NVR
1006801830030; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT 3 BL AL/AL X 10; NVR
1006800760020; METHERGIN; METHERGIN; NOT FOUND; 0.2 MG/ML SOL INJ CT 50 AMP VD INC X 1 ML; NVR
1006800760012; METHERGIN; METHERGIN; NOT FOUND; 0.125 MG DRG CT BL AL PLAS INC X 12; NVR
1006810890016; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; NVR
1006808970040; MYFORTIC; MYFORTIC; NOT FOUND; 180 MG COM REV CT BL AL/AL X 120; NVR
1006808970075; MYFORTIC; MYFORTIC; NOT FOUND; 360 MG COM REV CT BL AL/AL X 120; NVR
1006809500021; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30MG COM REV CT BL AL PLAS INC X 14; NVR
1006809500048; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30MG COM REV CT BL AL PLAS INC X 28; NVR
1006809500080; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 45MG COM REV CT BL AL PLAS INC X 28; NVR
1006809500013; MIRTAZAPINA; MIRTAZAPINA; MIRTAZAPINA; 30 MG COM REV CT BL AL PLAS INC X 7; NVR
1006801500014; MERICOMB; MERICOMB; NOT FOUND; 1 MG COM REV+ 1MG+1MG COM REV CT BL AL PLAS OPC X 16 + 12; NVR
1006800940010; MERIGEST; MERIGEST; NOT FOUND; 2.0 MG + 0.7 MG COM REV CT BL AL PLAS OPC X 28; NVR
1006800570019; MURICALM; MURICALM; NOT FOUND; 1 MG/ML SOL OR CT FR VD CGT X 10 ML; NVR
1006800570027; MURICALM; MURICALM; NOT FOUND; 0.1 MG/ML XPE CT FR VD AMB X 120 ML; NVR
1006808780020; MENJUGATE; MENJUGATE; NOT FOUND; 10 MCG PO LIOF INJ CT 5 FA VD INC + 5 AMP DIL X 0.5 ML; NVR
1006808780039; MENJUGATE; MENJUGATE; NOT FOUND; 10 MCG PO LIOF INJ CT FA VD INC + 10 AMP DIL X 0.5 ML; NVR
1006808780012; MENJUGATE; MENJUGATE; NOT FOUND; 10 MCG PO LIOF INJ CT FA VD INC + AMP DILX 0.5 ML; NVR
1006808710022; MORUPAR; MORUPAR; NOT FOUND; PO LIOF INJ CT 10 FA VD INC + 10 AMP VD INC X 0.5 ML; NVR
1006808710030; MORUPAR; MORUPAR; NOT FOUND; PO LIOF INJ CT 10 FA VD INC + 10 AMP VD INC X 5 ML; NVR
1006808710014; MORUPAR; MORUPAR; NOT FOUND; PO LIOF INJ CT FA VD INC + SER PRE-ENCH X 0.5 ML; NVR
