506715301153411, XYLESTESIN, XYLESTESIN, NOT FOUND, 1% S/V-10ETJ.20ML(SP), CT6
506715302151412, XYLESTESIN, XYLESTESIN, NOT FOUND, 1% S/V-10FR. 20ML, CT6
506715303172413, XYLESTESIN, XYLESTESIN, NOT FOUND, 10% SPRAY-1FR. 50ML, CT6
506715304179411, XYLESTESIN, XYLESTESIN, NOT FOUND, 2% GEL.-10SERINGAS. 10ML, CT6
506715305167417, XYLESTESIN, XYLESTESIN, NOT FOUND, 2% GELEIA-10BIS. 30ML, CT6
506715306155412, XYLESTESIN, XYLESTESIN, NOT FOUND, 2% S/V-10ETJ. 20ML(SP), CT6
506715307151410, XYLESTESIN, XYLESTESIN, NOT FOUND, 2% S/V-10FR. 20ML, CT6
506715308158419, XYLESTESIN, XYLESTESIN, NOT FOUND, 2% S/V-50AP. 5ML, CT6
506715309154417, XYLESTESIN, XYLESTESIN, NOT FOUND, 2% S/V-50CARP. 1.8ML, CT6
506715401158415, XYLESTESIN +EPINEFRINA, XYLESTESIN EPINEFRINA, NOT FOUND, 1% C/V-10ETJ.20ML(OF), CT6
506715402154413, XYLESTESIN +EPINEFRINA, XYLESTESIN EPINEFRINA, NOT FOUND, 2% C/V-10ETJ. 20ML(OF), CT6
506715403150411, XYLESTESIN +EPINEFRINA, XYLESTESIN EPINEFRINA, NOT FOUND, 2% C/V-10FR. 20ML, CT6
506715501152419, XYLESTESIN+NOREPINEFRINA, XYLESTESIN NOREPINEFRINA, NOT FOUND, 2% C/V-50CARP. 1.8ML, CT6
506715601157412, XYLESTESINPESADA, XYLESTESINPESADA, NOT FOUND, 5% PESADA-50ETJ. 2ML(SP), CT6
506715301153411, XYLESTESIN, XYLESTESIN, NOT FOUND, 1% S/V-10ETJ.20ML(SP), CT6
506715302151412, XYLESTESIN, XYLESTESIN, NOT FOUND, 1% S/V-10FR. 20ML, CT6
506715303172413, XYLESTESIN, XYLESTESIN, NOT FOUND, 10% SPRAY-1FR. 50ML, CT6
506715304179411, XYLESTESIN, XYLESTESIN, NOT FOUND, 2% GEL.-10SERINGAS. 10ML, CT6
506715305167417, XYLESTESIN, XYLESTESIN, NOT FOUND, 2% GELEIA-10BIS. 30ML, CT6
