513401101154413; CEZOLIN; CEZOLIN; NOT FOUND; 1 G PO SOL INJ CT FA VD INC; I_B
513401103157411; CEZOLIN; CEZOLIN; NOT FOUND; 1 G PO SOL INJ CX 50 FA VD INC (EMB HOSP); I_B
513401002156418; CEMAX; CEMAX; NOT FOUND; 2.0 G PO LIOF CT FA VD INC; I_B
513401001151412; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CT FA VD INC + AMP DIL X 3.0 ML; I_B
513401004159414; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CX 50 FA VD INC ; I_B
513401005155412; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CX 50 FA VD INC + 50 AMP DIL X 3.0 ML; I_B
513401007158419; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CT FA VD INC + 01 BOLSA PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
513401008154417; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CX 50 FA VD INC + 50 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
513401011155410; CEMAX; CEMAX; NOT FOUND; 1.0 G PO LIOF CX 10 FA VD INC + 10 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
513401006151410; CEMAX; CEMAX; NOT FOUND; 2.0 G PO LIOF CX 50 FA VD INC ; I_B
513401009150415; CEMAX; CEMAX; NOT FOUND; 2.0 G PO LIOF CT FA VD INC + BOLSA PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
513401010159412; CEMAX; CEMAX; NOT FOUND; 2.0 G PO LIOF CX 10 FA VD INC + 10 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
513401012151419; CEMAX; CEMAX; NOT FOUND; 2.0 G PO LIOF CX 50 FA VD INC + 50 BOLSAS PLAS FLEX X 100ML (SIST FECH) (EMB HOSP); I_B
513401003152416; CEMAX; CEMAX; NOT FOUND; 500 MG PO LIOF CT FA VD INC + AMP DIL X 1.5 ML; I_B
513400901157419; CEFAZIMA; CEFAZIMA; NOT FOUND; 1 G PO INJ CT FA VD INC + AMP DIL X 10 ML ; I_B
513400902153417; CEFAZIMA; CEFAZIMA; NOT FOUND; 1 G PO INJ CX 50 FA VD INC (EMB HOSP); I_B
513406102159118; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO P/ SOL INJ CT 01 FA VD INC; I_B
513406103155116; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO P/ SOL INJ CT 01 FA VD INC + 9 MG/ML SOL INJ IV 01 BOLS PLAS PVC SIST FECH X 100 ML; I_B
513406104151114; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO P/ SOL INJ CT 10 FA VD INC + 9 MG/ML SOL INJ IV 10 BOLS PLAS PVC SIST FECH X 100 ML (EMB HOSP); I_B
513406105158112; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); I_B
513406106154110; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO P/ SOL INJ CT 50 FA VD INC + 9 MG/ML SOL INJ IV 50 BOLS PLAS PVC SIST FECH X 100 ML (EMB HOSP); I_B
513406101152111; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 50 FR VD INC (EMB HOSP); I_B
