95462; SOL GLICERINA ; SOL GLICERINA; NOT FOUND; SOL . 12 % 500 ML x 12; BA_
70510; SOL RINGER LACTATO ; SOL RINGER LACTATO; NOT FOUND; SOLN INJ. 1000 ML x 1; BA_
70511; SOL RINGER LACTATO ; SOL RINGER LACTATO; NOT FOUND; SOLN INJ. 500 ML x 1; BA_
78129; SOL RINGER LACTATO ; SOL RINGER LACTATO; NOT FOUND; SOLN INJ S/F 1000 ML x 16; BA_
76364; SOL RINGER LACTATO ; SOL RINGER LACTATO; NOT FOUND; SOLN INJ S/F 500 ML x 24; BA_
42710; SORO GLICO CLORETA ; SORO GLICO CLORETA; NOT FOUND; SOLN INJ. 1000 ML x 1; BA_
42709; SORO GLICO CLORETA ; SORO GLICO CLORETA; NOT FOUND; SOLN INJ. 500 ML x 1; BA_
77893; SORO GLICO CLORETA ; SORO GLICO CLORETA; NOT FOUND; SOLN INJ S/F 1000 ML x 16; BA_
77894; SORO GLICO CLORETA ; SORO GLICO CLORETA; NOT FOUND; SOLN INJ S/F 500 ML x 24; BA_
54063; SORO GLICOSADO ; SORO GLICOSADO; NOT FOUND; SOLN INJ. 5 % 1000 ML x 1; BA_
54060; SORO GLICOSADO ; SORO GLICOSADO; NOT FOUND; SOLN INJ. 5 % 125 ML x 1; BA_
54061; SORO GLICOSADO ; SORO GLICOSADO; NOT FOUND; SOLN INJ. 5 % 250 ML x 1; BA_
54062; SORO GLICOSADO ; SORO GLICOSADO; NOT FOUND; SOLN INJ. 5 % 500 ML x 1; BA_
