1498000090052; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CX 10 FA VD INC X 100 ML + SUP + EQP; GUE
1498000090060; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CT FA VD INC X 100 ML + SUP+ EQP; GUE
1498000090011; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CT FA VD INC X 50 ML (USO PROF); GUE
1498000090028; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CX 25 FA VD INC X 50 ML; GUE
1498000090036; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CT FA VD INC X 100 ML; GUE
1498000090044; TELEBRIX CORONAR; TELEBRIX CORONAR; NOT FOUND; 640.38 MG/ML + 93.24 MG/ML SOL INJ CX 10 FA VD INC X 100 ML; GUE
1498000080022; TELEBRIX HYSTERO; TELEBRIX HYSTERO; NOT FOUND; 550.50 MG/ML SOL INJ CX 25 FA VD INC X 20 ML ; GUE
1498000080014; TELEBRIX HYSTERO; TELEBRIX HYSTERO; NOT FOUND; 550.50 MG/ML SOL INJ CT FA VD INC X 20 ML ; GUE
1498000140068; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX  10 FA VD INC X 100 ML (USO PROFS)   ; GUE
1498000140041; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX  25 FA VD INC X 50 ML (USO PROFS)  ; GUE
1498000140017; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX FA VD INC X 30 ML (USO PROFS) ; GUE
1498000140051; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX  FA VD INC X 100 ML (USO PROFS)  ; GUE
1498000140025; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX 25 FA VD INC X 30 ML (USO PROFS) ; GUE
1498000140033; TELEBRIX 30 MEGLUMINA; TELEBRIX 30 MEGLUMINA; NOT FOUND; 66.03 G/100 ML SOL INJ CX FA VD INC X 50 ML (USO PROFS) ; GUE
1498000010016; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CT FA VD INC X 20; GUE
1498000010075; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CT FA VD INC X 100 ML ; GUE
1498000010032; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CT FA VD INC X 30 ML ; GUE
1498000010059; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90MG/ML + 96.60 MG/ML SOL INJ CT FA VD INC X 50 ML ; GUE
1498000010040; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CX 25 FA VD INC X 30 ML ; GUE
1498000010083; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CX 10 FA VD INC X 100 ML ; GUE
1498000010067; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CX 25 FA VD INC X 50 ML ; GUE
1498000010024; TELEBRIX 35; TELEBRIX 35; NOT FOUND; 650.90 MG/ML + 96.60 MG/ML SOL INJ CX 50 FA VD INC X 20 ML ; GUE
1498000010091; TELEBRIX 35; TELEBRIX 35; NOT FOUND; CX MULT C/ 10 DE 200 ML; GUE
9999999999999; TELEBRIX MEGLUMINA TC; TELEBRIX MEGLUMINA TC; NOT FOUND; CX. MULT. C/ 10 FA DE 250 ML + EQUIPO; GUE
