1498000030084; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CT FA VD INC X 100 ML; GUE
1498000030173; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CX 10 FA VD INC X 100 ML; GUE
1498000030181; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CX 10 FA VD INC X 100 ML; GUE
1498000030149; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CX 25 FA VD INC X 50 ML; GUE
1498000030076; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CX 25 FA VD INC X 50 ML; GUE
1498000030106; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CT FA VD INC X 500 ML; GUE
1498000030068; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CT FA VD INC X 50 ML; GUE
1498000030130; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CT  FA VD INC X 50 ML; GUE
1498000030157; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CT  FA VD INC X 100 ML; GUE
1498000030191; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CT FA VD INC X 500 ML; GUE
1498000030203; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CT 10 BOLS FLEX X 100 ML ; GUE
1498000030238; HENETIX; HENETIX; NOT FOUND; 300 MG/ML SOL INJ CT 10 BOLS FLEX X 500 ML; GUE
1498000030246; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CT 10 BOLS FLEX X 100 ML ; GUE
1498000030270; HENETIX; HENETIX; NOT FOUND; 350 MG/ML SOL INJ CT 10 BOLS FLEX X 500 ML; GUE
1498000130100; HEXABRIX 320; HEXABRIX 320; NOT FOUND; 320 MG/ML IODO SOL INJ CT  FA X 100 ML  + SUP. ESP. + EQUIP; GUE
1498000130054; HEXABRIX 320; HEXABRIX 320; NOT FOUND; 320 MG/ML IODO SOL INJ CT  FA X 50 ML ; GUE
1498000130070; HEXABRIX 320; HEXABRIX 320; NOT FOUND; 320 MG/ML IODO SOL INJ CX 10 FA X 100 ML; GUE
1498000130062; HEXABRIX 320; HEXABRIX 320; NOT FOUND; 320 MG/ML IODO SOL INJ CX 25 FA VD INC X 50 ML ; GUE
1498000130011; HEXABRIX 320; HEXABRIX 320; NOT FOUND; CART C/ 4 FA 10 ML; GUE
1498000130038; HEXABRIX 320; HEXABRIX 320; NOT FOUND; CART.C/ 1 FA DE 20 ML; GUE
1498000130021; HEXABRIX 320; HEXABRIX 320; NOT FOUND; CX MULT C/ 20 FA 10 ML; GUE
1498000130046; HEXABRIX 320; HEXABRIX 320; NOT FOUND; CX. MULT. C/ 50 FA DE 20 ML; GUE
