508501004111410, CICLADOL, CICLADOL, NOT FOUND, 20 MG COM CT BL PVC/PVC OPC X 5, CHS
508501003115412, CICLADOL, CICLADOL, NOT FOUND, 20 MG COM CT BL PVC/PVD OPC X 10, CHS
508501002135411, CICLADOL, CICLADOL, NOT FOUND, 20 MG COM EFERV CT STR X 10, CHS
508501001139411, CICLADOL, CICLADOL, NOT FOUND, 20 MG COM EFERV CT STR X 6, CHS
508501005142417, CICLADOL, CICLADOL, NOT FOUND, 20 MG SUP RET CT STR X 5, CHS
508501006130412, CICLADOL, CICLADOL, NOT FOUND, PO ORAL CX C/ 5 SACHET, CHS
508501106178417, CLENIL, CLENIL, NOT FOUND, 0.4 MG/ML SUS NAS CT FR VD AMB X 20ML + VALV DOSAD+ PULSADOR, CHS
508501103136411, CLENIL, CLENIL, NOT FOUND, 0.4 MG/ML SUS NAS CT SACH 10 STR 5 FLAC PLAS MONOD X 2 ML, CHS
508501108170413, CLENIL, CLENIL, NOT FOUND, 100 MCG/DOSE PO INAL CT DISPOSIT INAL X 100 DOSES, CHS
508501109177411, CLENIL, CLENIL, NOT FOUND, 200 MCG/DOSE PO INAL CT DISPOSIT INAL X 100 DOSES, CHS
508501101176416, CLENIL, CLENIL, NOT FOUND, 250 MCG/DOSE SOL AER SPRAY CT TB AL X 15.5 G, CHS
508501102172414, CLENIL, CLENIL, NOT FOUND, 250 MCG/DOSE SOL AER SPRAY CT TB AL X 15.5 G + ESPACADOR JET, CHS
508501110175419, CLENIL, CLENIL, NOT FOUND, 400 MCG/DOSE PO INAL CT DISPOSIT INAL X 100 DOSES, CHS
508501104132411, CLENIL, CLENIL, NOT FOUND, 400 MG + 800 MCG/ML SUS NEBUL CT 10 FLAC PLAS TRANS X 2 ML, CHS
508501107174415, CLENIL, CLENIL, NOT FOUND, 50 MCG/DOSE AER NAS CT TB AL + DISP NAS X 200 DOSES, CHS
508501105139418, CLENIL, CLENIL, NOT FOUND, COMPOSIT JET - FR C/ 15 ML, CHS
508501111171417, CLENIL, CLENIL, NOT FOUND, ORAL SPRAY - TB C/ 15 ML, CHS
508503801175311, CLENIL HFA, CLENIL HFA, NOT FOUND, 50 MCG/DOSE SOL AER CT TB AL + DISPOSITIVO ORAL X 200 DOSES, CHS
508501201154414, CUROSURF, CUROSURF, NOT FOUND, 80 MG/ML SUS INJ CT FA VD INC X 1.5 ML, CHS
508501202150412, CUROSURF, CUROSURF, NOT FOUND, 80 MG/ML SUS INJ CT FA VD INC X 3.0 ML, CHS
508501004111410, CICLADOL, CICLADOL, NOT FOUND, 20 MG COM CT BL PVC/PVC OPC X 5, CHS
508501003115412, CICLADOL, CICLADOL, NOT FOUND, 20 MG COM CT BL PVC/PVD OPC X 10, CHS
508501002135411, CICLADOL, CICLADOL, NOT FOUND, 20 MG COM EFERV CT STR X 10, CHS
