60409; RECORMON ; RECORMON; NOT FOUND; SER.PRE-ENCH 10 K 0.60 ML x 6; ROC
69886; RECORMON ; RECORMON; NOT FOUND; SER.PRE-ENCH 30 K 0.60 ML x 1; ROC
28050; RIVOTRIL ; RIVOTRIL; NOT FOUND; CPR 0.50 MG x 20; ROC
9170; RIVOTRIL ; RIVOTRIL; NOT FOUND; CPR 0.50 MG x 30; ROC
28051; RIVOTRIL ; RIVOTRIL; NOT FOUND; CPR 2 MG x 20; ROC
9171; RIVOTRIL ; RIVOTRIL; NOT FOUND; CPR 2 MG x 30; ROC
66329; RIVOTRIL ; RIVOTRIL; NOT FOUND; CPR SUBLING. 0.25 MG x 30; ROC
28052; RIVOTRIL ; RIVOTRIL; NOT FOUND; GOTAS 2.50 MG 20 ML x 1 (/ML); ROC
54049; ROACUTAN ; ROACUTAN; NOT FOUND; CAPS 10 MG x 30; ROC
49754; ROACUTAN ; ROACUTAN; NOT FOUND; CAPS 20 MG x 30; ROC
32992; ROCALTROL ; ROCALTROL; NOT FOUND; CAPS 0.25 Y x 30; ROC
44250; ROCEFIN ; ROCEFIN; NOT FOUND; F.IM 1 G 3.50 ML x 1; ROC
44362; ROCEFIN ; ROCEFIN; NOT FOUND; F.IM 250 MG 2 ML x 1; ROC
44363; ROCEFIN ; ROCEFIN; NOT FOUND; F.IM 500 MG 2 ML x 1; ROC
44367; ROCEFIN ; ROCEFIN; NOT FOUND; F.IV 1 G 10 ML x 1; ROC
44366; ROCEFIN ; ROCEFIN; NOT FOUND; F.IV 500 MG 5 ML x 1; ROC
30972; ROCHAGAN ; ROCHAGAN; NOT FOUND; CPR 100 MG x 100; ROC
72498; ROFERON-A ; ROFERON A; NOT FOUND; SER.PRELL 3 M 0.50 ML x 1; ROC
72499; ROFERON-A ; ROFERON A; NOT FOUND; SER.PRELL 4.50 M 0.50 ML x 1; ROC
72500; ROFERON-A ; ROFERON A; NOT FOUND; SER.PRELL 9 M 0.50 ML x 1; ROC
49975; ROHYPNOL ; ROHYPNOL; NOT FOUND; CPR 1 MG x 20; ROC
57302; ROHYPNOL ; ROHYPNOL; NOT FOUND; CPR RECUB. 1 MG x 30; ROC
