1348; BENFLOGIN ; BENFLOGIN; NOT FOUND; DRAG 50 MG x 20; A4H
1349; BENFLOGIN ; BENFLOGIN; NOT FOUND; GOTAS 30 MG 20 ML x 1 (/ML); A4H
66814; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 20; A4H
56106; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 30; A4H
66815; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 60; A4H
66812; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 20; A4H
56105; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 30; A4H
66813; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 60; A4H
88823; BETADINE ; BETADINE; NOT FOUND; CPR 16 MG x 30; A4H
88825; BETADINE ; BETADINE; NOT FOUND; CPR 16 MG x 60; A4H
88843; BETADINE ; BETADINE; NOT FOUND; CPR 24 MG x 30; A4H
88848; BETADINE ; BETADINE; NOT FOUND; CPR 24 MG x 60; A4H
88814; BETADINE ; BETADINE; NOT FOUND; CPR 8 MG x 30; A4H
88820; BETADINE ; BETADINE; NOT FOUND; CPR 8 MG x 60; A4H
64240; BETALOR ; BETALOR; NOT FOUND; CAPS GELATIN 25 MG x 30 (/5); A4H
64241; BETALOR ; BETALOR; NOT FOUND; CAPS GELATIN 50 MG x 30 (/5); A4H
61469; BIOEZULEN ; BIOEZULEN; NOT FOUND; F.AMP LIOF 100 MG x 1; A4H
61468; BIOEZULEN ; BIOEZULEN; NOT FOUND; F.AMP LIOF 50 MG x 1; A4H
75344; BIOFENAC ; BIOFENAC; NOT FOUND; CAPS L.P. 100 MG x 10; A4H
46736; BIOFENAC ; BIOFENAC; NOT FOUND; CAPS L.P. 100 MG x 20; A4H
52182; BIOFENAC ; BIOFENAC; NOT FOUND; CPR CLR 75 MG x 14; A4H
78669; BIOFENAC ; BIOFENAC; NOT FOUND; CPR DI DISPE 50 MG x 10; A4H
48163; BIOFENAC ; BIOFENAC; NOT FOUND; CPR DI SOLB 50 MG x 20; A4H
47670; BIOFENAC ; BIOFENAC; NOT FOUND; CPR LAQ ENT. 50 MG x 20; A4H
75343; BIOFENAC ; BIOFENAC; NOT FOUND; CPR REVEST 50 MG x 10; A4H
49266; BIOFENAC ; BIOFENAC; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); A4H
55960; BIOFENAC AERO ; BIOFENAC AERO; NOT FOUND; AERO 10 MG 60 G x 1 (/G); A4H
72979; BIOMAG ; BIOMAG; NOT FOUND; CAPS 10 MG x 30; A4H
72980; BIOMAG ; BIOMAG; NOT FOUND; CAPS 15 MG x 30; A4H
56772; BIOMATROP ; BIOMATROP; NOT FOUND; F.AMP C/DILU 4 IU x 1; A4H
55592; BONAR ; BONAR; NOT FOUND; F.AMP LIOF 15 IU 5 ML x 1; A4H
118956; BRAVAN ; BRAVAN; NOT FOUND; CPR REVEST 160 MG x 10; A4H
96157; BRAVAN ; BRAVAN; NOT FOUND; CPR REVEST 160 MG x 30; A4H
118957; BRAVAN ; BRAVAN; NOT FOUND; CPR REVEST 320 MG x 10; A4H
96158; BRAVAN ; BRAVAN; NOT FOUND; CPR REVEST 320 MG x 30; A4H
118959; BRAVAN ; BRAVAN; NOT FOUND; CPR REVEST 80 MG x 10; A4H
96156; BRAVAN ; BRAVAN; NOT FOUND; CPR REVEST 80 MG x 30; A4H
62394; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 20; A4H
64620; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 30; A4H
62395; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 20; A4H
64621; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 30; A4H
69449; BROMETO IPRATRO.MG ; BROMETO IPRATRO; BROMETO IPRATROPIO; SOLN INALT 0.25 MG 20 ML x 1 (; A4H
70750; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; GOTAS INF 4 MG 20 ML x 1 (/ML); A4H
68993; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; SOLN ORAL 1 MG 120 ML x 1 (/ML); A4H
46395; BRONDILAT ; BRONDILAT; NOT FOUND; XAR. 50 MG 120 ML x 1 (/5ML); A4H
48606; BRONDILAT ; BRONDILAT; NOT FOUND; XAR. PED. 25 MG 120 ML x 1 (/5ML); A4H
70191; BUSONID NASAL ; BUSONID NASAL; NOT FOUND; SUSP AQUOSA 100 Y 6 ML x 120; A4H
72542; BUSONID NASAL ; BUSONID NASAL; NOT FOUND; SUSP AQUOSA 32 Y 6 ML x 120; A4H
61837; BUSONID NASAL ; BUSONID NASAL; NOT FOUND; SUSP AQUOSA 50 Y 6 ML x 120; A4H
72543; BUSONID NASAL ; BUSONID NASAL; NOT FOUND; SUSP AQUOSA 64 Y 6 ML x 120; A4H
51627; BUSONID ORAL ; BUSONID ORAL; NOT FOUND; AERO BUC.DOS 200 Y 5 ML x 100 (/DOS); A4H
51626; BUSONID ORAL ; BUSONID ORAL; NOT FOUND; AERO BUC.DOS 50 Y 5 ML x 100 (/DOS); A4H
51628; BUSONID ORAL ; BUSONID ORAL; NOT FOUND; AERO NASAL 50 Y 10 ML x 200 (/DOS); A4H
58352; BUSONID ORAL ; BUSONID ORAL; NOT FOUND; CAPS 200 Y x 60; A4H
58353; BUSONID ORAL ; BUSONID ORAL; NOT FOUND; CAPS 400 Y x 60; A4H
58354; BUSONID ORAL ; BUSONID ORAL; NOT FOUND; CAPS+INALAD. 200 Y x 60; A4H
58355; BUSONID ORAL ; BUSONID ORAL; NOT FOUND; CAPS+INALAD. 400 Y x 60; A4H
