32633; LABEL ; LABEL; NOT FOUND; CPR 150 MG x 20; A4H
48468; LABEL ; LABEL; NOT FOUND; CPR 300 MG x 12; A4H
48469; LABEL ; LABEL; NOT FOUND; CPR 300 MG x 20; A4H
103496; LABEL ; LABEL; NOT FOUND; GOTAS 40 MG 45 ML x 1 (/ML); A4H
51952; LABEL ; LABEL; NOT FOUND; LIQD 75 MG 120 ML x 1 (/5ML); A4H
54024; LANZOL ; LANZOL; NOT FOUND; CAPS L.P. 30 MG x 14; A4H
107705; LEFLUNOMIDA MG ; LEFLUNOMIDA; LEFLUNOMIDA; CPR REVEST 20 MG x 30; A4H
50681; LEUCOGEN ; LEUCOGEN; NOT FOUND; CAPS 80 MG x 20; A4H
42791; LEUCOGEN ; LEUCOGEN; NOT FOUND; XAROPE 1 G 120 ML x 1 (/5ML); A4H
114596; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 10; A4H
114593; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 7; A4H
71918; LEVOID ; LEVOID; NOT FOUND; CPR 100 Y x 30; A4H
71919; LEVOID ; LEVOID; NOT FOUND; CPR 112 Y x 30; A4H
71920; LEVOID ; LEVOID; NOT FOUND; CPR 125 Y x 30; A4H
71921; LEVOID ; LEVOID; NOT FOUND; CPR 150 Y x 30; A4H
71922; LEVOID ; LEVOID; NOT FOUND; CPR 175 Y x 30; A4H
71923; LEVOID ; LEVOID; NOT FOUND; CPR 200 Y x 30; A4H
71914; LEVOID ; LEVOID; NOT FOUND; CPR 25 Y x 30; A4H
75827; LEVOID ; LEVOID; NOT FOUND; CPR 38 Y x 30; A4H
71915; LEVOID ; LEVOID; NOT FOUND; CPR 50 Y x 30; A4H
71916; LEVOID ; LEVOID; NOT FOUND; CPR 75 Y x 30; A4H
71917; LEVOID ; LEVOID; NOT FOUND; CPR 88 Y x 30; A4H
87799; LIBERAFLUX ; LIBERAFLUX; NOT FOUND; XAR. 7.50 MG 100 ML x 1 (/ML); A4H
87800; LIBERAFLUX ; LIBERAFLUX; NOT FOUND; XAR. 7.50 MG 200 ML x 1 (/ML); A4H
95483; LIBERAFLUX ; LIBERAFLUX; NOT FOUND; XAR. 7.50 MG 30 ML x 1 (/ML); A4H
66315; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 10 MG x 30; A4H
59721; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 20 MG x 30; A4H
131013; LIVEPAX ; LIVEPAX; NOT FOUND; CPR REVEST 500 MG x 10; A4H
131015; LIVEPAX ; LIVEPAX; NOT FOUND; CPR REVEST 500 MG x 3; A4H
131020; LIVEPAX ; LIVEPAX; NOT FOUND; CPR REVEST 500 MG x 7; A4H
67244; LORATA+PSEUDOEF.MG ; LORATA PSEUDOEF; NOT FOUND; XAR. 60 ML x 1; A4H
59725; LORATADINA MG ; LORATADINA; LORATADINA; CPR REVEST 10 MG x 12; A4H
66845; LORATADINA MG ; LORATADINA; LORATADINA; XAROPE 5 MG 100 ML x 1 (/5ML); A4H
62649; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR 50 MG x 14; A4H
62650; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR 50 MG x 28; A4H
80918; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; A4H
63837; LOTAR ; LOTAR; NOT FOUND; CAPS GELATIN 2.50 MG x 30 (/50); A4H
63838; LOTAR ; LOTAR; NOT FOUND; CAPS GELATIN 5 MG x 30 (/100); A4H
73993; LOTAR ; LOTAR; NOT FOUND; CAPS GELATIN 5 MG x 30 (/50); A4H
