31; ACARSAN ; ACARSAN; NOT FOUND; LIQD 80 ML x 1; A4H
48715; ACARSAN ; ACARSAN; NOT FOUND; SABAO 70 G x 1; A4H
50642; ACCUVIT ; ACCUVIT; NOT FOUND; CPR REVEST x 30; A4H
64475; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); A4H
64476; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); A4H
71077; ACHEFLAN ; ACHEFLAN; NOT FOUND; AERO 5 MG 75 ML x 1 (/G); A4H
66557; ACHEFLAN ; ACHEFLAN; NOT FOUND; CREME 5 MG 30 G x 1 (/G); A4H
75342; ACHEFLAN ; ACHEFLAN; NOT FOUND; CREME 5 MG 60 G x 1 (/G); A4H
78205; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CPR 200 MG x 25; A4H
78204; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME DERM 50 MG 10 G x 1 (/G); A4H
67840; ACID.MEFENAMICO MG ; ACID MEFENAMICO; ACIDO MEFENAMICO; CPR 500 MG x 24; A4H
66994; ADAPALENO MG ; ADAPALENO; ADAPALENO; GEL. 0.10 % 30 G x 1; A4H
76685; ADINOS ; ADINOS; NOT FOUND; GEL.CR 0.50 MG 15 G x 1 (/G); A4H
76686; ADINOS ; ADINOS; NOT FOUND; GEL.CR 0.50 MG 30 G x 1 (/G); A4H
106647; ADINOS GEN ; ADINOS GEN; NOT FOUND; GEL CREME 30 G x 1; A4H
61694; AIRCLIN ; AIRCLIN; NOT FOUND; SPRAY NASAL 50 Y 15 ML x 120 (/DOS); A4H
113384; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR 70 MG x 4; A4H
66292; ALENIA ; ALENIA; NOT FOUND; CAP INAL REF 200 Y x 60 (/6); A4H
68403; ALENIA ; ALENIA; NOT FOUND; CAP INAL REF 400 Y x 60 (/12); A4H
62100; ALENIA ; ALENIA; NOT FOUND; CAPS+INALAD. 100 Y x 60 (/6); A4H
62101; ALENIA ; ALENIA; NOT FOUND; CAPS+INALAD. 200 Y x 60 (/6); A4H
68402; ALENIA ; ALENIA; NOT FOUND; CAPS+INALAD. 400 Y x 60 (/12); A4H
62306; ALLESTRA ; ALLESTRA; NOT FOUND; DRAG 20 Y x 21; A4H
75402; ALLESTRA ; ALLESTRA; NOT FOUND; DRAG 20 Y x 63; A4H
77044; ALLESTRA ; ALLESTRA; NOT FOUND; DRAG 30 Y x 21; A4H
118803; ALLESTRA ; ALLESTRA; NOT FOUND; DRAG 30 Y x 63; A4H
59931; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 20; A4H
59932; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 20; A4H
89176; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 30; A4H
89177; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 30; A4H
89179; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 2 MG x 30; A4H
78155; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; PO P/SUSP 400 MG 70 ML x 1 (/57; A4H
80913; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 15; A4H
80914; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; A4H
80916; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 30; A4H
80915; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 875 MG x 14; A4H
77121; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; PO P/SUSP 250 MG 150 ML x 1 (/5ML); A4H
77122; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; PO P/SUSP 400 MG 100 ML x 1 (/5ML); A4H
56092; ANDANTOL ; ANDANTOL; NOT FOUND; GEL. 7.50 MG 40 G x 1 (/G); A4H
54635; ANGIPRESS ; ANGIPRESS; NOT FOUND; CPR 100 MG x 28; A4H
98672; ANGIPRESS ; ANGIPRESS; NOT FOUND; CPR 100 MG x 30; A4H
54633; ANGIPRESS ; ANGIPRESS; NOT FOUND; CPR 25 MG x 28; A4H
95455; ANGIPRESS ; ANGIPRESS; NOT FOUND; CPR 25 MG x 30; A4H
54634; ANGIPRESS ; ANGIPRESS; NOT FOUND; CPR 50 MG x 28; A4H
98671; ANGIPRESS ; ANGIPRESS; NOT FOUND; CPR 50 MG x 30; A4H
51399; ANGIPRESS CD ; ANGIPRESS CD; NOT FOUND; CPR 100 MG x 28 (/25); A4H
98673; ANGIPRESS CD ; ANGIPRESS CD; NOT FOUND; CPR 100 MG x 30 (/25); A4H
52591; ANGIPRESS CD ; ANGIPRESS CD; NOT FOUND; CPR 25 MG x 28 (/12); A4H
95477; ANGIPRESS CD ; ANGIPRESS CD; NOT FOUND; CPR 25 MG x 30 (/12); A4H
51398; ANGIPRESS CD ; ANGIPRESS CD; NOT FOUND; CPR 50 MG x 28 (/12); A4H
95479; ANGIPRESS CD ; ANGIPRESS CD; NOT FOUND; CPR 50 MG x 30 (/12); A4H
50900; ANSENTRON ; ANSENTRON; NOT FOUND; A.IV 4 MG 2 ML x 1; A4H
50901; ANSENTRON ; ANSENTRON; NOT FOUND; A.IV 8 MG 4 ML x 1; A4H
69643; ANTILERG ; ANTILERG; NOT FOUND; CPR REVEST 8 MG x 20; A4H
56093; ANTUX ; ANTUX; NOT FOUND; SOLN ORAL 30 MG 20 ML x 1 (/ML); A4H
56094; ANTUX ; ANTUX; NOT FOUND; XAR. 30 MG 120 ML x 1 (/5ML); A4H
118840; ARIPIPRAZOL MG ; ARIPIPRAZOL; ARIPIPRAZOL; CPR 10 MG x 10; A4H
118870; ARIPIPRAZOL MG ; ARIPIPRAZOL; ARIPIPRAZOL; CPR 15 MG x 10; A4H
118884; ARIPIPRAZOL MG ; ARIPIPRAZOL; ARIPIPRAZOL; CPR 20 MG x 10; A4H
118887; ARIPIPRAZOL MG ; ARIPIPRAZOL; ARIPIPRAZOL; CPR 30 MG x 10; A4H
94507; ARISTAB ; ARISTAB; NOT FOUND; CPR 10 MG x 10; A4H
94508; ARISTAB ; ARISTAB; NOT FOUND; CPR 10 MG x 30; A4H
94509; ARISTAB ; ARISTAB; NOT FOUND; CPR 15 MG x 30; A4H
94511; ARISTAB ; ARISTAB; NOT FOUND; CPR 20 MG x 30; A4H
94512; ARISTAB ; ARISTAB; NOT FOUND; CPR 30 MG x 30; A4H
64231; ARTROLIVE ; ARTROLIVE; NOT FOUND; CAPS x 30; A4H
73714; ARTROLIVE ; ARTROLIVE; NOT FOUND; CAPS x 90; A4H
118895; ARTROLIVE ; ARTROLIVE; NOT FOUND; SACHE 4 G x 15; A4H
113385; ARTROLIVE ; ARTROLIVE; NOT FOUND; SACHE 4 G x 30; A4H
75812; ARTROSIL ; ARTROSIL; NOT FOUND; CAPS L.P. 160 MG x 10; A4H
52311; ARTROSIL ; ARTROSIL; NOT FOUND; CAPS L.P. 160 MG x 20; A4H
75669; ARTROSIL ; ARTROSIL; NOT FOUND; CAPS L.P. 320 MG x 10; A4H
52312; ARTROSIL ; ARTROSIL; NOT FOUND; CAPS L.P. 320 MG x 20; A4H
56674; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 30; A4H
58346; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 30; A4H
56673; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 30; A4H
65525; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); A4H
65524; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); A4H
96779; AXONIUM ; AXONIUM; NOT FOUND; CPR 10 MG x 30; A4H
96774; AXONIUM ; AXONIUM; NOT FOUND; CPR 2.50 MG x 30; A4H
96778; AXONIUM ; AXONIUM; NOT FOUND; CPR 5 MG x 30; A4H
