67366; DALAP ; DALAP; NOT FOUND; GEL. 0.10 % 30 G x 1; A4H
52191; DAYVIT ; DAYVIT; NOT FOUND; CPR REVEST x 30; A4H
3000; DECADRON ; DECADRON; NOT FOUND; AMP. 2 MG 1 ML x 2; A4H
3001; DECADRON ; DECADRON; NOT FOUND; CPR 0.50 MG x 20; A4H
3002; DECADRON ; DECADRON; NOT FOUND; CPR 0.75 MG x 20; A4H
29997; DECADRON ; DECADRON; NOT FOUND; CPR 4 MG x 10; A4H
3004; DECADRON ; DECADRON; NOT FOUND; ELIXIR 0.50 MG 120 ML x 1 (/5ML); A4H
2998; DECADRON ; DECADRON; NOT FOUND; F.AMP 4 MG 2.50 ML x 1; A4H
54162; DECADRON ; DECADRON; NOT FOUND; GOTAS NASAL 20 ML x 1; A4H
3007; DECADRON NEOMICINA ; DECADRON NEOMICINA; NOT FOUND; COLIRIO 5 ML x 1; A4H
3011; DECADRONAL ; DECADRONAL; NOT FOUND; F.AMP 8 MG 2 ML x 1; A4H
75517; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; CPR.RE.LP x 100; A4H
58701; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; CPR.RE.LP x 12; A4H
58702; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; GOTAS 20 ML x 1; A4H
58703; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; XAR. 120 ML x 1; A4H
70192; DEPAXAN ; DEPAXAN; NOT FOUND; CPR REVEST 20 MG x 20; A4H
70193; DEPAXAN ; DEPAXAN; NOT FOUND; CPR REVEST 20 MG x 30; A4H
51283; DEPRAX ; DEPRAX; NOT FOUND; CAPS GELATIN 20 MG x 28; A4H
49145; DEPRILAN ; DEPRILAN; NOT FOUND; CPR 5 MG x 20; A4H
53647; DEPROZOL ; DEPROZOL; NOT FOUND; CPR REVEST 1000 MG x 2; A4H
53648; DEPROZOL ; DEPROZOL; NOT FOUND; CPR REVEST 1000 MG x 4; A4H
52269; DEPROZOL ; DEPROZOL; NOT FOUND; CPR REVEST 500 MG x 4; A4H
52270; DEPROZOL ; DEPROZOL; NOT FOUND; CPR REVEST 500 MG x 8; A4H
64093; DERMOMAX ; DERMOMAX; NOT FOUND; CREME DERMAT 40 MG 30 G x 1 (/G); A4H
