59623; RAPIFEN ; RAPIFEN; NOT FOUND; A.IV 0.50 MG 5 ML x 5 (/ML); J_C
52359; RARICAL ; RARICAL; NOT FOUND; CPR REVEST x 50; J_C
30691; RARICAL ; RARICAL; NOT FOUND; LIQD 120 ML x 1 (INF); J_C
58883; REMICADE ; REMICADE; NOT FOUND; F.INFUS.LIOF 100 MG 10 ML x 1; J_C
67881; REMINYL ; REMINYL; NOT FOUND; CAPS ER 16 MG x 28; J_C
70190; REMINYL ; REMINYL; NOT FOUND; CAPS ER 24 MG x 28; J_C
67880; REMINYL ; REMINYL; NOT FOUND; CAPS ER 8 MG x 7; J_C
59827; REMINYL ; REMINYL; NOT FOUND; CPR REVEST 4 MG x 14; J_C
59828; REMINYL ; REMINYL; NOT FOUND; CPR REVEST 8 MG x 56; J_C
99004; RESOLOR ; RESOLOR; NOT FOUND; CPR REVEST 1 MG x 14; J_C
99005; RESOLOR ; RESOLOR; NOT FOUND; CPR REVEST 2 MG x 14; J_C
99006; RESOLOR ; RESOLOR; NOT FOUND; CPR REVEST 2 MG x 28; J_C
68863; RISPERDAL ; RISPERDAL; NOT FOUND; CPR REVEST 0.25 MG x 10; J_C
68864; RISPERDAL ; RISPERDAL; NOT FOUND; CPR REVEST 0.50 MG x 10; J_C
51715; RISPERDAL ; RISPERDAL; NOT FOUND; CPR REVEST 1 MG x 20; J_C
50126; RISPERDAL ; RISPERDAL; NOT FOUND; CPR REVEST 2 MG x 20; J_C
50127; RISPERDAL ; RISPERDAL; NOT FOUND; CPR REVEST 3 MG x 20; J_C
59304; RISPERDAL ; RISPERDAL; NOT FOUND; SOLN ORAL 1 MG 30 ML x 1 (/ML); J_C
67258; RISPERDAL CONSTA ; RISPERDAL CONSTA; NOT FOUND; F.AMP 25 MG 2 ML x 1; J_C
67259; RISPERDAL CONSTA ; RISPERDAL CONSTA; NOT FOUND; F.AMP 37.5 MG 2 ML x 1; J_C
74620; RISPERDAL CONSTA ; RISPERDAL CONSTA; NOT FOUND; F.AMP 50 MG 2 ML x 1; J_C
78141; RISPERDAL CONSTA ; RISPERDAL CONSTA; NOT FOUND; F.AMP DEL 25 MG 2 ML x 1; J_C
78140; RISPERDAL CONSTA ; RISPERDAL CONSTA; NOT FOUND; F.AMP DEL 37.5 MG 2 ML x 1; J_C
78396; RISPERDAL CONSTA ; RISPERDAL CONSTA; NOT FOUND; F.AMP DEL 50 MG 2 ML x 1; J_C
