7980; PANTELMIN ; PANTELMIN; NOT FOUND; CPR 100 MG x 6; J_C
61005; PANTELMIN ; PANTELMIN; NOT FOUND; CPR 500 MG x 1; J_C
7981; PANTELMIN ; PANTELMIN; NOT FOUND; SUSP 100 MG 30 ML x 1 (/5ML); J_C
8065; PARALON ; PARALON; NOT FOUND; CPR x 12; J_C
55286; PARIET ; PARIET; NOT FOUND; CPR REVEST 10 MG x 14; J_C
57902; PARIET ; PARIET; NOT FOUND; CPR REVEST 20 MG x 14; J_C
57903; PARIET ; PARIET; NOT FOUND; CPR REVEST 20 MG x 28; J_C
103412; PARIET ; PARIET; NOT FOUND; CPR REVEST 20 MG x 56; J_C
55287; PARIET ; PARIET; NOT FOUND; CPR REVEST 20 MG x 7; J_C
56874; PREFEST ; PREFEST; NOT FOUND; CPR x 30; J_C
74375; PREZISTA ; PREZISTA; NOT FOUND; CPR REVEST 300 MG x 120; J_C
