505101008115311, CAPOTEN, CAPOTEN, NOT FOUND, 25 MG COM CT BL AL/PVC/PE/PVDC X 30, BMS
505101007119313, CAPOTEN, CAPOTEN, NOT FOUND, 50 MG COM CT BL AL/PVC/PE/PVDC X 30, BMS
505101105137316, CEFAMOX, CEFAMOX, NOT FOUND, 100 MG/ML PO PREP EXTEMP CT FR PLAS OPC X 100 ML + DOS OR, BMS
505101102138311, CEFAMOX, CEFAMOX, NOT FOUND, 250 MG/5 ML PO PREP EXTEMP CT FR PLAS OPC X 100 ML + DOS OR, BMS
505101104114312, CEFAMOX, CEFAMOX, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, BMS
505101202116311, CEFZIL, CEFZIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 10, BMS
505101301114315, CITOSTAL, CITOSTAL, NOT FOUND, 10 MG CAP GEL DURA CT FR VD AMB X 5, BMS
505101302110313, CITOSTAL, CITOSTAL, NOT FOUND, 40 MG CAP GEL DURA CT FR VD AMB X 5, BMS
505101501113312, COUMADIN, COUMADIN, NOT FOUND, 1 MG COM CT BL AL/AL X 30, BMS
505101502111313, COUMADIN, COUMADIN, NOT FOUND, 2.5 MG COM CT BL AL/AL X 30, BMS
505101503116319, COUMADIN, COUMADIN, NOT FOUND, 5 MG COM CT BL AL/AL X 30, BMS
