129255, OLEO COCO FOLLIUM , OLEO COCO FOLLIUM, NOT FOUND, CAPS GEL 1000 MG x 60, TTB
129252, OLEO FI BAC FOLLIU , OLEO FI BAC FOLLIU, NOT FOUND, CAPS GEL MOL x 45, TTB
100131, OLEO LINHACA FOLLI , OLEO LINHACA FOLLI, NOT FOUND, CAPS GELATIN 1000 MG x 60, TTB
100133, OLEO PEIXE FOLLIUM , OLEO PEIXE FOLLIUM, NOT FOUND, CAPS GELATIN 1000 MG x 60, TTB
101284, OLEO PRIMU FOLLIUM , OLEO PRIMU FOLLIUM, NOT FOUND, CAPS 500 MG x 30, TTB
59821, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 10 MG x 14, TTB
59823, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 14, TTB
60111, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 28, TTB
113653, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 56, TTB
59822, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 7, TTB
165401, OSTRAT , OSTRAT, NOT FOUND, CPR 70 MG x 4, TTB
56213, OXACILINA SODIC.MG , OXACILINA SODIC, OXACILINA SODICA HIDRATADA, F.AMP SOLV 500 MG 3 ML x 50, TTB
77105, OXACILINA SODIC.MG , OXACILINA SODIC, OXACILINA SODICA HIDRATADA, F.AMP SOLV 500 MG 5 ML x 50, TTB
67581, OXIFRIN , OXIFRIN, NOT FOUND, SOLN NASAL 0.05 MG 30 ML x 1 (/ML), TTB
