46385, PANVERM , PANVERM, NOT FOUND, SUSP 100 MG 30 ML x 1 (/5ML), TTB
78730, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 500 MG x 20, TTB
61933, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 500 MG x 200, TTB
61934, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, TTB
61935, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, TTB
56627, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), TTB
78942, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 100 (/ML), TTB
59824, PARKEXIN , PARKEXIN, NOT FOUND, CPR 5 MG x 30, TTB
56133, PARKINSOL , PARKINSOL, NOT FOUND, CPR 2 MG x 75, TTB
64109, PAROX , PAROX, NOT FOUND, CPR REVEST 20 MG x 30, TTB
53146, PENCILIN-V , PENCILIN V, NOT FOUND, CPR 500 K x 12, TTB
73426, PENTOXIN , PENTOXIN, NOT FOUND, CPR 400 MG x 20, TTB
54612, PERMETEL , PERMETEL, NOT FOUND, GEL. 60 G x 1, TTB
53150, PLAGEX , PLAGEX, NOT FOUND, AMP. 10 MG 2 ML x 100, TTB
53151, PLAGEX , PLAGEX, NOT FOUND, CPR 10 MG x 20, TTB
53152, PLAGEX , PLAGEX, NOT FOUND, GOTAS 4 MG 10 ML x 1 (/ML), TTB
89930, PLANTA ACTIVE , PLANTA ACTIVE, NOT FOUND, SACHETS 5 G x 10, TTB
89928, PLANTA ACTIVE , PLANTA ACTIVE, NOT FOUND, SACHETS 5 G x 30, TTB
78201, PLAVASC , PLAVASC, NOT FOUND, CPR REVEST 250 MG x 20, TTB
77178, PLAVASC , PLAVASC, NOT FOUND, CPR REVEST 250 MG x 30, TTB
106878, PNEUMUCIL , PNEUMUCIL, NOT FOUND, XAR PED 20 MG 120 ML x 1 (/ML), TTB
53338, POLARYN , POLARYN, NOT FOUND, CPR 2 MG x 20, TTB
87185, POLARYN , POLARYN, NOT FOUND, CREME. 10 MG 30 G x 1 (/G), TTB
54168, POLARYN , POLARYN, NOT FOUND, XAROPE 2 MG 100 ML x 1 (/5ML), TTB
58313, POLISENG , POLISENG, NOT FOUND, CAPS x 30, TTB
58314, POLISENG , POLISENG, NOT FOUND, CAPS x 50, TTB
92405, POLISENG CALCIO , POLISENG CALCIO, NOT FOUND, CPR MAST x 75, TTB
92407, POLISENG FEMME , POLISENG FEMME, NOT FOUND, CAPS x 30, TTB
98563, POLISENG KIDS , POLISENG KIDS, NOT FOUND, LIQ LARANJA 120 ML x 1, TTB
95842, POLISENG LIFE , POLISENG LIFE, NOT FOUND, CAPS x 60, TTB
117556, POLISENG MULHER , POLISENG MULHER, NOT FOUND, CPR REVEST x 60, TTB
104620, POLISENG SELECT , POLISENG SELECT, NOT FOUND, CAPS x 30, TTB
104621, POLISENG SELECT , POLISENG SELECT, NOT FOUND, CAPS x 60, TTB
117558, POLISENG YNOV BRON , POLISENG YNOV BRON, NOT FOUND, CAPS x 30, TTB
117562, POLISENG YNOV NOCE , POLISENG YNOV NOCE, NOT FOUND, CAPS x 60, TTB
117563, POLISENG YNOV S HA , POLISENG YNOV S HA, NOT FOUND, CAPS x 60, TTB
117566, POLISENG YNOV SLIM , POLISENG YNOV SLIM, NOT FOUND, CAPS x 60, TTB
66160, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 20, TTB
159557, PREGABALINA MG , PREGABALINA, PREGABALINA, CAPS GEL 150 MG x 28, TTB
159381, PREGABALINA MG , PREGABALINA, PREGABALINA, CAPS GEL 75 MG x 28, TTB
51976, PRESSOTEC , PRESSOTEC, NOT FOUND, CPR 10 MG x 30, TTB
51977, PRESSOTEC , PRESSOTEC, NOT FOUND, CPR 20 MG x 30, TTB
51975, PRESSOTEC , PRESSOTEC, NOT FOUND, CPR 5 MG x 30, TTB
59018, PROFERGAN , PROFERGAN, NOT FOUND, CPR REVEST 25 MG x 20, TTB
113654, PROFERGAN CREME , PROFERGAN CREME, NOT FOUND, CREME 20 MG 30 G x 1 (/G), TTB
67909, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, CREME 0.50 MG 30 G x 1 (/G), TTB
68437, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, POM. 0.50 MG 30 G x 1 (/G), TTB
77811, PROSTAFLUX , PROSTAFLUX, NOT FOUND, CPR 2 MG x 30, TTB
49451, PSIU , PSIU, NOT FOUND, XAROPE 100 ML x 1, TTB
64111, PYLORITRAT , PYLORITRAT, NOT FOUND, KIT 7X8 x 56, TTB
73712, PYLORITRAT IBP , PYLORITRAT IBP, NOT FOUND, K7X8X56+28 x 1, TTB
